case,case_label,source_root,filter_id,filter_family,filter_deployability,filter_kind,capture_id,tag,n_samples,filter_rejections,err3d_p50_mm,err3d_p95_mm,err3d_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p95_mm,err_vertical_y_p50_mm,err_vertical_y_p95_mm,note,turn_center_abs_error_3d_mm,turn_center_abs_error_horizontal_xz_mm,turn_center_abs_error_vertical_y_mm,filtered_radius_mm,opti_radius_mm,radius_error_mm,radius_error_abs_mm,circle_thickness_rms_mm,circle_thickness_p95_mm,turn_count,turn_center_repeatability_rms_mm,turn_center_repeatability_p95_mm
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R01,BS2DCE,1201,0,122.44387286762624,595.4802850951193,237.7954127894744,81.37866712846215,233.379832567699,74.28207389014165,545.1237261143793,original self-cal layout and solver residual delay corrections,58.24438367604526,12.582079436878264,56.86914371472858,478.0466651894787,426.4858284884082,51.56083670107046,51.56083670107046,201.9038989189548,487.2182702747014,31,24.97728131577688,39.18113416630149
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R01,BSDC91,1200,0,98.17622406386263,304.2550718581099,148.98113437664833,63.58174671147577,173.19136610724684,61.4900681423685,245.42108568462743,original self-cal layout and solver residual delay corrections,61.80407930885436,22.47926080999893,57.57106089565491,604.4932329019693,553.5374362567889,50.9557966451805,50.9557966451805,116.2569054359822,241.42211617092696,31,17.74321432795357,29.02539134588208
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R02,BS2DCE,1201,0,123.19353943187627,336.26272848776006,182.9068489794699,83.91818006117053,202.5680153670083,71.26980848771268,304.7136286661182,original self-cal layout and solver residual delay corrections,51.91687073853313,26.74158162650859,44.49999190330641,480.5037970908976,426.5872672453299,53.91652984556765,53.91652984556765,155.2619431824995,305.7728344372453,28,22.1561548256994,36.60823068095264
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R02,BSDC91,1200,0,104.61068203841924,225.64721168527703,132.63115184938482,64.73515066282742,136.72909844755017,70.41239683729782,200.8455726762194,original self-cal layout and solver residual delay corrections,59.727100121848935,9.15194281477584,59.0217623566125,588.5285015534058,553.7579522299013,34.7705493235045,34.7705493235045,96.51238213864828,173.10795974289175,28,11.550031440476063,20.292486266176844
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R03,BS2DCE,1050,0,131.74937803273042,310.8326703379216,170.44564323136206,82.15686046493221,205.31437900237765,81.63369085535783,254.05854526100077,original self-cal layout and solver residual delay corrections,88.77565333116539,61.59134049037221,63.93452432742652,517.0770474047478,426.5723462016469,90.50470120310092,90.50470120310092,101.60091129812128,185.94299738055895,25,19.629699874614683,30.855798416553064
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R03,BSDC91,1200,0,92.81429899887362,225.3284686648504,121.071041242207,62.36344263362386,154.05959744809311,60.55279544298526,177.62173702637438,original self-cal layout and solver residual delay corrections,69.51024830081793,33.335051602810566,60.99548305800454,596.294746393636,553.5575033917082,42.73724300192782,42.73724300192782,83.09214061035163,153.3771247165538,29,13.82930144430414,20.762102256105024
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R04,BS2DCE,1200,0,123.94235545012992,326.6142925153068,167.31986470386238,81.63130105573828,209.3845128431722,76.9771915650677,271.4823096297136,original self-cal layout and solver residual delay corrections,77.95810602305129,71.56302270212211,30.92248496542379,503.0679066299412,426.4333733369048,76.63453329303638,76.63453329303638,123.50092323153802,257.6181523888062,28,20.708588453982333,33.383302183407885
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R04,BSDC91,1200,0,90.91127239327815,216.1598106891917,123.97927520726395,62.64384829674864,172.17993731011694,52.32238887412336,162.61705111098314,original self-cal layout and solver residual delay corrections,65.47057989633548,50.02835574699471,42.2322205574676,604.4363866278702,553.4706845883857,50.96570203948454,50.96570203948454,95.01552831827972,181.72424705996383,28,13.674264601863166,21.293165025723432
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R05,BS2DCE,1200,0,132.22805429241038,334.8837137880277,184.05469067335991,94.51774104894533,269.7521518972744,72.40026358543207,248.53676740876108,original self-cal layout and solver residual delay corrections,93.8015740919222,81.93422798400593,45.66746748821652,514.142687324732,426.4908337551261,87.65185356960592,87.65185356960592,134.11147709487636,257.85340406018486,29,25.3621045594635,44.180161036416735
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,F0,R05,BSDC91,1201,0,102.78225385039538,189.85922999319783,115.78088814620916,77.66755733376736,155.83839113575775,48.75642754622436,134.79476383785652,original self-cal layout and solver residual delay corrections,59.33351135197437,40.3556010610485,43.49587373942927,620.9918495332906,553.5314134827562,67.46043605053444,67.46043605053444,70.08599779847701,132.42945129491875,29,12.958972055078045,20.02750829612237
