scenario,tag,anchor,anchor_id,n,min_cell_n,thin_cell_flag,raw_median,raw_median_mm,raw_iqr,raw_iqr_mm,scatter_rms,scatter_rms_mm,input_residual_definition,firmware_antenna_delay_setting_dtu,terminology_note
self_cal_v4io_T4,BSF66F,A,0,28760,30,False,23.480743659907148,23.480743659907148,91.6992135334578,91.6992135334578,122.05973340947924,122.05973340947924,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,B,1,28781,30,False,58.78446797168681,58.78446797168681,90.96609135688459,90.96609135688459,111.46991538494048,111.46991538494048,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,C,2,28759,30,False,46.78183274791172,46.78183274791172,112.14491123165203,112.14491123165203,125.5973771515857,125.5973771515857,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,D,3,28789,30,False,98.92112694740536,98.92112694740536,80.57139553248044,80.57139553248044,106.09270883836436,106.09270883836436,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,E,4,28793,30,False,89.66093468547069,89.66093468547069,87.08864680317265,87.08864680317265,97.13196669019678,97.13196669019678,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,F,5,28538,30,False,118.5535343418228,118.5535343418228,110.47504455775288,110.47504455775288,123.13845907087115,123.13845907087115,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,G,6,27542,30,False,58.68244158199036,58.68244158199036,66.58474411103407,66.58474411103407,141.82709155067454,141.82709155067454,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BSF66F,H,7,28303,30,False,62.60621938465442,62.60621938465442,71.72631698317036,71.72631698317036,82.3319107475169,82.3319107475169,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BS2DCE,A,0,20220,30,False,67.24375211105325,67.24375211105325,114.83539465542134,114.83539465542134,130.79149634999615,130.79149634999615,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
self_cal_v4io_T4,BS2DCE,B,1,20170,30,False,91.85044759489165,91.85044759489165,116.0088314702569,116.0088314702569,115.72744640368836,115.72744640368836,raw=measured-geometric; d_anchor_mm/tag_delay_mm not subtracted,16436,firmware 16436 DTU TX=RX all devices is the antenna-delay setting; solver d_anchor_mm/tag_delay_mm are layout-level residual delay corrections fitted on top of firmware-16436 data
