scenario,row_type,static_gdop_p5,static_gdop_p50,static_gdop_p95,roto_gdop_p5,roto_gdop_p50,roto_gdop_p95,overlap_gdop_minmax_lo,overlap_gdop_minmax_hi,overlap_gdop_p5p95_lo,overlap_gdop_p5p95_hi,static_min_anchors,roto_min_anchors,static_anchor_set,roto_anchor_set,static_external_rms_gate,roto_external_rms_gate,gating_parity,gdop_bin,gdop_lo,gdop_hi,static_n,roto_n,thin_bin_flag,abs_gap_p50_3d_mm,static_p50_3d_mm,roto_p50_3d_mm
self_cal_v4io_T4,summary,1.1135202916442033,1.1401236627365925,1.1973090955596268,1.1557794120739537,1.179801411427545,1.1983340073134796,1.147686349005774,1.1991697095238472,1.1557794120739537,1.1973090955596268,4,4,all8,all8,none,none,MATCH,,,,,,,,,
self_cal_v4io_T4,shared_bin,,,,,,,,,,,,,,,,,,2,1.1399962876318248,1.1544677057706023,6005,1632,False,15.69238522849625,95.8356602406029,80.14327501210666
self_cal_v4io_T4,shared_bin,,,,,,,,,,,,,,,,,,3,1.1544677057706023,1.1643875302914788,2401,4547,False,13.25242432022992,70.86565826350663,84.11808258373655
self_cal_v4io_T4,shared_bin,,,,,,,,,,,,,,,,,,8,1.1930633339168693,1.1967323434864057,3602,3346,False,28.61444965449205,89.24179666438556,117.85624631887761
self_cal_v4io_T4,shared_bin,,,,,,,,,,,,,,,,,,9,1.1967323434864057,1.2012462793121808,3603,3345,False,57.92441049230924,57.18616838100818,115.11057887331742
vicon_truth_delaycal_T4,summary,1.115014956197922,1.1388515263644108,1.2148753635800749,1.1599116967818883,1.1954280815171958,1.2181658508239552,1.1496837057281364,1.2159713757473727,1.1599116967818883,1.2148753635800749,4,4,all8,all8,none,none,MATCH,,,,,,,,,
vicon_truth_delaycal_T4,shared_bin,,,,,,,,,,,,,,,,,,2,1.138761486418698,1.1582084039480056,6005,1632,False,25.290571054070583,100.50651009477271,125.79708114884329
vicon_truth_delaycal_T4,shared_bin,,,,,,,,,,,,,,,,,,3,1.1582084039480056,1.1773049265709892,1201,5636,False,75.55507248754964,30.217249045978512,105.77232153352814
vicon_truth_delaycal_T4,shared_bin,,,,,,,,,,,,,,,,,,4,1.1773049265709892,1.186862252811348,1200,5858,False,50.54399375515871,52.64409721098076,103.18809096613947
vicon_truth_delaycal_T4,shared_bin,,,,,,,,,,,,,,,,,,8,1.210667704216458,1.2140237424809948,4803,2592,False,2.8912246690120043,103.98963469590672,106.88085936491872
vicon_truth_delaycal_T4,shared_bin,,,,,,,,,,,,,,,,,,9,1.2140237424809948,1.223162415607636,2402,4546,False,25.538189481000643,75.1911328784087,100.72932235940934
