case,source_root,n_tracks,filters,opti_turn_center_abs_error_3d_p50_mm,opti_turn_center_abs_error_3d_p95_mm,opti_turn_center_abs_error_3d_rms_mm,opti_turn_center_abs_error_xz_p50_mm,opti_turn_center_abs_error_xz_p95_mm,opti_turn_center_abs_error_xz_rms_mm,opti_turn_center_abs_error_y_p50_mm,opti_turn_center_abs_error_y_p95_mm,opti_turn_center_abs_error_y_rms_mm,opti_radius_error_abs_p50_mm,opti_radius_error_abs_p95_mm,opti_radius_error_rms_mm,interpretation_note,legacy_track_count,legacy_capture_pairs,legacy_deltaR_error_mean_mm,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,legacy_inner_outer_center_sep_median_mm,legacy_inner_outer_center_sep_p95_mm,legacy_turn_center_rms_median_mm,legacy_turn_center_rms_p95_mm,legacy_turn_center_p95_median_mm,legacy_circle_thickness_rms_median_mm,legacy_circle_thickness_rms_p95_mm,legacy_radius_median_mm,legacy_self_consistency_note
full_original_v4io_T4,FULL,34,layout=v4-io; tag_method=T4,69.13009495766391,93.33946784047014,72.08191541633067,46.61896524458784,87.1641722107898,54.244218095757844,48.33238920949435,66.08752647554017,47.46964644135142,51.26326937027781,89.32580005453865,58.56058543865882,original FULL self-cal v4-io/T4,34,17,-22.61681676168852,25.89900908100945,25.96917199935632,37.79143533695915,37.592661229651675,55.43205800761179,13.657450234965037,24.711329084906925,24.006468398976146,82.08589643324513,141.51414022554442,546.6402761051119,computed from UWB samples only; no OptiTrack truth used
vicon_truth_delaycal_v4io_T4,FULL_AutoPos_align_to_Vicon,34,layout_solver=v4-io; layout_variant=vicon_truth; delay_mode=vicon_inter_anchor_delaycal; tag_method=T4,69.83661956423366,97.74652686619305,72.72616659146145,37.84464029116961,75.04916329091748,44.4888679159506,57.55260169068413,81.53805728252992,57.53117362479323,18.206668877407964,38.613397951011585,23.114390748395483,Vicon/OptiTrack anchor truth with inter-anchor delaycal,34,17,-14.0313763859698,17.993888455564388,13.786798528621375,28.77127039266808,28.674133713783956,40.90748462030796,13.305827343660933,18.688132750830842,21.84171789460202,74.77941098433861,101.88877779596254,492.2634460768142,computed from UWB samples only; no OptiTrack truth used
scale_to_vicon_delaycal_v4io_T4,FULL_AutoPos_scale_to_vicon,34,layout_solver=v4-io; layout_variant=solver_similarity_scale_to_vicon; delay_mode=scaled_layout_inter_anchor_delaycal; tag_method=T4,71.332564966626,104.71682064598218,76.66271037947132,37.59992091940134,77.27879311432072,45.320675998435284,59.53370906502892,88.09725657791239,61.832091099780484,18.636902194679777,41.69991438495321,23.498304192026207,full similarity scale-to-Vicon with re-estimated delaycal,34,17,-12.097778137010273,15.607954476407162,12.28693623263996,24.443409456159433,23.04167414219345,37.73715739955881,13.320584546572446,19.05853438275219,21.59215519824106,75.30137805269408,100.27764163037425,493.80120979699984,computed from UWB samples only; no OptiTrack truth used
one_baseline_EH_delaycal_v4io_T4,FULL_AutoPos_one_baseline_scale_correction,34,layout_solver=v4-io; layout_variant=one_baseline_scale; delay_mode=one_baseline_layout_inter_anchor_delaycal; tag_method=T4; baseline_pair=E-H,75.22622123009756,100.29304612317097,77.08015968374778,39.99978423838313,78.47919941755133,45.652297958679135,62.254070526732164,84.55873384027947,62.10651099493545,21.165907366501642,47.87639504569373,26.690473954169633,pre-registered one-baseline E-H control,34,17,-9.861933093920577,13.358114036861302,13.128300004404934,20.408069261233834,27.400926474682148,41.19526223751918,13.677185796781677,20.736737050445985,21.93828456586278,74.99993882688014,107.83994088445247,504.1047181995969,computed from UWB samples only; no OptiTrack truth used
one_baseline_best_roto_solver_delay_v4io_T4_BC,FULL_AutoPos_one_baseline_scale_correction,34,layout_solver=v4-io; layout_variant=one_baseline_scale; delay_mode=solver_delay; tag_method=T4; baseline_pair=B-C,69.43016197260661,93.34676075255858,71.3915911754916,44.3779882451086,83.78196530835288,51.88154119220913,49.31461149198606,67.28355471265793,49.041461785815855,44.61823190840525,78.93866475158937,49.94885685101285,best overall ROTO row in the 4-way comparison,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,unavailable for this row
