fold,heldout_ID,selected_layout_solver,selected_baseline_pair,selected_candidate,train_median_mm,heldout_err_3d_mm
leave_out_ID01,ID01,v1-old,F-H,v1-old/F-H,51.09069167398172,160.6842652426894
leave_out_ID02,ID02,v1-old,F-H,v1-old/F-H,51.09069167398172,59.28817875391415
leave_out_ID03,ID03,v1-old,F-H,v1-old/F-H,51.09069167398172,64.70148594244544
leave_out_ID04,ID04,v1-old,F-H,v1-old/F-H,51.09069167398172,143.36105667649846
leave_out_ID05,ID05,v1-old,C-G,v1-old/C-G,57.22281350577384,21.47368833892466
leave_out_ID06,ID06,v1-old,F-H,v1-old/F-H,51.09069167398172,69.68243150694983
leave_out_ID07,ID07,v1-old,F-H,v1-old/F-H,51.09069167398172,127.5656238934948
leave_out_ID08,ID08,v1-old,F-H,v1-old/F-H,51.09069167398172,119.00346848152404
leave_out_ID09,ID09,v1-old,F-H,v1-old/F-H,51.09069167398172,107.00815049727532
leave_out_ID10,ID10,v1-old,C-G,v1-old/C-G,57.22281350577384,24.515499616014576
leave_out_ID11,ID11,v1-old,C-G,v1-old/C-G,57.22281350577384,11.75414969093933
leave_out_ID12,ID12,v1-old,F-H,v1-old/F-H,51.09069167398172,78.70979721802242
leave_out_ID13,ID13,v1-old,F-H,v1-old/F-H,51.09069167398172,59.663351356442426
leave_out_ID14,ID14,v1-old,F-H,v1-old/F-H,51.09069167398172,104.86414211368404
leave_out_ID15,ID15,v1-old,C-G,v1-old/C-G,57.22281350577384,47.47883786608971
leave_out_ID16,ID16,v1-old,C-G,v1-old/C-G,57.22281350577384,52.66307804863623
leave_out_ID17,ID17,v1-old,B-E,v1-old/B-E,54.4516170156701,62.89703841367604
leave_out_ID18,ID18,v1-old,B-E,v1-old/B-E,54.4516170156701,60.961185127505686
leave_out_ID19,ID19,v1-old,C-G,v1-old/C-G,57.22281350577384,15.611697310104988
leave_out_ID20,ID20,v1-old,C-G,v1-old/C-G,57.22281350577384,42.174057462082224
leave_out_ID21,ID21,v1-old,C-G,v1-old/C-G,57.22281350577384,45.26251888576115
leave_out_ID22,ID22,v1-old,F-H,v1-old/F-H,51.09069167398172,67.3284617730515
leave_out_ID23,ID23,v1-old,C-G,v1-old/C-G,57.22281350577384,45.30416200579429
leave_out_ID24,ID24,v1-old,C-G,v1-old/C-G,57.22281350577384,22.58837639311637
