scenario,capture_id,n,before_p50_mm,before_p95_mm,after_p50_mm,after_p95_mm,drop_p50_mm,drop_p95_mm,translation_norm_mm,rotation_angle_deg,det
self_cal_v4io_T4,R01,2401,106.95854984836181,438.4396236033179,100.62920859024183,421.2832900310928,6.329341258119982,17.156333572225094,85.06553238514776,3.422416736724034,1.0000000000000016
self_cal_v4io_T4,R02,2401,110.80456461248795,289.5969069216679,101.4597407227551,281.4700303888732,9.34482388973285,8.126876532794654,124.55068520446932,5.765263762310718,1.0000000000000007
self_cal_v4io_T4,R03,2250,106.67087241335352,276.5311840608808,100.06113672592991,229.28595018704036,6.609735687423608,47.24523387384042,92.86504558759083,5.586671370412981,0.9999999999999999
self_cal_v4io_T4,R04,2400,103.71210603483769,286.40810967631904,94.97752379155644,278.6159278456627,8.734582243281253,7.792181830656318,58.29816618966539,2.619423853617452,1.0
self_cal_v4io_T4,R05,2401,113.4467922098653,280.56207075397725,104.05996399700672,267.65523789812573,9.386828212858575,12.906832855851519,60.58029954194863,1.9821490237654429,1.0
self_cal_v4io_T4,R06,2401,117.07124299061176,246.27393576560638,109.29537097573078,240.5005776949967,7.775872014880989,5.7733580706096745,64.99532750986785,2.962878897850595,0.9999999999999998
self_cal_v4io_T4,R07,2401,100.89708763988679,249.22605718537986,96.44450217352923,227.32955867111832,4.4525854663575615,21.896498514261538,49.06363740280503,3.141392218086704,0.9999999999999992
self_cal_v4io_T4,R08,2401,94.98719531311151,267.51658660437585,88.50538093713526,252.96191921243073,6.481814375976256,14.554667391945117,25.285733659486578,1.9872029992384377,1.0000000000000002
self_cal_v4io_T4,R09,2400,122.64721520663406,310.19968175263915,118.28499781233474,305.8287568704085,4.362217394299321,4.370924882230668,49.50563305380131,0.9089696608673189,1.0000000000000002
self_cal_v4io_T4,R10,2400,90.12549456410918,238.02892480789762,90.5381621238629,213.68324462341008,-0.4126675597537286,24.34568018448755,49.46075421201374,2.8129028282762856,0.9999999999999998
self_cal_v4io_T4,R11,2401,92.85879385219636,218.49836886064924,78.5287191871134,191.39356053708778,14.330074665082961,27.104808323561457,78.78584966148452,2.1294894051247653,1.0
self_cal_v4io_T4,R12,2400,102.89594730795281,221.36699338180074,89.04252122246007,203.37785728220646,13.853426085492742,17.989136099594276,34.929324250338375,2.926875881567592,1.0
self_cal_v4io_T4,R13,2401,99.07232380277125,230.099673450755,88.07528868620905,218.3178176622804,10.997035116562202,11.781855788474616,56.02618944780967,2.15843836374259,0.9999999999999991
self_cal_v4io_T4,R14,2401,86.54797554973037,209.71576969125576,79.40095615902712,174.8163078628221,7.1470193907032495,34.89946182843366,74.37957619419342,2.340316504670682,1.0000000000000007
self_cal_v4io_T4,R15,2400,92.91714646160025,207.49854594104866,74.1764765833033,172.52030073374326,18.740669878296956,34.978245207305406,69.7699179606706,0.8336740224918014,1.0000000000000002
self_cal_v4io_T4,R16,2401,101.73553129708408,215.04982343729444,75.09783115553276,175.61851355358016,26.63770014155132,39.43130988371428,69.57635892696766,2.504428488009247,1.0
self_cal_v4io_T4,R17,2401,100.33675205833583,237.0375834115637,83.60039016894272,195.67623062854472,16.73636188939311,41.36135278301899,91.51775442722338,1.7264211825898463,1.0000000000000002
vicon_truth_delaycal_T4,R01,2401,120.78604826924892,302.4200082565937,91.83385424903857,295.61983370235873,28.952194020210356,6.800174554234957,102.28519503887094,3.0936741354417046,1.0000000000000004
vicon_truth_delaycal_T4,R02,2401,114.87720295265567,213.9928104704583,87.60123362720418,186.35591780301363,27.275969325451484,27.63689266744467,190.4817150456224,8.85139266241384,0.9999999999999998
vicon_truth_delaycal_T4,R03,2250,112.90065259859853,213.04497536347907,82.31582272375104,163.02600582909557,30.584829874847486,50.0189695343835,91.24853445504257,2.344338137527208,1.0000000000000002
vicon_truth_delaycal_T4,R04,2400,109.10717066073892,200.99936535861355,81.78799366127726,187.64111286374012,27.31917699946166,13.358252494873426,91.92307587806613,2.517476690446117,0.9999999999999994
vicon_truth_delaycal_T4,R05,2401,107.6766403678521,224.13946954637842,79.66225743703166,195.90626852249247,28.014382930820446,28.233201023885954,135.15757098624786,4.7489737092022235,0.9999999999999998
vicon_truth_delaycal_T4,R06,2401,104.72439932087116,186.79130439296483,93.49406863084718,172.1944174051023,11.230330690023976,14.596886987862518,45.392460699349314,2.492436847887586,0.9999999999999991
vicon_truth_delaycal_T4,R07,2401,104.1535881506785,185.94949474613358,88.347340829734,170.0333773978542,15.806247320944507,15.916117348279386,113.03452993548014,4.644388202374191,0.9999999999999999
vicon_truth_delaycal_T4,R08,2401,91.16997117477544,177.35540876287527,83.14095702374743,169.10590317104752,8.029014151028008,8.249505591827756,45.50692594913174,1.0887603464040692,1.0000000000000004
vicon_truth_delaycal_T4,R09,2400,117.85234928832026,245.79206733133566,108.97225316166626,238.9596470032168,8.880096126653996,6.832420328118872,121.98398062010236,5.101424915197553,0.9999999999999997
vicon_truth_delaycal_T4,R10,2400,93.21007544412177,179.0717689789232,81.01576737951527,154.56690294680007,12.194308064606503,24.504866032123118,57.78372095521173,2.892803259416178,1.000000000000001
vicon_truth_delaycal_T4,R11,2401,104.345704922932,199.6510414820781,84.34763983343639,167.41164267677806,19.99806508949561,32.239398805300056,111.05181111065109,3.241505327149644,0.9999999999999996
vicon_truth_delaycal_T4,R12,2400,92.99574334728379,204.26717396399803,88.91623992529821,185.91759475577072,4.079503421985578,18.34957920822731,29.967391044766725,2.7191992922312096,0.9999999999999993
vicon_truth_delaycal_T4,R13,2401,94.45114027915179,185.9440001077987,87.7650525947182,180.51278132714756,6.686087684433588,5.431218780651136,47.476532766273955,2.6237284454817784,1.0000000000000004
vicon_truth_delaycal_T4,R14,2401,90.1803724576249,180.89684172038633,76.23907128183642,152.56784267275802,13.941301175788482,28.328999047628315,56.62007835814398,2.0828589251105734,1.0000000000000002
vicon_truth_delaycal_T4,R15,2400,113.82084288963824,207.85501850290837,93.68140261656944,194.01850919335592,20.1394402730688,13.83650930955244,57.63844744317665,1.700726169023665,0.9999999999999987
vicon_truth_delaycal_T4,R16,2401,100.98481687786486,210.25331523657195,83.3698510263763,167.1882314058862,17.614965851488563,43.06508383068575,64.3661546206529,2.5601112892610463,1.0000000000000009
vicon_truth_delaycal_T4,R17,2401,98.43482927927437,190.58856987489165,82.2593627008847,184.83877567695268,16.175466578389674,5.749794197938968,64.09731832121093,1.1322527086603134,1.0000000000000002
