scenario,capture_id,beta0_s,beta_best_s,delta_beta_ms,current_p50_mm,current_p95_mm,best_p50_mm,best_p95_mm,drop_p50_mm,drop_p95_mm,n_current,n_best,grid_step_s,search_radius_s
self_cal_v4io_T4,R01,37.70795600000014,37.70095599999957,-7.000000000566331,107.20546492327934,438.26375775247215,106.95854984836181,438.4396236033179,0.24691507491752418,-0.1758658508457529,2401,2401,0.001,0.25
self_cal_v4io_T4,R02,46.52235800000014,46.52135799999956,-1.0000000005803145,110.93572178105359,289.7115909772107,110.80456461248795,289.5969069216679,0.13115716856563608,0.1146840555427957,2401,2401,0.001,0.25
self_cal_v4io_T4,R03,46.37758200000015,46.379581999999566,1.9999999994126938,106.78418228218717,276.2822506949211,106.67087241335352,276.5311840608808,0.11330986883365313,-0.2489333659596582,2250,2250,0.001,0.25
self_cal_v4io_T4,R04,47.29321100000013,47.29021099999955,-3.0000000005756533,103.8333753066465,287.12055085218594,103.71210603483769,286.40810967631904,0.12126927180881353,0.7124411758668998,2400,2400,0.001,0.25
self_cal_v4io_T4,R05,48.70257800000013,48.70257799999955,-5.826450433232822e-10,113.44679221003639,280.56207075393337,113.4467922098653,280.56207075397725,1.7109869077103212e-10,-4.388311936054379e-11,2401,2401,0.001,0.25
self_cal_v4io_T4,R06,45.52379100000014,45.52479099999955,0.9999999994150244,117.14211614527566,246.34486348565213,117.07124299061176,246.27393576560638,0.0708731546639001,0.07092772004574499,2401,2401,0.001,0.25
self_cal_v4io_T4,R07,45.22980400000012,45.22580399999955,-4.000000000573323,100.90395455080251,248.9021448428704,100.89708763988679,249.22605718537986,0.006866910915718449,-0.323912342509459,2401,2401,0.001,0.25
self_cal_v4io_T4,R08,44.84747700000013,44.84447699999956,-3.0000000005756533,95.03493331671366,267.21364818734173,94.98719531311151,267.51658660437585,0.04773800360214864,-0.30293841703411317,2401,2401,0.001,0.25
self_cal_v4io_T4,R09,44.96743900000014,44.964438999999565,-3.0000000005756533,122.72066283492791,309.7031148410745,122.64721520663406,310.19968175263915,0.07344762829384877,-0.49656691156462784,2400,2400,0.001,0.25
self_cal_v4io_T4,R10,45.34070900000013,45.34070899999955,-5.826450433232822e-10,90.1254945640798,238.02892480790405,90.12549456410918,238.02892480789762,-2.937383669632254e-11,6.423306331271306e-12,2400,2400,0.001,0.25
self_cal_v4io_T4,R11,45.512481000000136,45.51348099999955,0.9999999994150244,93.09557430637582,218.60853445421378,92.85879385219636,218.49836886064924,0.23678045417946691,0.11016559356454536,2401,2401,0.001,0.25
self_cal_v4io_T4,R12,46.93482500000013,46.93382499999955,-1.0000000005803145,103.03069638019758,221.6198717230606,102.89594730795281,221.36699338180074,0.13474907224477306,0.25287834125987274,2400,2400,0.001,0.25
self_cal_v4io_T4,R13,44.91856400000012,44.91756399999954,-1.0000000005803145,99.08580849429886,229.7790206795927,99.07232380277125,230.099673450755,0.013484691527608561,-0.3206527711623153,2401,2401,0.001,0.25
self_cal_v4io_T4,R14,45.59368200000013,45.59268199999955,-1.0000000005803145,86.54816473244018,209.68336257179308,86.54797554973037,209.71576969125576,0.00018918270981771457,-0.03240711946267538,2401,2401,0.001,0.25
self_cal_v4io_T4,R15,43.647452000000136,43.64845199999955,0.9999999994150244,93.09666896465944,207.69489796839855,92.91714646160025,207.49854594104866,0.17952250305918938,0.19635202734988866,2400,2400,0.001,0.25
self_cal_v4io_T4,R16,44.509039000000136,44.521038999999526,11.999999999389388,101.8016365731278,214.85043625878453,101.73553129708408,215.04982343729444,0.06610527604371441,-0.19938717850990884,2401,2401,0.001,0.25
self_cal_v4io_T4,R17,45.54838000000013,45.54737999999955,-1.0000000005803145,100.44378170631425,236.69366222407976,100.33675205833583,237.0375834115637,0.10702964797842185,-0.34392118748394296,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R01,37.70795600000014,37.694955999999586,-13.000000000552348,121.83061616697834,303.0720853804538,120.78604826924892,302.4200082565937,1.0445678977294222,0.6520771238601242,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R02,46.52235800000014,46.50935799999959,-13.000000000552348,116.39152569338421,213.86877702246252,114.87720295265567,213.9928104704583,1.5143227407285451,-0.12403344799577098,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R03,46.37758200000015,46.35058199999963,-27.00000000051972,115.15282185285403,213.52298559442625,112.90065259859853,213.04497536347907,2.252169254255506,0.4780102309471772,2250,2250,0.001,0.25
vicon_truth_delaycal_T4,R04,47.29321100000013,47.27921099999958,-14.000000000550017,109.47711438940081,202.20101559621455,109.10717066073892,200.99936535861355,0.3699437286618945,1.201650237601001,2400,2400,0.001,0.25
vicon_truth_delaycal_T4,R05,48.70257800000013,48.707577999999536,4.999999999405702,107.90678000591319,224.651690927177,107.6766403678521,224.13946954637842,0.2301396380610896,0.5122213807985645,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R06,45.52379100000014,45.53379099999953,9.99999999939405,105.0551791164911,185.2613554563589,104.72439932087116,186.79130439296483,0.3307797956199465,-1.5299489366059333,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R07,45.22980400000012,45.291803999999395,61.99999999927286,106.90873069661494,183.4535459197074,104.1535881506785,185.94949474613358,2.7551425459364367,-2.495948826426172,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R08,44.84747700000013,44.84747699999955,-5.826450433232822e-10,91.16997117455973,177.35540876314036,91.16997117477544,177.35540876287527,-2.1570656372205121e-10,2.650892838573782e-10,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R09,44.96743900000014,44.977438999999535,9.99999999939405,118.80028993178216,243.61235626245121,117.85234928832026,245.79206733133566,0.9479406434619051,-2.179711068884444,2400,2400,0.001,0.25
vicon_truth_delaycal_T4,R10,45.34070900000013,45.34470899999954,3.9999999994080326,93.59541335201469,178.55687716938257,93.21007544412177,179.0717689789232,0.385337907892918,-0.5148918095406145,2400,2400,0.001,0.25
vicon_truth_delaycal_T4,R11,45.512481000000136,45.54448099999948,31.999999999342776,105.53101659321139,199.80070470641823,104.345704922932,199.6510414820781,1.1853116702793898,0.14966322434011659,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R12,46.93482500000013,46.931824999999556,-3.0000000005756533,93.32261949240522,204.35996970450535,92.99574334728379,204.26717396399803,0.3268761451214317,0.09279574050731298,2400,2400,0.001,0.25
vicon_truth_delaycal_T4,R13,44.91856400000012,44.952563999999455,33.999999999338115,94.7429311508453,185.0054067320623,94.45114027915179,185.9440001077987,0.29179087169350737,-0.9385933757363887,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R14,45.59368200000013,45.576681999999586,-17.000000000543025,91.42860833173246,182.1356226695908,90.1803724576249,180.89684172038633,1.2482358741075643,1.238780949204454,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R15,43.647452000000136,43.6284519999996,-19.000000000538364,113.99510546215663,205.68423277210715,113.82084288963824,207.85501850290837,0.17426257251838706,-2.1707857308012137,2400,2400,0.001,0.25
vicon_truth_delaycal_T4,R16,44.509039000000136,44.509038999999554,-5.826450433232822e-10,100.98481687792435,210.25331523661674,100.98481687786486,210.25331523657195,5.948663783783559e-11,4.4792614062316716e-11,2401,2401,0.001,0.25
vicon_truth_delaycal_T4,R17,45.54838000000013,45.55037999999954,1.9999999994126938,98.70296471155179,191.80223185798954,98.43482927927437,190.58856987489165,0.2681354322774183,1.213661983097893,2401,2401,0.001,0.25
