dataset,node,window,disposition,imu_samples,uwb_sweeps,imu_sequence_gaps,max_quaternion_norm_error,min_quaternion_sign_dot,final_static_attitude_span_deg,moving_transitions,false_relocks_during_supported_motion,gravity_updates,zupt_updates,t4_updates,t4_blocked_frame_binding,bias_accel_norm_mps2,bias_gyro_norm_dps,covariance_min_eigenvalue,covariance_max_asymmetry,status,integrated_abs_rotation_deg,release_latency_s,context,known_move_detected,persistent_false_state_after_38_vibrations,attitude_finite
INDEPENDENT_STATIONARY,BSFC2CC,FULL,NO_EXTERNAL_ATTITUDE_TRUTH_INTERNAL_CONSISTENCY_ONLY,119981,5000,0,2.22044604925e-16,0.99931247212,1.44346546658,0,0,11978,11978,0,5000,0.140575574427,0.336281123101,7.34484937787e-08,0.0,PASS,,,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,FULL,NO_EXTERNAL_ATTITUDE_TRUTH_INTERNAL_CONSISTENCY_ONLY,365383,15224,0,2.22044604925e-16,0.677162947897,0.388534129629,9,0,12866,12866,0,15224,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,,,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,LOW,DEVELOPMENT_DATASET_ONLY,23110,,0,2.22044604925e-16,0.677162947897,,1,0,,,0,0,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,1871.10042925,0.289990813413,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,MEDIUM,DEVELOPMENT_DATASET_ONLY,20838,,0,2.22044604925e-16,0.677162947897,,1,0,,,0,0,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,4164.19885764,0.0449985744926,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,HIGH,DEVELOPMENT_DATASET_ONLY,20952,,0,2.22044604925e-16,0.677162947897,,1,0,,,0,0,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,7894.74879513,0.039998732871,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,CYCLE_1,DEVELOPMENT_DATASET_ONLY,40763,,0,2.22044604925e-16,0.677162947897,,1,0,,,0,0,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,9164.43365923,0.0249992080498,,,,
ROTATING_ARM_DEVELOPMENT,BSFC2CC,CYCLE_2,DEVELOPMENT_DATASET_ONLY,5954,,0,2.22044604925e-16,0.677162947897,,1,0,,,0,0,0.141182763402,0.35112256824,7.34505127589e-08,0.0,PASS,565.671329656,0.0449985744926,,,,
TEN_NODE_TABLETOP,BSF3C79,FULL,REGRESSION_ONLY,359981,15000,0,2.22044604925e-16,0.999240256594,,69,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,DIAGNOSTIC,,,STANDALONE,NOT_APPLICABLE,8,True
TEN_NODE_TABLETOP,BSF3C79,FULL,REGRESSION_ONLY,359981,15000,0,2.22044604925e-16,0.999240256594,,39,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15000,,,,,FAIL,,,FLEET_CONTEXT,NOT_APPLICABLE,2,True
TEN_NODE_TABLETOP,BSFC2CC,FULL,REGRESSION_ONLY,360031,15002,0,2.22044604925e-16,0.996110932542,,109,0,NOT_FULL_Q1_REPLAY,NOT_FULL_Q1_REPLAY,0,15002,,,,,DIAGNOSTIC,,,STANDALONE,True,11,True
