lane,run_id,status,start_utc,end_utc,log_path
gpu_raw,phase4_GPU_RAW_ALLL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:11:57Z,2026-06-06T22:17:35Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_GPU_RAW_ALLL_S00_5090D_DUALLANE_20260606T221157Z.log
gpu_raw,phase4_GPU_RAW_ALLL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:17:35Z,2026-06-06T22:23:13Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_GPU_RAW_ALLL_S01_5090D_DUALLANE_20260606T221157Z.log
stress,phase4_FULLSTRESS_L2_L16_L20_5seed_allP_allI_allT_DUALLANE_20260606T221157Z,running,2026-06-06T22:23:29Z,,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_FULLSTRESS_L2_L16_L20_5seed_allP_allI_allT_DUALLANE_20260606T221157Z.log
truefull,phase4_L0_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:11:57Z,2026-06-06T22:23:45Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L0_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
stress_full_allL,phase4_FULLSTRESS_ALLL_18L_5seed_allP_allI_allT_DUALLANE_20260606T221157Z,running,2026-06-06T22:24:31Z,,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_FULLSTRESS_ALLL_18L_5seed_allP_allI_allT_DUALLANE_20260606T221157Z.log
gpu_raw,phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:23:13Z,2026-06-06T22:29:02Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_GPU_RAW_ALLL_S02_5090D_DUALLANE_20260606T221157Z.log
gpu_raw,phase4_GPU_RAW_ALLL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:29:02Z,2026-06-06T22:34:41Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_GPU_RAW_ALLL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L0_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:23:45Z,2026-06-06T22:38:57Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L0_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
gpu_raw,phase4_GPU_RAW_ALLL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:34:41Z,2026-06-06T22:40:30Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_GPU_RAW_ALLL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L0_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:38:57Z,2026-06-06T22:47:48Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L0_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L0_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:47:48Z,2026-06-06T22:58:56Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L0_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L0_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T22:58:56Z,2026-06-06T23:13:40Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L0_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L1_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T23:13:40Z,2026-06-06T23:28:02Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L1_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L1_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T23:28:02Z,2026-06-06T23:43:11Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L1_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L1_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T23:43:11Z,2026-06-06T23:57:51Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L1_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L1_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-06T23:57:51Z,2026-06-07T00:12:23Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L1_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L1_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:12:23Z,2026-06-07T00:23:59Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L1_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L2_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:23:59Z,2026-06-07T00:34:57Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L2_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L2_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:34:57Z,2026-06-07T00:42:56Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L2_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L2_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:42:56Z,2026-06-07T00:50:55Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L2_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L2_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:50:55Z,2026-06-07T00:58:51Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L2_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L2_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T00:58:51Z,2026-06-07T01:06:48Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L2_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L3_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:06:48Z,2026-06-07T01:14:43Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L3_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L3_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:14:43Z,2026-06-07T01:22:35Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L3_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z.log
truefull,phase4_L3_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,done,2026-06-07T01:22:35Z,2026-06-07T01:30:30Z,runs/phase4_algorithm_factory/phase4_MAXMACHINE_DUALLANE_5090D_20260606T221157Z/logs/phase4_L3_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z.log
