sample_utc,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w,gpu_power_limit_w,mem_used_mb,mem_total_mb,swap_used_mb,cpu_tctl_c,phase4_proc_count,phase4_cpu_sum,phase4_rss_gib
2026-06-06T22:11:57Z,0,841,32607,29,6.39,500.00,10958,94084,0,46.2,4,187.5,0.2
2026-06-06T22:12:07Z,0,841,32607,30,6.30,500.00,29182,94084,0,86.5,36,3195.3,36.1
2026-06-06T22:12:17Z,98,16582,32607,36,143.32,500.00,43326,94084,0,83.6,35,3116.2,51.9
2026-06-06T22:12:27Z,98,18013,32607,37,142.64,500.00,44357,94084,0,80.5,35,3131.9,53.2
2026-06-06T22:12:37Z,98,18013,32607,37,142.63,500.00,45435,94084,0,82.0,35,3140.4,54.2
2026-06-06T22:12:47Z,100,18013,32607,38,138.22,500.00,48073,94084,0,87.2,35,3145.1,56.6
2026-06-06T22:12:58Z,98,18013,32607,38,143.96,500.00,48996,94084,0,82.9,35,3147.0,57.3
2026-06-06T22:13:08Z,98,18013,32607,39,143.93,500.00,49307,94084,0,82.2,36,3149.9,57.5
2026-06-06T22:13:18Z,99,18013,32607,39,137.56,500.00,50652,94084,0,90.2,36,3152.9,58.6
2026-06-06T22:13:28Z,98,18013,32607,39,141.35,500.00,51977,94084,0,84.8,36,3155.1,59.8
2026-06-06T22:13:38Z,98,18013,32607,40,144.49,500.00,52309,94084,0,82.6,36,3156.7,60.0
2026-06-06T22:13:48Z,98,16518,32607,40,142.83,500.00,49648,94084,0,85.1,36,3154.7,56.9
2026-06-06T22:13:58Z,100,9356,32607,40,138.22,500.00,39672,94084,0,88.6,36,3155.5,46.2
2026-06-06T22:14:09Z,98,16797,32607,40,147.30,500.00,45198,94084,0,84.2,36,3114.3,51.7
2026-06-06T22:14:19Z,98,18256,32607,41,146.66,500.00,46728,94084,0,82.2,36,3115.2,53.0
2026-06-06T22:14:29Z,98,18246,32607,41,146.47,500.00,43834,94084,0,82.9,36,3117.5,50.2
2026-06-06T22:14:39Z,98,18246,32607,41,144.55,500.00,45363,94084,0,84.8,36,3121.2,51.8
2026-06-06T22:14:49Z,98,18318,32607,42,147.29,500.00,45543,94084,0,82.6,36,3128.0,52.0
2026-06-06T22:14:59Z,98,18276,32607,42,147.42,500.00,45566,94084,0,81.9,36,3129.2,52.0
2026-06-06T22:15:10Z,98,18278,32607,42,147.18,500.00,45927,94084,0,85.5,36,3132.6,52.3
2026-06-06T22:15:20Z,98,18276,32607,42,147.55,500.00,46769,94084,0,85.1,36,3128.5,53.1
2026-06-06T22:15:30Z,98,17563,32607,42,148.04,500.00,46274,94084,0,82.5,36,3130.2,52.4
2026-06-06T22:15:40Z,98,18276,32607,42,148.19,500.00,46812,94084,0,82.8,36,3134.2,53.1
2026-06-06T22:15:50Z,98,18288,32607,42,145.59,500.00,47471,94084,0,86.1,36,3135.7,53.5
2026-06-06T22:16:00Z,98,18288,32607,43,147.39,500.00,48076,94084,0,84.8,36,3142.5,54.1
2026-06-06T22:16:10Z,98,18288,32607,43,147.37,500.00,47770,94084,0,84.9,36,3139.8,54.4
2026-06-06T22:16:20Z,98,18212,32607,43,147.14,500.00,47003,94084,0,84.9,36,3148.3,53.6
2026-06-06T22:16:31Z,98,16857,32607,43,146.89,500.00,39075,94084,0,86.6,34,2954.3,44.8
2026-06-06T22:16:41Z,98,15426,32607,43,146.56,500.00,37141,94084,0,87.2,32,2773.6,42.2
2026-06-06T22:16:51Z,98,15426,32607,43,146.70,500.00,37407,94084,0,86.2,32,2780.0,42.4
2026-06-06T22:17:01Z,98,13280,32607,43,146.93,500.00,34320,94084,0,87.1,29,2486.9,38.3
2026-06-06T22:17:11Z,98,9704,32607,43,145.82,500.00,29414,94084,0,89.6,24,1994.1,31.6
2026-06-06T22:17:21Z,98,9704,32607,43,145.38,500.00,29574,94084,0,90.2,24,1995.0,31.7
2026-06-06T22:17:31Z,0,1116,32607,40,92.41,500.00,17389,94084,0,90.5,12,799.7,15.1
2026-06-06T22:17:41Z,0,2479,32607,38,75.54,500.00,31692,94084,0,89.8,35,2982.7,34.2
2026-06-06T22:17:51Z,2,2595,32607,37,44.74,500.00,36619,94084,0,90.4,36,3126.9,40.2
2026-06-06T22:18:01Z,98,18336,32607,42,147.04,500.00,48328,94084,0,85.5,36,3104.1,54.2
2026-06-06T22:18:12Z,98,18334,32607,42,146.25,500.00,48590,94084,0,85.1,36,3124.3,54.4
2026-06-06T22:18:22Z,0,18334,32607,39,99.13,500.00,51448,94084,0,93.1,36,3133.5,57.0
2026-06-06T22:18:32Z,98,18334,32607,42,146.26,500.00,52457,94084,0,87.6,36,3139.5,57.9
2026-06-06T22:18:42Z,98,18334,32607,42,146.95,500.00,52675,94084,0,85.6,36,3143.9,58.2
2026-06-06T22:18:52Z,98,18334,32607,42,143.77,500.00,53396,94084,0,86.6,36,3146.4,58.6
2026-06-06T22:19:02Z,100,18333,32607,42,125.57,500.00,54921,94084,0,90.2,36,3149.0,60.0
2026-06-06T22:19:12Z,98,18333,32607,42,147.04,500.00,55756,94084,0,86.6,36,3151.1,60.6
2026-06-06T22:19:23Z,98,18333,32607,42,147.19,500.00,56028,94084,0,84.9,36,3153.5,60.8
2026-06-06T22:19:33Z,0,9749,32607,40,102.08,500.00,42603,94084,0,91.4,36,3166.5,45.9
2026-06-06T22:19:43Z,98,10388,32607,43,145.83,500.00,44657,94084,0,88.6,36,3155.1,48.3
2026-06-06T22:19:53Z,98,18333,32607,43,147.63,500.00,50471,94084,0,84.8,36,3147.5,55.0
2026-06-06T22:20:03Z,99,16902,32607,43,148.30,500.00,44851,94084,0,85.1,36,3147.9,49.2
2026-06-06T22:20:13Z,98,18333,32607,43,146.48,500.00,47470,94084,0,87.2,36,3159.1,52.1
2026-06-06T22:20:24Z,98,18333,32607,43,147.18,500.00,48284,94084,0,85.8,36,3163.4,52.7
