version,eval_set,anchor_similarity_scale_diagnostic,one_minus_scale_abs,median_distance_to_array_centroid_mm,median_scale_bias_expected_mm,median_err_3d_mm,corr_err_vs_distance,ols_err_per_distance_slope,ols_intercept_mm
v1-old,all8,0.9569413681749183,0.04305863182508174,757.0490971914554,32.5974983494774,167.61947011305455,0.6111850453754843,0.21449222944643784,23.13232397911871
v1-old,noG,0.956078523989287,0.043921476010712945,775.5184217006727,34.061913754592055,154.4719914176559,0.5771631778881956,0.2204194356850582,7.621796416216407
v2,all8,0.9405561453917995,0.05944385460820045,757.0490971914554,45.00191646471829,81.49350301644225,0.4701539635647588,0.1422126842446548,10.491884916719426
v2,noG,0.9381229439682154,0.061877056031784616,775.5184217006727,47.98679683325369,80.52362848738136,0.4123067417086562,0.1364268053396257,9.738130579071191
v3-full,all8,0.9659987429827457,0.034001257017254316,757.0490971914554,25.740620928287015,123.14943261216368,0.6519633222446022,0.20122625440447864,0.9913372500764049
v3-full,noG,0.9625307800672832,0.03746921993271679,775.5184217006727,29.05807030457591,123.79109214688988,0.6379033705054994,0.21315522171950935,-17.739379738777927
v3-lite,all8,0.9406088884394505,0.05939111156054955,757.0490971914554,44.96198738811104,81.69195758364084,0.46844072244505935,0.1417100502640598,11.068850335918674
v3-lite,noG,0.9382416657954182,0.061758334204581766,775.5184217006727,47.89472586919992,81.05486502037178,0.4115501483069846,0.1361883490436016,10.178733566980863
v4-io,all8,0.9604183133909641,0.03958168660903594,757.0490971914554,29.965280112685775,77.38103805352323,0.5321259433128146,0.16648683523169952,-2.82080114998632
v4-io,noG,0.9597410642386235,0.04025893576137651,775.5184217006727,31.22154632101148,81.26715583122152,0.4924200700248966,0.16882898231436894,-9.920499524086214
