layout,tag_method,kind,keep_k,keep_set,dropped_set,dropped_lower_count,dropped_upper_count,drop_category,drops_G,drops_H,drops_FGH_count,captures_ok,solved_total,x_std_mm_median,y_std_mm_median,z_std_mm_median,d3_std_mm_median,d3_std_mm_p95,residual_rms_median_mm,residual_rms_p95_mm
v1-old,T1,static,7,ABCDEFG,H,0,1,upper_heavy,0,1,1,24,28818,26.249232292175293,33.26296806335449,47.19295310974121,64.44552993774414,104.19806175231933,95.08332443237305,169.72608528137206
v1-old,T1,static,7,ABCDEFH,G,0,1,upper_heavy,1,0,1,24,28818,21.488737106323242,28.205458641052246,43.46699523925781,57.869293212890625,98.74732322692871,92.13608169555664,122.95607948303223
v1-old,T1,static,7,ABCDEGH,F,0,1,upper_heavy,0,0,1,24,28818,24.825644493103027,26.686108589172363,40.27402114868164,56.302812576293945,82.2292797088623,79.40402221679688,143.58904266357422
v1-old,T1,static,7,ABCDFGH,E,0,1,upper_heavy,0,0,0,24,28818,23.259791374206543,33.34007549285889,49.05276870727539,73.37957000732422,111.07989196777343,87.63210105895996,173.60146255493163
v1-old,T1,static,7,ABCEFGH,D,1,0,lower_heavy,0,0,0,24,28818,32.939701080322266,35.580299377441406,50.119354248046875,75.75424194335938,99.96310005187988,79.31512069702148,167.92149353027344
v1-old,T1,static,7,ABDEFGH,C,1,0,lower_heavy,0,0,0,24,28818,26.053884506225586,39.96121788024902,49.51963996887207,77.43192291259766,121.14553337097165,91.28573989868164,181.085693359375
v1-old,T1,static,7,ACDEFGH,B,1,0,lower_heavy,0,0,0,24,28818,27.85750389099121,33.15265464782715,42.71225357055664,62.052900314331055,116.63767738342283,89.7683334350586,175.08861541748047
v1-old,T1,static,7,BCDEFGH,A,1,0,lower_heavy,0,0,0,24,28818,30.910836219787598,35.72854423522949,56.44057273864746,75.9149284362793,139.6654079437255,91.42321395874023,171.87062072753906
v1-old,T1,static,6,ABCDEF,GH,0,2,upper_heavy,1,1,2,24,28818,25.529083251953125,27.65457057952881,51.52696228027344,71.42909622192383,128.44377708435053,92.47210693359375,123.61845016479492
v1-old,T1,static,6,ABCDEG,FH,0,2,upper_heavy,0,1,2,24,28818,24.98703384399414,31.137393951416016,41.43874549865723,60.19140434265137,100.68066062927245,78.53157806396484,130.12388610839844
v1-old,T1,static,6,ABCDEH,FG,0,2,upper_heavy,1,0,2,24,28818,22.86625576019287,25.938064575195312,38.21496772766113,55.393672943115234,98.38030967712398,77.2802734375,105.95491790771484
v1-old,T1,static,6,ABCDFG,EH,0,2,upper_heavy,0,1,1,24,28818,24.696374893188477,35.7142276763916,57.650909423828125,77.32438278198242,154.7385326385497,95.7891731262207,177.40480041503906
v1-old,T1,static,6,ABCDFH,EG,0,2,upper_heavy,1,0,1,24,28818,23.09182834625244,29.99366569519043,47.20660972595215,70.82223129272461,105.67989044189451,78.7144546508789,112.67821502685547
v1-old,T1,static,6,ABCDGH,EF,0,2,upper_heavy,0,0,1,24,28818,26.129008293151855,29.839317321777344,43.01674270629883,80.61763381958008,116.12519149780273,70.95738220214844,147.19654846191406
v1-old,T1,static,6,ABCEFG,DH,1,1,balanced,0,1,1,24,28818,35.95376205444336,45.212615966796875,52.78813552856445,79.96561813354492,122.55014724731441,61.19461631774902,152.61923217773438
v1-old,T1,static,6,ABCEFH,DG,1,1,balanced,1,0,1,24,28818,35.76681709289551,36.11648750305176,55.21488571166992,82.1507568359375,114.9597858428955,76.90428924560547,108.37853240966797
v1-old,T1,static,6,ABCEGH,DF,1,1,balanced,0,0,1,24,28818,28.608938217163086,31.022944450378418,41.115976333618164,64.57162284851074,140.40532951354976,67.05608367919922,136.38328552246094
v1-old,T1,static,6,ABCFGH,DE,1,1,balanced,0,0,0,24,28818,33.69206428527832,46.680233001708984,60.827640533447266,89.95247268676758,123.79875869750975,68.00946807861328,170.8792266845703
v1-old,T1,static,6,ABDEFG,CH,1,1,balanced,0,1,1,24,28818,30.597722053527832,44.792747497558594,58.28788185119629,85.6201057434082,131.21262588500974,94.46179580688477,172.80280303955078
v1-old,T1,static,6,ABDEFH,CG,1,1,balanced,1,0,1,24,28818,27.144383430480957,32.64266586303711,45.66922378540039,66.25748825073242,119.29435577392574,96.0055160522461,132.90594482421875
v1-old,T1,static,6,ABDEGH,CF,1,1,balanced,0,0,1,24,28818,28.90458869934082,33.589704513549805,37.34567832946777,62.73407745361328,106.84675064086912,75.67546463012695,134.2664566040039
v1-old,T1,static,6,ABDFGH,CE,1,1,balanced,0,0,0,24,28818,51.501914978027344,64.74410820007324,49.25919151306152,104.30930709838867,139.3461471557617,73.6545181274414,162.1623077392578
v1-old,T1,static,6,ABEFGH,CD,2,0,lower_heavy,0,0,0,24,28818,33.15078544616699,50.122337341308594,60.6663932800293,88.17410659790039,157.39068908691402,72.62662887573242,169.5567169189453
v1-old,T1,static,6,ACDEFG,BH,1,1,balanced,0,1,1,24,28818,38.00876235961914,49.82276153564453,47.38136672973633,95.63338470458984,138.73263244628905,88.10918426513672,158.22689819335938
