anchor_source,delay_mode,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,err_x_median_abs_mm,err_y_vertical_median_abs_mm,err_z_median_abs_mm,d3_std_median_mm,residual_rms_median_mm
OptiTrack truth anchors,raw_zero_delay,T4,all8,24,28818,28818,295.99647996381566,341.1563441302382,443.1299291145868,297.78113170329374,95.54495454683638,279.8878934669622,45.77200751515775,279.8878934669622,57.79508988893052,78.42589836765318,138.90397143440777
OptiTrack truth anchors,autopos_v4io_delay_vector,T4,all8,24,28818,28818,241.92535291451367,280.7474654612553,376.26384130819184,240.41867351391653,79.91566980833989,214.83783079558432,45.98162104942634,214.83783079558432,40.387240128828594,70.96728794818088,117.36804871240156
OptiTrack truth anchors,inter_anchor_delaycal,T4,all8,24,28818,28818,58.431214101594016,91.82017612946753,134.84158858123078,74.85823153553288,37.56252734421254,39.535982288000284,20.046957757039756,39.535982288000284,17.020386092994677,59.08730141874764,93.3524541208322
OptiTrack truth anchors,raw_zero_delay,T4,noG,24,28818,28818,322.1067055249,371.04185895574216,534.1134268169696,349.68430293630246,126.1822756271736,286.1804963361324,55.1781053484284,286.1804963361324,98.00454852667679,56.162874726088816,120.58729524826383
OptiTrack truth anchors,autopos_v4io_delay_vector,T4,noG,24,28818,28818,255.07965495297475,308.6628714142587,471.00640533442794,287.71456203877887,114.50881844536812,206.04422608692448,69.36828829258964,206.04422608692448,80.5182096052346,55.56677218502023,104.34123584581874
OptiTrack truth anchors,inter_anchor_delaycal,T4,noG,24,28818,28818,78.0796231927911,156.35773140818958,198.24520670436917,118.44322106092486,50.07965661770353,64.12412197840149,19.12771823297659,64.12412197840149,29.865985846906938,55.527976321001915,98.1938358303137
