eval_set,location,n,err_3d_median_mm,err_3d_median_ci95_low_mm,err_3d_median_ci95_high_mm,err_3d_p95_mm,err_3d_p95_ci95_low_mm,err_3d_p95_ci95_high_mm,err_3d_rms_mm,err_x_abs_median_mm,err_y_vertical_abs_median_mm,err_z_abs_median_mm,err_horizontal_median_mm,small_n_note
all8,center,12,69.47969764058904,46.255235336721995,110.03629748026756,162.318147715157,78.99312569628059,175.80806350308552,92.95668978713285,22.970700473581104,56.24328693906966,17.62035453322946,34.730210511790574,bootstrap CI is descriptive; n is small
all8,edge,12,129.36733950825834,62.53906410579749,176.23627063517165,322.4644206639239,159.68056249245168,369.5678176231023,172.00378242209257,37.291558861433224,109.42721714992274,26.585744203154572,56.594008282782795,bootstrap CI is descriptive; n is small
noG,center,12,72.42410304037205,48.30547018051107,114.67976226179209,164.84393463015408,82.62276236275264,183.856709897128,96.5321620722715,33.2316476129606,62.52537648304224,20.32370135679689,41.642106178794066,bootstrap CI is descriptive; n is small
noG,edge,12,132.34077685605564,65.45832597213959,178.4896251959977,327.00502211853734,167.7305010310091,365.7297160701772,174.68243682105947,37.320813301813246,109.74529084531233,27.029420418653302,59.00435426120738,bootstrap CI is descriptive; n is small
