mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
all8,ABEF,high,2,0.7476445138454437,0.7867638081312179,1.117143988609314,106.63362100495875,91.7985012489592
all8,ABEF,low,2,0.7522640824317932,0.7638968229293823,1.1145215034484863,113.40754186680162,92.12530703146321
all8,ABEF,mid,2,0.9062770903110504,0.9074056833982468,1.1999214887619019,115.40944847510812,93.6684707188454
all8,ADHE,high,2,0.7844107449054718,0.790884605050087,1.1243165135383606,104.66248926254788,91.96502914238135
all8,ADHE,low,2,0.741818904876709,0.7540393710136414,1.1043237447738647,137.55633401300634,91.09075770191507
all8,ADHE,mid,2,0.8792254626750946,0.9004311412572861,1.1768373250961304,77.7054933473849,90.7993338884263
all8,BCGF,high,2,0.7647844552993774,0.8021517038345337,1.1154349446296692,109.62870113291399,92.75603663613657
all8,BCGF,low,2,0.7290116250514984,0.7695226103067399,1.102016568183899,91.98003244102073,93.37461345459269
all8,BCGF,mid,2,0.8784865438938141,0.9042003720998764,1.1764795184135437,82.58665185358097,91.7116985845129
all8,CDHG,high,2,0.797723263502121,0.8237576156854629,1.138719618320465,115.29532142575104,93.58867610324731
all8,CDHG,low,2,0.7376188337802887,0.7393524259328842,1.1103394031524658,179.82700603813663,90.3413821815154
all8,CDHG,mid,2,0.9022969901561737,0.9087314754724503,1.1980165839195251,120.72604325592548,92.9225645295587
dropAB,ABEF,high,2,1.2620903849601746,1.2914460361003877,1.6011632680892944,106.63362100495875,91.7985012489592
dropAB,ABEF,low,2,0.7563387751579285,0.7645850658416748,1.241969645023346,113.40754186680162,92.12530703146321
dropAB,ABEF,mid,2,1.2093526721000671,1.2130005300045013,1.5220131874084473,115.40944847510812,93.6684707188454
dropAB,ADHE,high,2,1.2389172315597534,1.299796724319458,1.5618969798088074,104.66248926254788,91.96502914238135
dropAB,ADHE,low,2,0.7447730898857117,0.7571801841259003,1.2465855479240417,137.55633401300634,91.09075770191507
dropAB,ADHE,mid,2,1.1984554529190063,1.2342651963233948,1.5177608728408813,77.7054933473849,90.7993338884263
