version,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,pct_solved_ge8_median,median_scale_bias_expected_mm
v1-old,T1,all8,24,28818,28818,168.05845066119994,221.64970379333647,316.4688053772768,194.1330623740474,53.85169063519905,144.98732426490727,63.037464879098266,117.50529380764591,88.65564042376843,91.88176519567027,32.5974983494774
v1-old,T2,all8,24,28818,28818,167.6754767581387,219.89160378959207,316.3487611324706,194.02312113770617,53.06639973143113,145.9015699978814,62.85817666612623,118.4857736049253,88.67017000425598,91.88176519567027,32.5974983494774
v1-old,T3,all8,24,28818,28818,119.80987316866273,185.554635596087,312.376926294218,168.26649934912726,56.84781272516659,111.86840900542205,64.45682832770855,115.05873572875397,92.88965388054051,91.88176519567027,32.5974983494774
v1-old,T4,all8,24,28818,28818,134.30428189897475,193.81628038756068,253.55717041199375,160.56169287136774,50.931256378505985,128.35761891726997,68.00019629367785,124.94892715785556,89.47006206162368,91.88176519567027,32.5974983494774
v2,T1,all8,24,28818,28818,79.67501457970067,144.02261093424323,232.66749316200168,133.03469093941064,42.742702601378326,68.08307034712993,61.88953842442238,112.86189478598925,86.1888769600641,91.88176519567027,45.00191646471829
v2,T2,all8,24,28818,28818,78.62380129924982,144.01530024148659,231.6187139003014,132.71106031125643,41.99664306861196,67.70737153117364,61.77174039600267,113.30662243833542,86.17937672196726,91.88176519567027,45.00191646471829
v2,T3,all8,24,28818,28818,71.2664229537187,107.14649268390428,190.09625136561604,100.47105099053073,45.58098683306456,53.10453543039489,63.25918576507351,108.63894686531556,87.46925845396942,91.88176519567027,45.00191646471829
v2,T4,all8,24,28818,28818,74.98445175313647,136.61018881369083,166.03293415389163,101.95665019746211,43.360856476378316,58.637947709538594,62.73922750446413,115.80100050069376,86.73068579015987,91.88176519567027,45.00191646471829
v3-lite,T1,all8,24,28818,28818,79.80424035053099,143.79654474001202,233.108816773229,133.19123005329223,42.93973874566203,68.6638129648685,62.09870861840126,113.21491896636475,86.0651864856452,91.88176519567027,44.96198738811104
v3-lite,T2,all8,24,28818,28818,78.88453340315547,143.5421028027363,232.18930329760587,132.88669995151628,42.16235143209417,68.42956829074103,61.987853201847315,113.36720058737123,86.08062218037091,91.88176519567027,44.96198738811104
v3-lite,T3,all8,24,28818,28818,72.3660042011679,106.92737580805898,190.24070262657602,100.5827973077396,45.96618027913914,52.65386355853778,63.146798924587955,108.79661971860031,87.44535939984192,91.88176519567027,44.96198738811104
v3-lite,T4,all8,24,28818,28818,75.19788033496235,136.45420561274778,164.6357169382673,101.9337680305296,43.47907413172652,58.65891737459151,62.69909376366209,116.07497312910638,86.71866977698079,91.88176519567027,44.96198738811104
v3-full,T1,all8,24,28818,28818,121.0190022391258,177.7938889585974,278.34667198531747,160.40419790061463,51.93049192781345,99.46306861524415,64.49394894570466,116.35738815531042,92.3134415353276,91.88176519567027,25.740620928287015
v3-full,T2,all8,24,28818,28818,122.93968008788451,177.72483777671602,278.63814148604456,159.98708186242646,51.101828507123095,99.63673230980795,65.34747323398756,117.91185306516488,91.94620975964995,91.88176519567027,25.740620928287015
v3-full,T3,all8,24,28818,28818,78.87692728882709,143.16988639404653,233.34615927112935,126.08187794786977,43.278353224768736,70.53538575330595,56.171709308240395,99.21996815958678,95.07043926596731,91.88176519567027,25.740620928287015
