version,eval_set,n_anchors,layout_sha256,shape_rms_mm,proper_rotation_rms_3d_mm,proper_rotation_det,reflection_allowed_rms_3d_mm,reflection_allowed_horizontal_rms_mm,reflection_allowed_vertical_rms_mm,reflection_allowed_det,similarity_scale,similarity_rms_3d_mm,similarity_diagnostic_only
v1-old,all8,8,52aad127f1ef6a71,137.6477962756091,1439.00164190534,1.000000000000001,106.93226194807049,94.6778500355566,49.70526489191479,-1.000000000000001,0.9569413681749183,65.9331725223207,True
v1-old,noG,7,52aad127f1ef6a71,137.44727477368875,1339.3834264450604,1.0000000000000004,98.77517108510236,90.24002061105331,40.165571115171716,-1.0000000000000007,0.956078523989287,50.78720338862636,True
v1-old,lower,4,52aad127f1ef6a71,176.78532928683393,120.09875940540446,1.0000000000000004,114.1143997555479,111.4876026299313,24.343596517349802,-1.0000000000000004,0.9421365720791637,44.17753691625943,True
v1-old,upper,4,52aad127f1ef6a71,112.6062029819491,73.83274132885624,0.9999999999999983,73.83274132885624,73.374196416429,8.21589875650213,0.9999999999999983,0.9644271082512714,35.89278333605882,True
v2,all8,8,4e498b3941d43fec,185.84370188368987,1490.3976683420387,1.0000000000000002,135.35811586503337,110.02005444645704,78.8505367776937,-1.0000000000000004,0.9405561453917995,65.87517918913305,True
v2,noG,7,4e498b3941d43fec,193.24595608978433,1382.662897766669,1.0,137.46748123275484,108.56368439520543,84.32813781304576,-0.9999999999999998,0.9381229439682154,64.09778197253657,True
v2,lower,4,4e498b3941d43fec,217.6082921447221,137.74097578163162,0.999999999999999,135.07696795653868,134.85435878012308,7.751721765750875,-0.999999999999999,0.928562921228548,29.478981386362015,True
v2,upper,4,4e498b3941d43fec,119.33966326103139,78.54011409365661,1.0,78.54011409365661,76.27311814355632,18.733952346040017,1.0,0.9616467402920581,36.074630372011995,True
v3-full,all8,8,332ab5b8fee90939,149.18034426081977,1432.1012008907642,0.9999999999999998,144.38999057885255,126.89326334447813,68.89534887893413,-0.9999999999999997,0.9659987429827457,128.55644123815156,True
v3-full,noG,7,332ab5b8fee90939,161.9080117344706,1325.8693674451802,1.0,151.62063826142293,134.7491496642603,69.50888153006092,-1.0000000000000002,0.9625307800672832,133.63533661763498,True
v3-full,lower,4,332ab5b8fee90939,236.25582289374245,181.33407422206474,0.9999999999999988,177.73863031154477,176.56048264940574,20.43077755820535,-0.9999999999999989,0.9407745100607272,141.53201615890728,True
v3-full,upper,4,332ab5b8fee90939,47.53831302003274,49.008960905469216,1.0000000000000004,30.394379881919317,29.84638620996715,5.7455686064918305,-1.0000000000000007,0.9839794613579614,10.601075710999035,True
v3-lite,all8,8,742d7980534f0cd8,185.7226849172543,1490.8648251801785,1.0000000000000004,135.43795848091966,109.82395476767229,79.25994925980956,-1.0000000000000002,0.9406088884394505,66.23985863118345,True
v3-lite,noG,7,742d7980534f0cd8,192.9719850116958,1382.9324358026518,1.0,137.51586454405563,108.25213774260563,84.80617710671196,-0.9999999999999999,0.9382416657954182,64.67282566565038,True
v3-lite,lower,4,742d7980534f0cd8,217.0506220312335,137.54609448043865,1.0000000000000002,134.78679402985753,134.5275990425429,8.354935110223252,-1.0000000000000002,0.9287427226899432,29.746457340428897,True
v3-lite,upper,4,742d7980534f0cd8,119.07435903117847,78.550751332874,0.9999999999999997,78.550751332874,76.23723130090593,18.92366503960521,0.9999999999999997,0.9618030996175496,36.664579735385885,True
v4-io,all8,8,4ef298693e15fc4c,130.5509784909241,1467.913261745266,0.9999999999999991,104.94023834102428,86.1372828538157,59.94015453460833,-0.9999999999999991,0.9604183133909641,71.18999041046834,True
v4-io,noG,7,4ef298693e15fc4c,133.354171602804,1362.897657852497,0.9999999999999997,104.40767238329548,84.42224837726295,61.43163705636766,-0.9999999999999999,0.9597410642386235,70.14916681552896,True
v4-io,lower,4,4ef298693e15fc4c,157.95113730486452,106.80994295912983,0.9999999999999991,105.30168525106517,105.2663596267363,2.7273517648110595,-0.999999999999999,0.9511339208397473,57.83975381113505,True
v4-io,upper,4,4ef298693e15fc4c,76.7333051542769,52.17890032575306,1.0,52.17890032575306,51.59580587066491,7.778846685822655,1.0,0.9766138121058856,31.110349712757035,True
