row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L4:I3:T6,simulate_imu_prior,0.660442509004497,,,,
R2:L4:I3:T6,cpu_golden,22.900896134990035,,,,
R2:L4:I3:T6,torch_gpu,3.1711706810019678,0,1,3.1711706810019678,3.1711706810019678
R2:L4:I3:T8,simulate_imu_prior,0.6482703529909486,,,,
R2:L4:I3:T8,cpu_golden,21.460303871004726,,,,
R2:L4:I3:T8,torch_gpu,2.796204022000893,0,1,2.796204022000893,2.796204022000893
R2:L4:I4:T6,simulate_imu_prior,0.6462141770025482,,,,
R2:L4:I4:T6,cpu_golden,21.01096746500116,,,,
R2:L4:I4:T6,torch_gpu,2.462090059998445,0,1,2.462090059998445,2.462090059998445
R2:L4:I4:T8,simulate_imu_prior,0.6906678300001658,,,,
R2:L4:I4:T8,cpu_golden,21.68240563700965,,,,
R2:L4:I4:T8,torch_gpu,2.792857324995566,0,1,2.792857324995566,2.792857324995566
