version,tag_method,eval_set,method,n_tags,err_3d_median_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,range_median_min_mm,range_median_max_mm,range_p95_min_mm,range_p95_max_mm,det,scale,note
v1-old,T1,all8,A_tag_cloud_fit_WRONG_circular,24,150.2221379691328,330.8396316573911,191.40321139784123,51.341161857741575,134.50171156069462,,,,,-0.9999999999999999,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T1,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,191.37589220192174,1626.850138329964,391.4382701114168,2245.014064142734,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T1,all8,C_anchor_locked_OFFICIAL,24,157.9705273048486,327.42142408016826,193.18638281792428,53.73956914967713,140.543418071622,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T2,all8,A_tag_cloud_fit_WRONG_circular,24,149.73365993908183,330.8381675871031,191.215304942234,51.93299881439457,134.63716352000634,,,,,-1.0000000000000004,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,191.82963871430508,1627.1892312374976,391.566125440075,2245.287927777058,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T2,all8,C_anchor_locked_OFFICIAL,24,157.80637171598264,327.37103864973545,193.068060764124,53.47806468533261,141.00363796121633,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T3,all8,A_tag_cloud_fit_WRONG_circular,24,119.57698908124055,314.9083284638312,165.69699815493493,52.21436003630889,108.16979704014159,,,,,-0.9999999999999994,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T3,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,174.04154059786111,1604.310955404209,392.1263306301319,2236.563747633479,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T3,all8,C_anchor_locked_OFFICIAL,24,121.38284768645026,318.3442659033305,168.59466418603844,55.714125372032726,96.43280199761159,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v1-old,T4,all8,A_tag_cloud_fit_WRONG_circular,24,134.9086740099601,244.36542738165187,158.96961731265836,45.04495248325631,124.53000268009146,,,,,-0.999999999999999,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v1-old,T4,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,177.5468921966999,1621.0914250704182,378.6133661864824,2231.505663586378,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v1-old,T4,all8,C_anchor_locked_OFFICIAL,24,132.92485172349362,237.03101589156995,160.31909900944268,49.989009594251655,121.02531418839665,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,T1,all8,A_tag_cloud_fit_WRONG_circular,24,79.28469364487316,225.65981691262692,130.7886723586132,45.34595344459293,60.17933589162715,,,,,-1.000000000000001,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v2,T1,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,167.7330331723174,1563.245182619395,370.6790513121472,2167.3016375315824,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v2,T1,all8,C_anchor_locked_OFFICIAL,24,81.37373165111927,247.27382160965172,134.64709488759274,43.573076681999524,73.75061350318913,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,T2,all8,A_tag_cloud_fit_WRONG_circular,24,80.36967974072562,225.1360223613048,130.47867203311012,44.97301561530472,60.29039995194148,,,,,-1.0,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v2,T2,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,167.13347588841552,1564.5825267449418,370.5418032574974,2167.383114950532,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v2,T2,all8,C_anchor_locked_OFFICIAL,24,81.16003663031559,246.46465587820592,134.36090751227613,44.428522434999536,73.28692978994536,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,T3,all8,A_tag_cloud_fit_WRONG_circular,24,63.50427980011007,175.64462715239335,90.12255191356145,40.54950087455233,41.9154276327331,,,,,-1.0000000000000009,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
v2,T3,all8,B_centroid_only_WRONG_underdetermined,24,,,,,,148.92162707751828,1524.3547126885946,352.1221704507495,2153.0333948638736,,1.0,WRONG: centroid fixes translation only; rotation/reflection remain free.
v2,T3,all8,C_anchor_locked_OFFICIAL,24,74.01147161117541,205.26034180619916,106.09982754332293,48.9481775034338,59.723645572042756,,,,,,1.0,"CORRECT: transform fitted from anchors only, reflection allowed, no scale."
v2,T4,all8,A_tag_cloud_fit_WRONG_circular,24,60.726308946821774,185.03320637425966,98.13119036708733,44.78052600992132,50.42626274110796,,,,,-1.000000000000001,1.0,WRONG: transform fitted to tag truth; included as a circularity diagnostic.
