version,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,pct_solved_ge8_median,median_scale_bias_expected_mm
v1-old,T1,all8,24,28818,28818,157.9705273048486,230.42964955590946,327.4214240801682,193.18638281792425,53.73956914967711,140.543418071622,63.020869004676186,117.57895019497192,88.65564042376832,91.88176519567027,33.48695799419673
v1-old,T2,all8,24,28818,28818,157.80637171598246,230.2049837255537,327.3710386497354,193.06806076412397,53.47806468533261,141.0036379612161,62.84249008122672,118.4904769912851,88.67017000425591,91.88176519567027,33.48695799419673
v1-old,T3,all8,24,28818,28818,121.38284768645022,188.51681791574916,318.3442659033305,168.59466418603841,55.714125372032726,96.43280199761136,64.455326763985,115.0373279602268,92.88965388054044,91.88176519567027,33.48695799419673
v1-old,T4,all8,24,28818,28818,132.92485172349362,193.12066706369995,237.03101589156995,160.31909900944268,49.989009594251655,121.02531418839688,67.99888278674581,124.93619332957459,89.47006206162357,91.88176519567027,33.48695799419673
v2,T1,all8,24,28818,28818,81.3737316511191,143.603946390961,247.27382160965166,134.64709488759271,43.57307668199945,73.7506135031889,61.88519514821589,112.80904995092854,86.18887696006408,91.88176519567027,45.7619693143254
v2,T2,all8,24,28818,28818,81.16003663031563,142.5329624215713,246.46465587820592,134.36090751227616,44.42852243499951,73.28692978994536,61.76081179400883,113.43247544053423,86.17937672196712,91.88176519567027,45.7619693143254
v2,T3,all8,24,28818,28818,74.01147161117541,110.14705628800006,205.26034180619916,106.09982754332293,48.948177503433726,59.723645572042756,63.26008267955727,108.51033022805731,87.46925845396942,91.88176519567027,45.7619693143254
v2,T4,all8,24,28818,28818,76.20797884854409,120.02132183665361,168.36756804765503,104.91668765831336,42.68687976905686,66.00585228637237,62.7385962846362,115.93478727375467,86.7306857901599,91.88176519567027,45.7619693143254
v3-lite,T1,all8,24,28818,28818,82.09768186097145,143.95114665872273,247.84929683477048,134.83751186834573,43.88364776176305,74.37470088621671,62.09253486379309,113.22287168449539,86.06518648564516,91.88176519567027,45.72465972116619
v3-lite,T2,all8,24,28818,28818,81.84712085750138,142.87410683683086,246.8557772370022,134.5482083583471,44.75499790407914,73.8771223810486,61.96806423792448,113.41116944593423,86.08062218037084,91.88176519567027,45.72465972116619
v3-lite,T3,all8,24,28818,28818,74.71862454246427,110.29679111376038,205.26637181844694,106.1593160325507,49.16181123038868,63.85109016666195,63.13419995325703,108.51631665674614,87.44535939984183,91.88176519567027,45.72465972116619
v3-lite,T4,all8,24,28818,28818,76.84261728234856,119.83721445669973,168.3110490262734,104.9714699271302,43.4048176663631,66.29232134629012,62.704770385736666,116.27390875245075,86.71866977698076,91.88176519567027,45.72465972116619
v3-full,T1,all8,24,28818,28818,115.81993875004372,174.4675422517318,291.61349568807066,160.23278934557038,48.93371364102105,109.36472361159122,64.50418467299573,116.55287920522814,92.31344153532767,91.88176519567027,26.87404130997929
v3-full,T2,all8,24,28818,28818,116.74756686650167,174.18073049336394,291.66532049031144,159.77446442229905,47.43131061056313,109.68817324983115,65.33450044124753,117.8507192217615,91.94620975965017,91.88176519567027,26.87404130997929
v3-full,T3,all8,24,28818,28818,89.64904269106903,147.32925679583286,250.09721446333378,129.3270311921959,46.211800706593436,70.22717537817675,56.17181503916076,99.31386776311163,95.07043926596731,91.88176519567027,26.87404130997929
v3-full,T4,all8,24,28818,28818,98.61852826661698,152.13020168989283,236.90231758323512,132.89773464492535,40.67698403854823,89.25393662171787,61.53221861407795,120.40143697743449,91.6819860558391,91.88176519567027,26.87404130997929
v4-io,T1,all8,24,28818,28818,70.82456962772582,146.41138310633386,283.5085831578185,139.30570799524523,42.857293258464956,64.05488686611329,58.63635693830278,105.68269813753848,80.60602578271508,91.88176519567027,31.037393484167744
v4-io,T2,all8,24,28818,28818,71.04222001593146,146.45382465269435,282.8114668096394,138.97680586655218,42.79218235990872,63.90006981446891,58.93218714553248,106.32373148510692,80.56301364137063,91.88176519567027,31.037393484167744
v4-io,T3,all8,24,28818,28818,69.09931169791295,118.47672814653535,172.96328284884962,106.62021836522582,45.49381722627274,47.70808538962936,58.73156152278513,101.99038285738561,82.24662816266249,91.88176519567027,31.037393484167744
v4-io,T4,all8,24,28818,28818,69.75096368754686,132.32573451481034,173.81072265295094,108.91685505811395,37.57992438368355,59.96769006175987,67.43906137380525,120.53155025356895,79.59724289805993,91.88176519567027,31.037393484167744
