version,eval_set,anchor,alignment,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_mm,err_vertical_mm,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,fit_det_2d,fit_vertical_shift_mm
v1-old,all8,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-70.73322955534718,-162.04744145553826,-126.95596526381769,217.67034745615496,145.33068113580532,162.04744145553826,-1145.2995295553471,86.22784854446172,-1751.2071152638177,-1074.5663,248.27528999999998,-1624.25115,1.0000000000000004,-15.02186666666671
v1-old,all8,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-25.138057017482197,-50.22238533771281,79.26959884917392,97.14874781145072,83.16003374411979,50.22238533771281,-1345.5708570174822,220.1041396622872,1108.625698849174,-1320.4328,270.326525,1029.3561,1.0000000000000004,-15.02186666666671
v1-old,all8,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",35.42687444343244,-43.0685520342428,115.67988760425283,128.42040337613636,120.98305595811048,43.0685520342428,887.3485644434325,179.3260829657572,1309.9586876042529,851.92169,222.394635,1194.2788,1.0000000000000004,-15.02186666666671
v1-old,all8,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",73.37265212645548,-54.03666989909655,-40.60539026217043,99.76124243511076,83.85907105622513,54.03666989909655,1156.1467521264556,186.86738510090345,-1473.0833902621705,1082.7741,240.904055,-1432.478,1.0000000000000004,-15.02186666666671
v1-old,all8,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-56.67363982224538,-96.83987671174577,-55.93041205917689,125.371743887357,79.62482303786248,96.83987671174577,-1227.3045398222455,1551.1327232882543,-1637.583412059177,-1170.6309,1647.9726,-1581.653,1.0000000000000004,-15.02186666666671
v1-old,all8,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-12.7629642745012,-14.121188749777048,16.13064344391887,24.94992758895037,20.569173901424357,14.121188749777048,-1284.4754142745012,1645.978711250223,1115.390243443919,-1271.71245,1660.0999,1099.2596,1.0000000000000004,-15.02186666666671
v1-old,all8,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",45.55368421426317,-1.5371185381500254,78.73875396774656,90.9796254954177,90.96663960972799,1.5371185381500254,1007.9772042142632,1622.97938146185,1265.5830539677465,962.42352,1624.5165,1186.8443,1.0000000000000004,-15.02186666666671
v1-old,all8,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",10.954679885424866,15.658307287927073,-66.32711627992967,69.02516897861673,67.22567489734442,15.658307287927073,1039.0171798854249,1645.976307287927,-1618.4148162799297,1028.0625,1630.318,-1552.0877,1.0000000000000004,-15.02186666666671
v2,all8,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-81.18431232889566,-243.36797540208198,-132.49450464827146,288.7449701408059,155.3888230546409,243.36797540208198,-1155.7506123288956,4.907314597918001,-1756.7456546482715,-1074.5663,248.27528999999998,-1624.25115,1.0000000000000007,-15.02186666666656
v2,all8,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-54.05870832061896,-178.27796855076923,87.91831847848675,205.99759401499682,103.20840406371171,178.27796855076923,-1374.491508320619,92.04855644923076,1117.2744184784867,-1320.4328,270.326525,1029.3561,1.0000000000000007,-15.02186666666656
v2,all8,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",72.60212535323694,-149.70456961740305,140.56849777346474,217.81191275140938,158.21052800650054,149.70456961740305,924.523815353237,72.69006538259694,1334.8472977734648,851.92169,222.394635,1194.2788,1.0000000000000007,-15.02186666666656
v2,all8,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",106.5810895384393,-182.09922572787738,-52.28004928782434,217.37723020461596,118.71281397026253,182.09922572787738,1189.3551895384394,58.80482927212261,-1484.7580492878244,1082.7741,240.904055,-1432.478,1.0000000000000007,-15.02186666666656
v2,all8,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-71.64900806791934,-138.7325528104716,-61.346104245685865,167.76068094923082,94.3235117202457,138.7325528104716,-1242.2799080679195,1509.2400471895285,-1642.9991042456859,-1170.6309,1647.9726,-1581.653,1.0000000000000007,-15.02186666666656
v2,all8,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-25.84221579750988,-14.122576270399122,17.276326299552693,34.142916223529085,31.085230700988618,14.122576270399122,-1297.5546657975099,1645.9773237296008,1116.5359262995528,-1271.71245,1660.0999,1099.2596,1.0000000000000007,-15.02186666666656
v2,all8,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",44.8631816714136,-1.536912843223945,71.79274470623932,84.67151447343541,84.65756470710409,1.536912843223945,1007.2867016714137,1622.979587156776,1258.6370447062393,962.42352,1624.5165,1186.8443,1.0000000000000007,-15.02186666666656
v2,all8,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",8.687847951856838,15.659489113623295,-71.43522907596343,73.64570764457112,71.9615915274944,15.659489113623295,1036.7503479518568,1645.9774891136233,-1623.5229290759635,1028.0625,1630.318,-1552.0877,1.0000000000000007,-15.02186666666656
v3-full,all8,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-97.5808286395843,-17.489143961271566,-163.7603110494606,191.42969401193244,190.62911003570258,17.489143961271566,-1172.1471286395843,230.78614603872842,-1788.0114610494606,-1074.5663,248.27528999999998,-1624.25115,1.0000000000000002,-15.021866666666634
v3-full,all8,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",134.0081461908701,-153.59984119043656,24.71496223761801,205.33368894959207,136.26816430817763,153.59984119043656,-1186.42465380913,116.72668380956345,1054.071062237618,-1320.4328,270.326525,1029.3561,1.0000000000000002,-15.021866666666634
v3-full,all8,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-110.72482360212405,-57.37182938124673,91.13844675586483,154.45947638569794,143.40921532033113,57.37182938124673,741.196866397876,165.02280561875327,1285.4172467558649,851.92169,222.394635,1194.2788,1.0000000000000002,-15.021866666666634
v3-full,all8,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",157.71969289634444,202.11156081460652,-182.56448488314686,314.7290512216538,241.25773079419852,202.11156081460652,1240.4937928963445,443.0156158146065,-1615.042484883147,1082.7741,240.904055,-1432.478,1.0000000000000002,-15.021866666666634
v3-full,all8,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-42.0556875462114,84.2755268495016,51.55417306613322,107.37261308768845,66.5320495364255,84.2755268495016,-1212.6865875462115,1732.2481268495017,-1530.0988269338668,-1170.6309,1647.9726,-1581.653,1.0000000000000002,-15.021866666666634
v3-full,all8,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-49.685451974926536,-14.120273877130103,74.2341260178755,90.43634080365986,89.32720528254845,14.120273877130103,-1321.3979019749265,1645.9796261228698,1173.4937260178756,-1271.71245,1660.0999,1099.2596,1.0000000000000002,-15.021866666666634
v3-full,all8,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",12.57103756284755,-1.5404128046538972,68.21604831943614,69.38179231855366,69.3646901076201,1.5404128046538972,974.9945575628476,1622.976087195346,1255.0603483194361,962.42352,1624.5165,1186.8443,1.0000000000000002,-15.021866666666634
v3-full,all8,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-4.252084887216029,15.660686681783773,36.46703953567908,39.914687844575106,36.71410081133504,15.660686681783773,1023.810415112784,1645.9786866817838,-1515.620660464321,1028.0625,1630.318,-1552.0877,1.0000000000000002,-15.021866666666634
v3-lite,all8,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-80.87304309379442,-244.49992883578355,-132.5818701155397,289.6525791069152,155.30100251635392,244.49992883578355,-1155.4393430937944,3.775361164216445,-1756.8330201155397,-1074.5663,248.27528999999998,-1624.25115,0.9999999999999993,-15.02186666666671
v3-lite,all8,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-53.526421746430515,-179.51124660940604,87.73668097713698,206.85040650944742,102.7754981202264,179.51124660940604,-1373.9592217464306,90.81527839059395,1117.092780977137,-1320.4328,270.326525,1029.3561,0.9999999999999993,-15.02186666666671
v3-lite,all8,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",72.01971944484183,-152.00570742279632,140.12193846882928,218.92175021747124,157.5468109140141,152.00570742279632,923.9414094448418,70.38892757720369,1334.4007384688293,851.92169,222.394635,1194.2788,0.9999999999999993,-15.02186666666671
v3-lite,all8,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",106.73864703559752,-181.85749971159328,-51.91465936522968,217.1645017707771,118.69402102885259,181.85749971159328,1189.5127470355976,59.04655528840671,-1484.3926593652297,1082.7741,240.904055,-1432.478,0.9999999999999993,-15.02186666666671
v3-lite,all8,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-72.05636341266609,-139.38122873498924,-60.622333890930804,168.2091370833258,94.16574151272692,139.38122873498924,-1242.6872634126662,1508.5913712650108,-1642.2753338909308,-1170.6309,1647.9726,-1581.653,0.9999999999999993,-15.02186666666671
v3-lite,all8,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-25.435819744093806,-14.12118881413221,16.252921659115827,33.324861020501814,30.185068966483886,14.12118881413221,-1297.1482697440938,1645.9787111858677,1115.512521659116,-1271.71245,1660.0999,1099.2596,0.9999999999999993,-15.02186666666671
v3-lite,all8,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",45.0735662697798,-1.539062837987558,72.31759884148846,85.22810682453272,85.21420936953346,1.539062837987558,1007.4970862697799,1622.9774371620124,1259.1618988414884,962.42352,1624.5165,1186.8443,0.9999999999999993,-15.02186666666671
v3-lite,all8,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",8.059715246764199,15.660251652119769,-71.31027657486857,73.45310093420761,71.76429861040357,15.660251652119769,1036.1222152467642,1645.9782516521198,-1623.3979765748686,1028.0625,1630.318,-1552.0877,0.9999999999999993,-15.02186666666671
v4-io,all8,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-69.23284126238423,-181.31197100634716,-143.936078152954,241.6294926815066,159.72094697726962,181.31197100634716,-1143.7991412623842,66.96331899365282,-1768.187228152954,-1074.5663,248.27528999999998,-1624.25115,0.9999999999999996,-15.021866666666787
v4-io,all8,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",0.5642987524302043,-157.4650384509444,59.01454291145228,168.16144933511674,59.01724077021593,157.4650384509444,-1319.8685012475698,112.86148654905558,1088.3706429114523,-1320.4328,270.326525,1029.3561,0.9999999999999996,-15.021866666666787
v4-io,all8,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-12.917502114620333,-89.72505812965562,94.92729806092166,131.2579134162903,95.80215956870848,89.72505812965562,839.0041878853797,132.66957687034437,1289.2060980609217,851.92169,222.394635,1194.2788,0.9999999999999996,-15.021866666666787
v4-io,all8,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",91.06570347954266,-118.57940776880359,-12.530351273490169,150.03682214730236,91.92372954390528,118.57940776880359,1173.8398034795428,122.32464723119641,-1445.0083512734902,1082.7741,240.904055,-1432.478,0.9999999999999996,-15.021866666666787
v4-io,all8,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-58.85923930190347,-95.37773609711712,-17.85679252867635,113.49091432190617,61.508333505395264,95.37773609711712,-1229.4901393019036,1552.594863902883,-1599.5097925286764,-1170.6309,1647.9726,-1581.653,0.9999999999999996,-15.021866666666787
v4-io,all8,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-1.6045332303610849,-14.121155812641973,12.390706592085962,18.85500406320316,12.494164107234045,14.121155812641973,-1273.316983230361,1645.978744187358,1111.650306592086,-1271.71245,1660.0999,1099.2596,0.9999999999999996,-15.021866666666787
v4-io,all8,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",63.903318981913344,-1.5390031345825719,46.11011701311986,78.81716563361071,78.80213872648237,1.5390031345825719,1026.3268389819134,1622.9774968654174,1232.9544170131198,962.42352,1624.5165,1186.8443,0.9999999999999996,-15.021866666666787
v4-io,all8,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",-12.91920530461607,15.660158947224772,-38.11944262245697,43.188405270418976,40.24919591183915,15.660158947224772,1015.1432946953839,1645.9781589472248,-1590.207142622457,1028.0625,1630.318,-1552.0877,0.9999999999999996,-15.021866666666787
