metric_id,family,metric_label,no_us_p50_mm,no_us_p95_mm,no_us_rmse_mm,us_p50_mm,us_p95_mm,us_rmse_mm,delta_us_minus_no_us_p50_mm,delta_us_minus_no_us_p95_mm,delta_us_minus_no_us_rmse_mm,note
static_production_anchor_locked_v4io,static_anchor_locked,"Production static v4-io, legacy 3D anchor-locked evaluation",73.96289045329976,282.12949495641834,139.55059600371152,73.96289045329999,282.1294949564182,139.55059600371132,2.2737367544323206e-13,-1.1368683772161603e-13,-1.9895196601282805e-13,This old metric permits full 3D anchor-locking to OptiTrack; pure gauge changes can disappear.
static_raw_replay_anchor_locked_v4io_T4,static_anchor_locked,"Raw replay median-estimator v4-io/T4, legacy anchor-locked evaluation",69.69166345867296,173.9256534240159,108.90907731948188,69.75096368754686,173.81072265295094,108.91685505811397,0.05930022887389441,-0.1149307710649623,0.007777738632086084,"Median-estimator ablation, not deployed production mean aggregation."
static_filtered_anchor_locked_v4io_T4_F5,static_filter_anchor_locked,"Static filtered deployment v4-io/T4+F5, legacy anchor-locked evaluation",64.85025689774389,175.72585618058247,109.53050845990366,64.88384653508547,175.69285094896946,109.5073305667894,0.03358963734157783,-0.033005231613003616,-0.023177893114251447,Stationary smoother/static-lock; still old anchor-locked evaluation.
static_one_baseline_EH_delaycal_v4io_T4,static_4way_anchor_locked,One-baseline E-H + delaycal v4-io/T4 static,58.11815566026716,130.2241090849534,78.41099137601653,58.11815566026669,130.2241090849533,78.41099137601641,-4.760636329592671e-13,-8.526512829121202e-14,-1.1368683772161603e-13,Derived 4-way static row under the same old aggregate metric.
roto_original_anchor_locked_v4io_T4,roto_anchor_locked,ROTO original v4-io/T4 track-median ATE,105.83784720842544,231.80213799547755,132.82973798910876,105.83784720842488,231.8021379954777,132.8297379891087,-5.684341886080801e-13,1.4210854715202004e-13,-5.684341886080802e-14,ROTO absolute samples are evaluated after fixed capture-level alignment; pure static gauge changes may cancel.
roto_one_baseline_best_T4,roto_4way_anchor_locked,Best one-baseline ROTO T4 row,100.09957596064136,220.461001514265,128.13832391418612,100.09957596064204,220.46100151426705,128.13832391418646,6.821210263296962e-13,2.0463630789890885e-12,3.410605131648481e-13,Best matching one-baseline/v4-io/T4 ROTO row from each 4-way table.
roto_filtered_F4_original_v4io_T4,roto_filter_anchor_locked,ROTO filtered original v4-io/T4 F4,86.29640991336667,158.1900285443549,103.0623294562442,86.29640991336629,158.19002854435496,103.06232945624414,-3.836930773104541e-13,5.684341886080802e-14,-5.684341886080802e-14,Post-solve trajectory filter; same old ROTO evaluation.
roto_filtered_F5_original_v4io_T4,roto_filter_anchor_locked,ROTO filtered original v4-io/T4 F5,83.30515448210392,148.63709402090737,98.9328510353647,83.30515448210384,148.63709402090709,98.93285103536462,-7.105427357601002e-14,-2.8421709430404007e-13,-8.526512829121202e-14,Post-solve trajectory filter; same old ROTO evaluation.
roto_pseudo_imu_PI1_original_v4io_T4,roto_pseudo_imu_anchor_locked,ROTO pseudo-IMU original v4-io/T4 PI1,66.09938616581576,97.52296272829489,71.63280018891531,66.0993861658156,97.52296272829491,71.63280018891537,-1.5631940186722204e-13,2.842170943040401e-14,5.684341886080802e-14,OptiTrack-derived oracle prior; same old ROTO evaluation.
roto_pseudo_imu_PI4_original_v4io_T4,roto_pseudo_imu_anchor_locked,ROTO pseudo-IMU original v4-io/T4 PI4,58.66696183551167,81.52143015123671,61.75880880226725,58.66696183551201,81.52143015123686,61.75880880226735,3.410605131648481e-13,1.4210854715202004e-13,1.0658141036401503e-13,OptiTrack-derived oracle prior; same old ROTO evaluation.
