version,anchor,alignment,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,fit_det_2d,fit_vertical_shift_mm
v1-old,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",183.43274962660973,145.58394329951213,111.59251358824628,-1145.167911324382,137.05445391175374,-1751.193699416251,-1073.9946,248.64696750000002,-1624.1935250000001,0.9999999999999998,35.804738700625315
v1-old,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",83.224294105377,83.22251048507147,0.5448650295792277,-1345.5105252316023,270.9307450295792,1108.6341216830717,-1320.2517,270.38588,1029.33735,0.9999999999999998,35.804738700625315
v1-old,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",121.36854587389723,121.12474688779965,7.688928333049205,887.4038769465789,230.1526883330492,1310.0227699322948,851.8252574999999,222.46376,1194.2412249999998,0.9999999999999998,35.804738700625315
v1-old,D,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",84.04687579868705,83.98443548531709,3.2391245318045208,1156.2714369053563,237.69399046819547,-1473.012606788337,1082.7291500000001,240.933115,-1432.4550249999998,0.9999999999999998,35.804738700625315
v1-old,E,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",91.9841752519541,79.62712745009044,46.0500713444535,-1227.17575384219,1601.9593286555464,-1637.5720403701662,-1170.591375,1648.0094,-1581.54805,0.9999999999999998,35.804738700625315
v1-old,F,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",42.154647657028725,20.59737975318412,36.77991661751503,-1284.4152511261152,1696.805316617515,1115.4001891901678,-1271.6036,1660.0254,1099.27215,0.9999999999999998,35.804738700625315
v1-old,G,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",103.48549274134433,90.96525282086847,49.34136182914199,1008.0336228228924,1673.805986829142,1265.6501431966792,962.4288,1624.464625,1186.9426,0.9999999999999998,35.804738700625315
v1-old,H,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",94.59921817048775,67.25487759827314,66.52663765521925,1039.1454873494624,1696.8029126552192,-1618.3469524274612,1028.04305,1630.276275,-1552.0148,0.9999999999999998,35.804738700625315
v2,A,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",204.19903009551757,155.65697707314683,132.1671267010066,-1155.619142225335,116.47984079899342,-1756.7323065624344,-1073.9946,248.64696750000002,-1624.1935250000001,1.000000000000001,96.55065953440887
v2,B,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",122.99298457840952,103.29441461356562,66.76479734969382,-1374.431146508427,203.62108265030616,1117.2823536465955,-1320.2517,270.38588,1029.33735,1.000000000000001,96.55065953440887
v2,C,"US height-preserving: 2D horizontal rigid + vertical shift, no pitch/roll or 3D scale",162.91318369771386,158.3710079343831,38.20116841632765,924.5787933225016,184.26259158367236,1334.9121145950983,851.8252574999999,222.46376,1194.2412249999998,1.000000000000001,96.55065953440887
