capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R13,BS2DCE,1201,1201,33.41235064678192,0.8084893020782098,724.6976955458849,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R13,BSDC91,1200,1200,0.0002700575116968817,0.0004028733754911239,0.00048028991561719763,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R14,BS2DCE,1201,1201,0.00027741529441022183,0.0004706085324121629,0.00073369941388292,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R14,BSDC91,1200,1200,0.00023166920147735357,0.0003818313842810691,0.000538377803880869,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R15,BS2DCE,1200,1200,0.00031649702110943967,0.00043018203315334556,0.0005393680621099402,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R15,BSDC91,1200,1200,0.00032136249632920316,0.0004485750441796958,0.0006886700128475571,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R16,BS2DCE,1201,1201,0.0002749753386101964,0.0004443692264753855,0.0006384764106822759,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R16,BSDC91,1200,1200,0.0002874182712189639,0.0004708960443884811,0.0006803652581448208,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R17,BS2DCE,1201,1201,0.00026811375647754656,0.00038008813823328853,0.0007221076448301455,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R17,BSDC91,1200,1200,0.0002886140365325534,0.00045120889145796293,0.0006774017804506736,1.0,1.0,R2:L5:I1+I2+I3+I8:T6,,R2,L5,I1+I2+I3+I8,T6,39.351000000000006,1.0,False
R01,BS2DCE,1201,1201,0.00041131371611559636,0.0006761548339241785,0.0009070417323775447,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R01,BSDC91,1200,1200,0.0003689189355702905,0.0006014116413308495,0.0008770175034048432,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R02,BS2DCE,1201,1201,0.00035923683768536424,0.0006098924681564137,0.0007298752044945469,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R02,BSDC91,1200,1200,0.0003369773262826009,0.0006074428387834238,0.0009112679600619346,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R03,BS2DCE,1200,1200,0.0004215701184378179,0.0006656827830696438,0.00090362715764164,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R03,BSDC91,1200,1200,0.0003748031097415402,0.0006349572160312363,0.0009884992621244806,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R04,BS2DCE,1200,1200,0.00042258272665655184,0.0007151293057844788,0.0010677962681608535,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R04,BSDC91,1200,1200,0.0004352119844544965,0.0007982258350118428,0.0012404684028014608,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R05,BS2DCE,1200,1200,0.00031373410657646003,0.0004911174985828812,0.0006016029729707484,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R05,BSDC91,1201,1201,0.00035913943774127055,0.0006225710517353156,0.0009081897650425666,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R06,BS2DCE,1200,1200,0.0003683484693178996,0.0006422849748359335,0.001052422295408056,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R06,BSDC91,1201,1201,0.00037281755100954323,0.0006456576579983475,0.0010046261128354112,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R07,BS2DCE,1200,1200,0.0003823238751408725,0.0005532780733465263,0.0007605843261421407,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R07,BSDC91,1201,1201,0.0004936959112815608,0.0008367808323695075,0.0010589202099926091,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R08,BS2DCE,1201,1201,0.00031436613279705076,0.000488702438953186,0.000645225854412183,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R08,BSDC91,1200,1200,0.00041673365692942353,0.0007047162687938842,0.001005726467396201,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R09,BS2DCE,1200,1200,0.0002576397138892006,0.0004016729282755985,0.0005389616226139878,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R09,BSDC91,1200,1200,0.00034349453518685513,0.0005554392749271896,0.0007711292721415371,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R10,BS2DCE,1200,1200,0.00035945737325469797,0.0006415917764538272,0.0008202434545572326,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R10,BSDC91,1200,1200,0.00035664835286921485,0.0006728433510417743,0.0011366773933089473,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R11,BS2DCE,1201,1201,0.00031963606434623644,0.00045205143949205535,0.000536418967346208,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R11,BSDC91,1200,1200,0.0003348929408315219,0.0005001095035010338,0.000667981733595335,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R12,BS2DCE,1200,1200,0.0002964420077733707,0.0004617294600688061,0.0006277680263953397,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R12,BSDC91,1200,1200,0.00029460041253620594,0.0004649568714843307,0.0006571037950328987,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R13,BS2DCE,1201,1201,25.822293375852386,0.07508309880243813,651.8844958359459,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R13,BSDC91,1200,1200,0.00026335328298577286,0.00038935528933982795,0.00048621112590430105,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R14,BS2DCE,1201,1201,0.00027386611272805145,0.00046906851637128677,0.0007635069690846304,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R14,BSDC91,1200,1200,0.0002440670113397936,0.0004298198788313114,0.0007712024178423368,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R15,BS2DCE,1200,1200,0.000302797024143141,0.00040031895737749633,0.0005137910609719702,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R15,BSDC91,1200,1200,0.00033106817701423764,0.00047459769400275717,0.0006643532732932763,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R16,BS2DCE,1201,1201,0.00028265799782569025,0.00041708776403540066,0.0005557289939117854,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R16,BSDC91,1200,1200,0.00028788410275172534,0.00043831315495047743,0.00098459612713944,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R17,BS2DCE,1201,1201,0.0002788768436582687,0.0003999615824238449,0.0006841325481259249,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
R17,BSDC91,1200,1200,0.0002929314563905035,0.0004308358391619652,0.0006258657804400306,1.0,1.0,R2:L5:I1+I2+I3+I8:T8,,R2,L5,I1+I2+I3+I8,T8,57.513000000000005,1.0,True
