host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm,first_to_last_us,frame_us,poll_count
0.891541,1777241398.079269,898,,BS2DCE,,cal_roto,5,success,100,4,4,185,278,0,9063,19134,4
1.090478,1777241398.278206,899,,BS2DCE,,cal_roto,5,success,100,4,4,90,127,0,8117,19195,4
1.270414,1777241398.458142,900,,BS2DCE,,cal_roto,5,success,100,4,4,120,181,0,8178,19226,4
1.484064,1777241398.671792,901,,BS2DCE,,cal_roto,5,success,100,4,4,73,108,0,8178,19226,4
1.68526,1777241398.872988,902,,BS2DCE,,cal_roto,5,success,100,4,4,90,123,0,8331,19531,4
1.862857,1777241399.050585,903,,BS2DCE,,cal_roto,5,success,100,4,4,133,196,0,8361,18402,4
2.095934,1777241399.283662,904,,BS2DCE,,cal_roto,5,success,100,4,4,89,137,0,8117,19226,4
2.275408,1777241399.463136,905,,BS2DCE,,cal_roto,5,success,100,4,4,87,133,0,8270,18493,4
2.477782,1777241399.66551,906,,BS2DCE,,cal_roto,5,success,100,4,4,48,74,0,8239,19287,4
2.691514,1777241399.879242,907,,BS2DCE,,cal_roto,5,success,100,4,4,69,106,0,8178,19226,4
2.890491,1777241400.078219,908,,BS2DCE,,cal_roto,5,success,100,4,4,94,146,0,8270,19531,4
3.070438,1777241400.258166,909,,BS2DCE,,cal_roto,5,success,100,4,4,160,244,0,8178,19226,4
3.283915,1777241400.471643,910,,BS2DCE,,cal_roto,5,success,100,4,4,229,314,0,8148,19226,4
3.486444,1777241400.674172,911,,BS2DCE,,cal_roto,5,success,100,4,4,231,332,0,8331,19531,4
3.691996,1777241400.879724,912,,BS2DCE,,cal_roto,5,success,100,4,4,134,161,0,8331,18402,4
3.876488,1777241401.064216,913,,BS2DCE,,cal_roto,5,success,100,4,4,115,173,0,8361,19439,4
4.151239,1777241401.338967,914,,BS2DCE,,cal_roto,5,success,100,4,4,110,161,0,8117,19226,4
4.277795,1777241401.465523,915,,BS2DCE,,cal_roto,5,success,100,4,4,117,172,0,8422,17486,4
4.491443,1777241401.679171,916,,BS2DCE,,cal_roto,5,success,100,4,4,70,100,0,8178,18280,4
