experiment_id,seed_id,wall_time_s,status
X_A0_L20_I0_T11,S02,1.9672578609897755,ok
X_A0_L20_I0_T12,S02,2.2383956930134445,ok
X_A0_L20_I1_T11,S02,2.2242620190081652,ok
X_A0_L20_I1_T12,S02,2.3764882019895595,ok
X_A0_L20_I2_T11,S02,1.6151603419857565,ok
X_A0_L20_I2_T12,S02,1.7160609300190117,ok
X_A0_L20_I3_T11,S02,1.5966161969990935,ok
X_A0_L20_I3_T12,S02,2.060156816995004,ok
X_A0_L20_I4_T11,S02,1.78059338600724,ok
X_A0_L20_I4_T12,S02,2.3683577330084518,ok
X_A0_L20_I5_T11,S02,1.2901500150037464,ok
X_A0_L20_I5_T12,S02,1.8815261230047327,ok
X_A0_L20_I6_T11,S02,1.256302578985924,ok
X_A0_L20_I6_T12,S02,1.5960479180212133,ok
X_A0_L20_I7_T11,S02,1.4642704159778077,ok
X_A0_L20_I7_T12,S02,2.4091130240121856,ok
X_A0_L20_I8_T11,S02,1.7034501240123063,ok
X_A0_L20_I8_T12,S02,1.9045453839935362,ok
X_A1_L20_I0_T11,S02,1.3527809850056656,ok
X_A1_L20_I0_T12,S02,2.5466549239936285,ok
X_A1_L20_I1_T11,S02,1.7489054389880039,ok
X_A1_L20_I1_T12,S02,2.3012620889930986,ok
X_A1_L20_I2_T11,S02,2.1733291979762726,ok
X_A1_L20_I2_T12,S02,2.319597601017449,ok
X_A1_L20_I3_T11,S02,1.4999051399936434,ok
X_A1_L20_I3_T12,S02,2.038512849016115,ok
X_A1_L20_I4_T11,S02,1.21974713698728,ok
X_A1_L20_I4_T12,S02,1.6373879529710393,ok
X_A1_L20_I5_T11,S02,1.4043938210234046,ok
X_A1_L20_I5_T12,S02,1.5810357959999237,ok
X_A1_L20_I6_T11,S02,1.3227674429945182,ok
X_A1_L20_I6_T12,S02,1.5357455750054214,ok
X_A1_L20_I7_T11,S02,1.3626110769982915,ok
X_A1_L20_I7_T12,S02,1.6611625519872177,ok
X_A1_L20_I8_T11,S02,1.3221569919842295,ok
X_A1_L20_I8_T12,S02,1.6155829499766696,ok
X_A2_L20_I0_T11,S02,1.3051025749882683,ok
X_A2_L20_I0_T12,S02,1.5543026039958932,ok
X_A2_L20_I1_T11,S02,1.310391047009034,ok
X_A2_L20_I1_T12,S02,1.493999825004721,ok
X_A2_L20_I2_T11,S02,1.399442871013889,ok
X_A2_L20_I2_T12,S02,1.3848242159874644,ok
X_A2_L20_I3_T11,S02,1.192805098980898,ok
X_A2_L20_I3_T12,S02,1.4505271310044918,ok
X_A2_L20_I4_T11,S02,1.3491145350271836,ok
X_A2_L20_I4_T12,S02,1.5878787740075495,ok
X_A2_L20_I5_T11,S02,1.4104452999890782,ok
X_A2_L20_I5_T12,S02,1.5526333389861975,ok
X_A2_L20_I6_T11,S02,1.1733669379900675,ok
X_A2_L20_I6_T12,S02,1.2370733249990735,ok
X_A2_L20_I7_T11,S02,1.202769501018338,ok
X_A2_L20_I7_T12,S02,1.4323080719914287,ok
X_A2_L20_I8_T11,S02,1.241682324995054,ok
X_A2_L20_I8_T12,S02,1.7062644489924423,ok
X_A3_L20_I0_T11,S02,1.3528721420152579,ok
X_A3_L20_I0_T12,S02,1.526793852011906,ok
X_A3_L20_I1_T11,S02,1.2935259400110226,ok
X_A3_L20_I1_T12,S02,1.4065223450015765,ok
X_A3_L20_I2_T11,S02,1.2232553380017634,ok
X_A3_L20_I2_T12,S02,1.5486625290068332,ok
X_A3_L20_I3_T11,S02,1.1211784640036058,ok
X_A3_L20_I3_T12,S02,1.6254897699982394,ok
X_A3_L20_I4_T11,S02,1.0800971499993466,ok
X_A3_L20_I4_T12,S02,1.3754239679838065,ok
X_A3_L20_I5_T11,S02,1.2746308369969483,ok
X_A3_L20_I5_T12,S02,1.4041642420052085,ok
X_A3_L20_I6_T11,S02,1.3914299609896261,ok
X_A3_L20_I6_T12,S02,1.5459352589969058,ok
X_A3_L20_I7_T11,S02,1.3936206639918964,ok
X_A3_L20_I7_T12,S02,1.6010554269887507,ok
X_A3_L20_I8_T11,S02,1.2539904350123834,ok
X_A3_L20_I8_T12,S02,1.5381753120163921,ok
X_A0_U4_P0_L20_I0_T1,S02,0.21603807399515063,ok
X_A0_U4_P0_L20_I0_T2,S02,7.189230084011797,ok
X_A0_U4_P0_L20_I0_T3,S02,7.204963314987253,ok
X_A0_U4_P0_L20_I0_T4,S02,7.504717494011857,ok
X_A0_U4_P0_L20_I0_T5,S02,6.713712040975224,ok
X_A0_U4_P0_L20_I1_T1,S02,0.14928957598749548,ok
X_A0_U4_P0_L20_I1_T2,S02,6.923704579996411,ok
X_A0_U4_P0_L20_I1_T3,S02,6.839926055981778,ok
X_A0_U4_P0_L20_I1_T4,S02,6.536173972010147,ok
X_A0_U4_P0_L20_I1_T5,S02,6.6665257919812575,ok
X_A0_U4_P0_L20_I2_T1,S02,0.12355277501046658,ok
X_A0_U4_P0_L20_I2_T2,S02,7.395853524008999,ok
X_A0_U4_P0_L20_I2_T3,S02,6.901938064984279,ok
X_A0_U4_P0_L20_I2_T4,S02,6.800100691994885,ok
X_A0_U4_P0_L20_I2_T5,S02,6.987985943997046,ok
X_A0_U4_P0_L20_I3_T1,S02,0.12120970501564443,ok
X_A0_U4_P0_L20_I3_T2,S02,7.107405613991432,ok
X_A0_U4_P0_L20_I3_T3,S02,7.088272660999792,ok
X_A0_U4_P0_L20_I3_T4,S02,7.12197649202426,ok
X_A0_U4_P0_L20_I3_T5,S02,6.654019784007687,ok
X_A0_U4_P0_L20_I4_T1,S02,0.12408187400433235,ok
X_A0_U4_P0_L20_I4_T2,S02,6.712342719984008,ok
X_A0_U4_P0_L20_I4_T3,S02,7.249709002004238,ok
X_A0_U4_P0_L20_I4_T4,S02,6.90145139300148,ok
X_A0_U4_P0_L20_I4_T5,S02,6.959438115998637,ok
X_A0_U4_P0_L20_I5_T1,S02,0.12183477799408138,ok
X_A0_U4_P0_L20_I5_T2,S02,6.335437239002204,ok
X_A0_U4_P0_L20_I5_T3,S02,6.943156616995111,ok
