L,seed_id,run_dir,elapsed_s,rows,status
L2,S00,phase4_L2_singleI_TRUEFULL_seed0_1080ti_20260605T105528Z,1973.0706128689926,1377,complete
L2,S01,phase4_L2_TRUEFULL_RANKING_S01_2x1080ti_20260605T164047Z,4825.4596491740085,1377,complete
L2,S02,phase4_L2_TRUEFULL_RANKING_S02_2x1080ti_20260605T164047Z,4801.9013821719855,1377,complete
L2,S03,phase4_L2_TRUEFULL_RANKING_S03_2x1080ti_20260605T164047Z,4816.87579677999,1377,complete
L2,S04,phase4_L2_TRUEFULL_RANKING_S04_2x1080ti_20260605T164047Z,4814.2682166900195,1377,complete
L16,S00,phase4_L16_TRUEFULL_REPLACE_L2_S00_2x1080ti_20260605T180143Z,2368.2616811549815,1377,complete
L16,S01,phase4_L16_TRUEFULL_REPLACE_L2_S01_2x1080ti_20260605T193141Z,4833.8928897290025,1377,complete
L16,S02,phase4_L16_TRUEFULL_REPLACE_L2_S02_2x1080ti_20260605T193141Z,4837.153323596984,1377,complete
L16,S03,phase4_L16_TRUEFULL_REPLACE_L2_S03_2x1080ti_20260605T193141Z,4737.973987136997,1377,complete
L16,S04,phase4_L16_TRUEFULL_REPLACE_L2_S04_2x1080ti_20260605T193141Z,4740.694700892986,1377,complete
L20,S00,phase4_L20_TRUEFULL_REPLACE_L2_S00_2x1080ti_20260605T180145Z,2373.1344690550177,1377,complete
L20,S01,phase4_L20_TRUEFULL_REPLACE_L2_S01_2x1080ti_20260605T193141Z,4819.34559663001,1377,complete
L20,S02,phase4_L20_TRUEFULL_REPLACE_L2_S02_2x1080ti_20260605T193141Z,4825.069632065017,1377,complete
L20,S03,phase4_L20_TRUEFULL_REPLACE_L2_S03_2x1080ti_20260605T193141Z,4745.522648098995,1377,complete
L20,S04,phase4_L20_TRUEFULL_REPLACE_L2_S04_2x1080ti_20260605T193141Z,4744.068807695992,1377,complete
