experiment_id,seed_id,wall_time_s,status
X_A0_L20_I0_T11,S00,1.2707529840117786,ok
X_A0_L20_I0_T12,S00,1.491575369000202,ok
X_A0_L20_I1_T11,S00,1.3266192139999475,ok
X_A0_L20_I1_T12,S00,1.7845884459966328,ok
X_A0_L20_I2_T11,S00,1.2376684510090854,ok
X_A0_L20_I2_T12,S00,1.4549238629988395,ok
X_A0_L20_I3_T11,S00,1.2395859120006207,ok
X_A0_L20_I3_T12,S00,1.4201279730186798,ok
X_A0_L20_I4_T11,S00,1.2100852300063707,ok
X_A0_L20_I4_T12,S00,1.5497462690109387,ok
X_A0_L20_I5_T11,S00,1.23724402897642,ok
X_A0_L20_I5_T12,S00,1.5330175739945844,ok
X_A0_L20_I6_T11,S00,1.475246773014078,ok
X_A0_L20_I6_T12,S00,1.3805402330181096,ok
X_A0_L20_I7_T11,S00,1.251658270979533,ok
X_A0_L20_I7_T12,S00,1.4251465150155127,ok
X_A0_L20_I8_T11,S00,1.2599673109943978,ok
X_A0_L20_I8_T12,S00,1.4051545260008425,ok
X_A1_L20_I0_T11,S00,1.1377365270163864,ok
X_A1_L20_I0_T12,S00,1.655966364982305,ok
X_A1_L20_I1_T11,S00,1.2310756639926694,ok
X_A1_L20_I1_T12,S00,1.418454221013235,ok
X_A1_L20_I2_T11,S00,1.2952027279825415,ok
X_A1_L20_I2_T12,S00,1.4641907920013182,ok
X_A1_L20_I3_T11,S00,1.1509206330229063,ok
X_A1_L20_I3_T12,S00,1.5299424359982368,ok
X_A1_L20_I4_T11,S00,1.1513805110007524,ok
X_A1_L20_I4_T12,S00,1.4366895999992266,ok
X_A1_L20_I5_T11,S00,1.2060858890181407,ok
X_A1_L20_I5_T12,S00,1.3901347500213888,ok
X_A1_L20_I6_T11,S00,1.1478532789915334,ok
X_A1_L20_I6_T12,S00,1.3709429659938905,ok
X_A1_L20_I7_T11,S00,1.3698608799895737,ok
X_A1_L20_I7_T12,S00,1.4131325139896944,ok
X_A1_L20_I8_T11,S00,1.2499649669916835,ok
X_A1_L20_I8_T12,S00,1.4669435880205128,ok
X_A2_L20_I0_T11,S00,1.3226469299988821,ok
X_A2_L20_I0_T12,S00,1.6286175739951432,ok
X_A2_L20_I1_T11,S00,1.3712887480214704,ok
X_A2_L20_I1_T12,S00,1.448128510004608,ok
X_A2_L20_I2_T11,S00,1.2753441960085183,ok
X_A2_L20_I2_T12,S00,1.6528051990026142,ok
X_A2_L20_I3_T11,S00,1.1439334290043917,ok
X_A2_L20_I3_T12,S00,1.3898769910156261,ok
X_A2_L20_I4_T11,S00,1.3672037750075106,ok
X_A2_L20_I4_T12,S00,1.6791800829814747,ok
X_A2_L20_I5_T11,S00,1.1200726920214947,ok
X_A2_L20_I5_T12,S00,1.4956145200121682,ok
X_A2_L20_I6_T11,S00,1.3497370179975405,ok
X_A2_L20_I6_T12,S00,1.3472270269994624,ok
X_A2_L20_I7_T11,S00,1.2304330829938408,ok
X_A2_L20_I7_T12,S00,1.3667165180086158,ok
X_A2_L20_I8_T11,S00,1.0383050609962083,ok
