experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,L,I,T,kind,seed_id,experiment_uid,verdict,screening_score,rank,U,P,R
X_A0_L20_I0_T11,imu_only_diagnostic_screening,Phase4 L20 single-I T11.,34,17,40661,2915.663151408003,11358.942059301233,14017.501692955655,6548.6335619653955,40661,2073.7264614374,8419.98875448945,10833.182584949487,4804.48382200898,40661,958.0154600862257,6946.596315433747,9915.357759767168,4449.891766431355,3189.190062567229,12347.28617877463,6024.242843174821,8303.306061523703,4065.4092806562317,6776.0667095287445,6166.632688068848,1376.0779197492757,4562.576751591541,535.3464321551583,1030.5882616803249,13642.626131903144,9247.801557025212,113.79984599786351,nan,nan,nan,nan,nan,17,7404.838109280538,3121.3274817337992,15097.658423523626,A0,L20,I0,T11,imu_only,S00,X_A0_L20_I0_T11__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,14975.415277430497,1370,,,
X_A0_L20_I0_T12,imu_only_diagnostic_screening,Phase4 L20 single-I T12.,34,17,40661,2916.2881801029557,11360.242384557376,14016.24508360465,6548.630241353064,40661,2073.1936907615154,8419.357210064829,10835.08641534055,4804.48177178299,40661,958.469024890915,6946.737821900279,9915.214956915253,4449.889093288603,3189.2424853697585,12346.88731689602,6024.237781951822,8305.159759668719,4064.471988898854,6788.434308231514,6181.3211985378875,1376.638113901381,4570.48418565208,533.6054960154504,1027.2100972622259,13642.626131903144,9247.801557025212,113.79984599786351,nan,nan,nan,nan,nan,17,7422.504585377653,3120.4507924586924,15140.99318252057,A0,L20,I0,T12,imu_only,S00,X_A0_L20_I0_T12__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,14991.648348873761,1371,,,
X_A0_L20_I1_T11,imu_only_diagnostic_screening,Phase4 L20 single-I T11.,34,17,40661,1305.5253259957772,5214.599471521868,6577.526974782004,3041.2713466981077,40661,835.3905747653116,4022.0063348623717,4893.688508063242,2262.298675711257,40661,617.7085610696422,3315.7446311117255,4602.678903446471,2032.568844128536,1470.517685569485,5499.871996580357,2753.8898153545806,4387.201256451062,2933.841482813309,2814.033321293259,2532.2014486387015,775.3344564898905,1727.4521017711543,494.16818700491325,916.5861002312852,6085.28446319514,4943.296370123831,50.73325246132771,nan,nan,nan,nan,nan,17,1891.3392790934583,617.4027661589225,3446.759018514851,A0,L20,I1,T11,imu_only,S00,X_A0_L20_I1_T11__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,5583.136430623607,1342,,,
X_A0_L20_I1_T12,imu_only_diagnostic_screening,Phase4 L20 single-I T12.,34,17,40661,1305.4368873465348,5214.998681579963,6576.999578831921,3041.271148449518,40661,835.8469337803906,4020.680482122559,4892.6327062000655,2262.2990473204236,40661,617.7300291027228,3314.5835640708247,4601.928780751796,2032.5681338849513,1469.7228686976846,5499.396472499346,2753.8913444337,4387.30877905193,2934.6782422787633,2815.8188249600325,2535.1251276175562,774.2502477043986,1730.7109350549802,492.5621811692891,914.873684608414,6085.28446319514,4943.296370123831,50.73325246132771,nan,nan,nan,nan,nan,17,1894.1459317434371,620.7727095614341,3455.40237599421,A0,L20,I1,T12,imu_only,S00,X_A0_L20_I1_T12__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,5585.769253820351,1343,,,
X_A0_L20_I2_T11,imu_only_diagnostic_screening,Phase4 L20 single-I T11.,34,17,40661,1631.312392781888,6742.069083714176,8588.028079129977,3861.8943610372853,40661,1116.1550589297174,5199.676511758463,6815.551901739332,2962.700660421029,40661,520.3959338739717,3963.9948785176093,5632.30864365202,2477.222810437604,1879.839169571152,6992.7487470997075,3500.062227952223,5061.653755171934,2690.833513184458,3528.462338390829,3101.0498994784516,687.6390304171555,1927.7282130438302,578.8231006017845,1152.1377438271184,7792.366019754241,5688.4241518478375,64.99426599346171,nan,nan,nan,nan,nan,17,1993.6015389719164,1282.5695378132816,3702.9576778766555,A0,L20,I2,T11,imu_only,S00,X_A0_L20_I2_T11__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,6686.686414858306,1358,,,
X_A0_L20_I2_T12,imu_only_diagnostic_screening,Phase4 L20 single-I T12.,34,17,40661,1631.7708247947028,6741.90058175873,8589.174426748308,3861.8933196706625,40661,1116.0904071022298,5200.881652782759,6816.6230738823515,2962.7002524529457,40661,519.8832496355126,3964.737099667536,5631.444165645994,2477.221674907625,1879.7413238740266,6990.965224283202,3500.062655424268,5060.240493067546,2689.952972001022,3529.406871377966,3102.8496125860947,687.5349806570639,1927.8687291337367,578.2954179009096,1152.0388465511396,7792.366019754241,5688.4241518478375,64.99426599346171,nan,nan,nan,nan,nan,17,1998.6122483493048,1289.9307205581858,3708.3094002664507,A0,L20,I2,T12,imu_only,S00,X_A0_L20_I2_T12__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,6689.542090784529,1359,,,
X_A0_L20_I3_T11,imu_only_diagnostic_screening,Phase4 L20 single-I T11.,34,17,40661,939.7968802617178,4214.552652523365,5331.471240993431,2377.74004516521,40661,683.92901418464,3579.360969424782,4591.7912783183965,1989.4897786951371,40661,295.68666421326964,2088.9239269094805,2912.2234660741124,1302.1436721229456,1081.5775315985798,4562.625339635406,2281.0450157593223,3616.713757641618,1253.9734867302,2307.988765047475,2276.412705622248,424.85576340880493,1342.204829431419,359.8302272498241,652.1943550949603,4967.628165426022,4088.689243539687,41.414456626443766,nan,nan,nan,nan,nan,17,2073.1671800594404,1093.2259271175685,3980.34544493259,A0,L20,I3,T11,imu_only,S00,X_A0_L20_I3_T11__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,4800.81584122829,1330,,,
X_A0_L20_I3_T12,imu_only_diagnostic_screening,Phase4 L20 single-I T12.,34,17,40661,939.900301574532,4215.136647751764,5331.398494901793,2377.7406018768766,40661,683.923871464616,3578.5576853620937,4591.626831854667,1989.4903264527895,40661,295.4554597595104,2089.0445145186363,2912.0690733877273,1302.1438517938734,1081.1616365584282,4562.64370360517,2281.0435633293864,3617.3071429427864,1253.8567396951516,2309.7415675226885,2281.5879774677005,423.6750018122834,1343.1294092876033,359.34003706166595,649.4741473636059,4967.628165426022,4088.689243539687,41.414456626443766,nan,nan,nan,nan,nan,17,2078.3040763009394,1093.6999709740555,3984.4052550065176,A0,L20,I3,T12,imu_only,S00,X_A0_L20_I3_T12__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,4804.464490874697,1331,,,
X_A0_L20_I4_T11,imu_only_diagnostic_screening,Phase4 L20 single-I T11.,34,17,40661,1071.6944863109936,4114.169968773247,5215.8888340796175,2452.567519510543,40661,781.7477809682605,3587.1305116701146,4726.590147144756,2082.740804999763,40661,442.9507881676235,2098.686912846819,2799.2580001168135,1295.097748027939,1234.8186963312673,4211.953961139239,2080.1266007319346,3498.7325153279266,1803.0435501236543,1877.1170100118366,1720.2181179534132,612.2544287739499,1079.387211434464,381.84161526485553,742.103697627125,4731.705827708287,3845.757932082216,39.44807429614554,nan,nan,nan,nan,nan,17,2493.4546327468947,963.9336208347409,4455.611244380679,A0,L20,I4,T11,imu_only,S00,X_A0_L20_I4_T11__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,4994.114431370059,1334,,,
X_A0_L20_I4_T12,imu_only_diagnostic_screening,Phase4 L20 single-I T12.,34,17,40661,1071.4164661130098,4112.667632668668,5216.650135011282,2452.5685575843827,40661,781.5194286769921,3587.404728693202,4726.502784799495,2082.741852089628,40661,443.1798471199153,2099.0758476423607,2799.5512205569858,1295.0980299598189,1235.0559119135778,4211.256048832613,2080.1261862970746,3497.8304848047164,1802.7499192451066,1877.3727291955834,1721.3794222180586,612.5701230965346,1079.7933658507332,381.0531038236546,743.903779595325,4731.705827708287,3845.757932082216,39.44807429614554,nan,nan,nan,nan,nan,17,2497.946852225412,965.9162272237844,4462.227517714771,A0,L20,I4,T12,imu_only,S00,X_A0_L20_I4_T12__S00,IMU_ONLY_DRIFTS_AS_EXPECTED,4997.4550084881475,1335,,,
