experiment_id,kind,A,U,P,R,L,I,T,seed_count,trackmedian_err3d_p50_mm_mean,trackmedian_err3d_p50_mm_std,trackmedian_err3d_p50_mm_min,trackmedian_err3d_p50_mm_max,trackmedian_err3d_p95_mm_mean,trackmedian_err3d_p95_mm_std,trackmedian_err3d_p95_mm_min,trackmedian_err3d_p95_mm_max,legacy_deltaR_error_rms_mm_mean,legacy_deltaR_error_rms_mm_std,legacy_deltaR_error_rms_mm_min,legacy_deltaR_error_rms_mm_max,trackmedian_radius_error_abs_mm_mean,trackmedian_radius_error_abs_mm_std,trackmedian_radius_error_abs_mm_min,trackmedian_radius_error_abs_mm_max,screening_score_mean,screening_score_std,screening_score_min,screening_score_max,rank
X_A0_L0_I0_T11,imu_only,A0,nan,nan,nan,L0,I0,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,1
X_A0_L0_I1+I2+I3+I8_T11,imu_only,A0,nan,nan,nan,L0,I1+I2+I3+I8,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,2
X_A0_L0_I1+I3+I7_T11,imu_only,A0,nan,nan,nan,L0,I1+I3+I7,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,3
X_A0_L0_I1_T11,imu_only,A0,nan,nan,nan,L0,I1,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,4
X_A0_L0_I3_T11,imu_only,A0,nan,nan,nan,L0,I3,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,5
X_A0_L0_I4_T11,imu_only,A0,nan,nan,nan,L0,I4,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,6
X_A0_L0_I7_T11,imu_only,A0,nan,nan,nan,L0,I7,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,7
X_A0_L0_I8_T11,imu_only,A0,nan,nan,nan,L0,I8,T11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.34375016361417,0.0,247.34375016361417,247.34375016361417,0.0,0.0,0.0,0.0,173.1406251145299,0.0,173.1406251145299,173.1406251145299,8
X_A0_U4_P0_L8_I0_T5,position_fusion,A0,U4,P0,nan,L8,I0,T5,5,104.75463484668464,0.2762205544957336,104.40108829646792,105.1166948043016,229.36382476946875,0.22981628645461455,229.02723959315227,229.69331806321844,82.53608769286647,0.0883812142876639,82.43956298910066,82.69611417459626,59.542780720308386,0.0021069698397614403,59.538675844166136,59.54470078629092,272.5786252611594,0.23242362576042905,272.29730173791006,272.915970793806,9
B0_A0_U4_P0_T1,baseline,A0,U4,P0,nan,nan,nan,T1,5,105.83784720842489,0.0,105.83784720842489,105.83784720842489,231.80213799547772,0.0,231.80213799547772,231.80213799547772,80.07935390701411,0.0,80.07935390701411,80.07935390701411,59.73216676551942,0.0,59.73216676551942,59.73216676551942,272.8902266245117,0.0,272.8902266245117,272.8902266245117,10
