host_elapsed_s,host_epoch_s,cal,skips,up_ms
4.37056,1783686846.915548,15,0,57276
9.372019,1783686851.917007,16,0,62278
14.373484,1783686856.918472,17,0,67279
19.375259,1783686861.920247,18,0,72281
24.37613,1783686866.921118,20,0,77283
29.377659,1783686871.922647,21,0,82284
34.379254,1783686876.924242,22,0,87286
39.380743,1783686881.925731,23,0,92287
44.382236,1783686886.927224,25,0,97289
49.38374,1783686891.928728,26,0,102291
54.385149,1783686896.930137,27,0,107292
59.386338,1783686901.931326,28,0,112294
64.387866,1783686906.932854,30,0,117295
69.389364,1783686911.934352,31,0,122297
74.402725,1783686916.947713,32,0,127299
79.392449,1783686921.937437,33,0,132300
84.393914,1783686926.938902,35,0,137302
89.39735,1783686931.942338,36,0,142305
94.398322,1783686936.94331,37,0,147307
99.417555,1783686941.962543,38,0,152310
104.402911,1783686946.947899,40,0,157312
109.404231,1783686951.949219,41,0,162313
114.405773,1783686956.950761,42,0,167315
119.407477,1783686961.952465,43,0,172317
