gate_id,status,evidence,blocking_next_phase
G7_stage1_row_count,PASS,stage1 rows=705 expected=705,False
G8_stage2_visual_assets,PASS,selected_experiments=13 figures=65,False
G9_deployable_candidate_present,PASS,FUSION_HELPS_DEPLOYABLE rows=1,False
G10_cpu_parallel_execution,PASS,stage1_workers=10,False
