figure_path,figure_kind,phase,experiment_id,capture_id,tag,metric_context,notes
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/B0_A0_U4_P0_T1__contact_sheet.png,contact_sheet_xz,phase2_stage2,B0_A0_U4_P0_T1,R01-R17,both,all-track top-view contact sheet,control_baseline
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,B0_A0_U4_P0_T1,R01,BS2DCE,worst-track P95=595.5 mm,control_baseline
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R02__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,B0_A0_U4_P0_T1,R02,BS2DCE,worst-track P95=336.3 mm,control_baseline
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R05__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,B0_A0_U4_P0_T1,R05,BS2DCE,worst-track P95=334.9 mm,control_baseline
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,B0_A0_U4_P0_T1,R09,BS2DCE,worst-track P95=349.6 mm,control_baseline
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_L0_I0_T11__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_L0_I0_T11,R01-R17,both,all-track top-view contact sheet,perfect_imu_oracle
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L0_I0_T11,R01,BS2DCE,worst-track P95=0.0 mm,perfect_imu_oracle
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R01__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L0_I0_T11,R01,BSDC91,worst-track P95=0.0 mm,perfect_imu_oracle
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R02__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L0_I0_T11,R02,BS2DCE,worst-track P95=0.0 mm,perfect_imu_oracle
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L0_I0_T11/X_A0_L0_I0_T11__R02__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L0_I0_T11,R02,BSDC91,worst-track P95=0.0 mm,perfect_imu_oracle
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_L2_I3_T11__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_L2_I3_T11,R01-R17,both,all-track top-view contact sheet,mpu6050_like_drift_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R02__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L2_I3_T11,R02,BS2DCE,worst-track P95=27751.5 mm,mpu6050_like_drift_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R03__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L2_I3_T11,R03,BS2DCE,worst-track P95=24352.6 mm,mpu6050_like_drift_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R04__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L2_I3_T11,R04,BSDC91,worst-track P95=24408.7 mm,mpu6050_like_drift_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_L2_I3_T11/X_A0_L2_I3_T11__R11__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_L2_I3_T11,R11,BSDC91,worst-track P95=22471.3 mm,mpu6050_like_drift_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_R4_L0_I1+I2+I3+I8_T6__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_R4_L0_I1+I2+I3+I8_T6,R01-R17,both,all-track top-view contact sheet,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I2+I3+I8_T6/X_A0_R4_L0_I1+I2+I3+I8_T6__R07__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I2+I3+I8_T6,R07,BS2DCE,worst-track P95=804.4 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I2+I3+I8_T6/X_A0_R4_L0_I1+I2+I3+I8_T6__R11__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I2+I3+I8_T6,R11,BS2DCE,worst-track P95=872.9 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I2+I3+I8_T6/X_A0_R4_L0_I1+I2+I3+I8_T6__R11__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I2+I3+I8_T6,R11,BSDC91,worst-track P95=893.3 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I2+I3+I8_T6/X_A0_R4_L0_I1+I2+I3+I8_T6__R14__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I2+I3+I8_T6,R14,BSDC91,worst-track P95=800.1 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_R4_L0_I1+I3+I7_T6__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_R4_L0_I1+I3+I7_T6,R01-R17,both,all-track top-view contact sheet,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I3+I7_T6/X_A0_R4_L0_I1+I3+I7_T6__R07__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I3+I7_T6,R07,BS2DCE,worst-track P95=836.7 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I3+I7_T6/X_A0_R4_L0_I1+I3+I7_T6__R11__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I3+I7_T6,R11,BS2DCE,worst-track P95=896.3 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I3+I7_T6/X_A0_R4_L0_I1+I3+I7_T6__R11__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I3+I7_T6,R11,BSDC91,worst-track P95=930.1 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L0_I1+I3+I7_T6/X_A0_R4_L0_I1+I3+I7_T6__R14__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L0_I1+I3+I7_T6,R14,BSDC91,worst-track P95=831.8 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_R4_L1_I1+I2+I3+I8_T6__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_R4_L1_I1+I2+I3+I8_T6,R01-R17,both,all-track top-view contact sheet,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L1_I1+I2+I3+I8_T6/X_A0_R4_L1_I1+I2+I3+I8_T6__R07__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L1_I1+I2+I3+I8_T6,R07,BS2DCE,worst-track P95=829.8 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L1_I1+I2+I3+I8_T6/X_A0_R4_L1_I1+I2+I3+I8_T6__R11__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L1_I1+I2+I3+I8_T6,R11,BS2DCE,worst-track P95=900.9 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L1_I1+I2+I3+I8_T6/X_A0_R4_L1_I1+I2+I3+I8_T6__R11__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L1_I1+I2+I3+I8_T6,R11,BSDC91,worst-track P95=921.8 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_R4_L1_I1+I2+I3+I8_T6/X_A0_R4_L1_I1+I2+I3+I8_T6__R14__BSDC91__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_R4_L1_I1+I2+I3+I8_T6,R14,BSDC91,worst-track P95=852.1 mm,best_range_side_proto
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P0_L3_I1_T2__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P0_L3_I1_T2,R01-R17,both,all-track top-view contact sheet,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L3_I1_T2/X_A0_U4_P0_L3_I1_T2__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L3_I1_T2,R01,BS2DCE,worst-track P95=254.0 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L3_I1_T2/X_A0_U4_P0_L3_I1_T2__R03__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L3_I1_T2,R03,BS2DCE,worst-track P95=235.0 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L3_I1_T2/X_A0_U4_P0_L3_I1_T2__R09__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L3_I1_T2,R09,BS2DCE,worst-track P95=295.6 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L3_I1_T2/X_A0_U4_P0_L3_I1_T2__R10__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L3_I1_T2,R10,BS2DCE,worst-track P95=217.4 mm,top_position_score
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/contact_sheets/X_A0_U4_P0_L7_I3_T2__contact_sheet.png,contact_sheet_xz,phase2_stage2,X_A0_U4_P0_L7_I3_T2,R01-R17,both,all-track top-view contact sheet,neutral_control
runs/phase2_screening/20260604T163422Z/stage2_ranking_and_visual_audit/figs/curated/X_A0_U4_P0_L7_I3_T2/X_A0_U4_P0_L7_I3_T2__R01__BS2DCE__curated.png,curated_worst_track_xz_error,phase2_stage2,X_A0_U4_P0_L7_I3_T2,R01,BS2DCE,worst-track P95=416.3 mm,neutral_control
