experiment_id,deployability,description,track_count,capture_count,sample_err3d_n,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err3d_rmse_mm,trackmedian_horizontal_xz_p95_mm,trackmedian_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_circle_thickness_p95_mm,imu_only_endpoint_drift_3d_trackmedian_mm,imu_only_endpoint_drift_xz_trackmedian_mm,imu_only_drift_rate_3d_trackmedian_mm_s,uwb_update_accept_rate_trackmedian,uwb_innovation_nis_trackmedian,uwb_innovation_nis_p95_trackmedian,raw_range_ge4_ratio_trackmedian,raw_range_full8_ratio_trackmedian,capture_pair_count,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,A,U,P,T,kind,delta_vs_B0_trackmedian_err3d_p50_mm,delta_vs_B0_trackmedian_err3d_p95_mm,delta_vs_B0_sample_err3d_rmse_mm,delta_vs_B0_legacy_deltaR_error_rms_mm,delta_vs_B0_trackmedian_radius_error_abs_mm,verdict,screening_score,L,I,rank,R,stage2_reason
B0_A0_U4_P0_T1,online_deployable_uwb_only,Phase 2 control: frozen B0 UWB-only.,34,17,40661,102.63336074100664,208.3503804473449,256.9324074144989,141.2659848479643,40661,66.14323345844781,145.82607164755368,178.9530610667181,93.41834672726388,40661,61.57092076688957,163.1159939953268,205.8963041825253,105.96740522354024,105.83784720842488,231.8021379954777,132.8297379891087,167.47209082957747,187.38314568289843,81.85817424679978,68.97030504345278,38.73430278830949,59.73216676551942,97.22019722085116,173.57057176081128,,,,,,,,,17,80.07935390701411,26.37186507012177,172.16272100899008,A0,U4,P0,T1,baseline,0.0,0.0,0.0,0.0,0.0,BASELINE_UWB_ONLY,272.8902266245117,,,,,control_baseline
X_A0_L0_I0_T11,imu_only_diagnostic_oracle,Phase 2 IMU-only drift diagnostic L0/I0.,34,17,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,40661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.84247618115172,22.88417842593676,0.0,0.0,0.0,,,,,,17,247.34375016361415,12.891067052788172,644.6930803724192,A0,,,T11,imu_only,-105.83784720842488,-231.8021379954777,-141.2659848479643,167.2643962566001,-59.73216676551942,IMU_ONLY_PERFECT_ORACLE,173.1406251145299,L0,I0,,,perfect_imu_oracle
X_A0_L2_I3_T11,imu_only_diagnostic_screening,Phase 2 IMU-only drift diagnostic L2/I3.,34,17,40661,3135.6953684365694,13286.71946648504,17104.213740174106,7525.508746614115,40661,2298.3550017132698,11195.708886434022,14056.473600060495,6244.078682908863,40661,1186.3145136715236,6682.069655167201,9166.918179505668,4200.567020892378,3753.077203631431,13891.61493315948,6632.965327370247,12140.099993127753,6162.634399922301,10586.458619967982,10219.706001217728,1800.2237691754333,8869.622423843695,510.5824941251527,974.514799093159,15646.009640847966,13602.89134414308,130.44104496569258,,,,,,17,16823.178698141415,7484.706507715633,28702.19707504257,A0,,,T11,imu_only,3647.239356423006,13659.812795164002,7384.242761766151,16743.0993442344,8809.890257078176,IMU_ONLY_DRIFTS_AS_EXPECTED,24826.17873085808,L2,I3,,,mpu6050_like_drift_control
X_A0_U4_P0_L8_I1+I2+I3+I8_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,101.16879604841536,193.8250002950655,229.68261105962972,129.06894400398085,40661,68.91135008161231,144.8802613386356,173.0281965182757,93.13418438531336,40661,55.76267803675205,144.17563003037446,177.59572178228711,89.35779767421081,97.29927304238404,197.5278881439903,113.23246231337316,149.01989642715765,143.81959974214988,89.49388706876935,82.60275819411859,27.47994327188951,57.25031361490133,91.0701636924054,165.4634416645801,,,,1.0,0.9149113183616684,4.280116105978332,,,17,77.04072106469286,26.91438154812198,163.0003848263435,A0,U4,P0,T3,position_fusion,-8.53857416604086,-34.27424985148741,-12.197040843983444,-3.038632842321249,-2.481853150618093,FUSION_HELPS_DEPLOYABLE,248.9876954455163,L8,I1+I2+I3+I8,2.0,,deployable_help_candidate
X_A0_U4_P2_L8_I1+I2+I3+I8_T3,loose_ekf_screening,Phase 2 position-side T3 screening row.,34,17,40661,99.74431880935366,180.3149940159924,210.57188863744653,120.9776211229111,40661,70.1027308571908,140.5886984146045,166.9626791639074,91.68332148753257,40661,51.515516954330906,129.40669990926472,157.5737238873902,78.92878672304785,96.3467621410651,183.27274374526496,111.28976231074026,142.22090671094924,124.38179005401943,86.69225985666046,84.65572027851758,27.08887085655988,49.42830559763311,89.15654131683124,157.520322859911,,,,1.0,0.6799005952263274,3.1103804026259514,,,17,86.76628862814327,26.38570024110618,173.90031151156944,A0,U4,P2,T3,position_fusion,-9.49108506735979,-48.52939425021276,-20.288363725053188,6.6869347211291625,-10.30386116788631,FUSION_HURTS_GEOMETRY,245.94277729042463,L8,I1+I2+I3+I8,1.0,,top_position_score
X_A0_U4_P0_L7_I4_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,108.23801497381145,214.78876775839265,256.4203815840564,141.31832637988722,40661,72.42415967965725,150.7549432153847,179.21813307154943,96.29981792202052,40661,60.4473371693922,165.9732774389272,209.0260065141904,103.4273389341427,106.36193439563458,214.48408395291935,124.31711591973097,161.28592889181297,161.09155878913884,95.56722753318373,72.59395523699726,39.423483324215056,56.00230819355895,100.13210167930104,178.1457948853172,,,,1.0,1.6571552484009482,8.127615313280401,,,17,56.7513440310434,27.08326963031419,108.11289639760352,A0,U4,P0,T2,position_fusion,0.5240871872096875,-17.318054042558344,0.0523415319229343,-23.328009875970707,-3.729858571960477,FUSION_NEUTRAL,249.15845869766625,L7,I4,3.0,,top_position_score
X_A0_U4_P2_L3_I1_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,94.20271498334084,159.61645199538526,182.8522780252506,109.63566489582738,40661,63.61262948215898,125.82240897108856,148.8807291338385,82.11031253468622,40661,52.3048113001181,117.59337546692213,140.45665746765013,72.64898893037883,97.22734463400428,166.82579327848754,108.00577153461518,135.20724129206025,118.7426586454319,86.65476282044176,72.25946539458505,29.956089508444503,40.84225864956716,81.2840381204615,137.1750297969495,,,,1.0,0.6578014954038124,2.478541599314074,,,17,107.3256194400144,28.937831863027952,259.19722487274834,A0,U4,P2,T2,position_fusion,-8.610502574420622,-64.97634471699018,-31.630319952136915,27.246265533000283,-18.889908115952267,FUSION_HURTS_GEOMETRY,251.1654352142685,L3,I1,4.0,,top_position_score
X_A0_U4_P0_L3_I1_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,94.51222102831495,166.14136258077136,193.517240098582,112.80558031555492,40661,61.204056499907466,126.85693129449216,149.33295150997046,81.40355693939169,40661,55.12227809506271,125.94505473725349,151.1762954777853,78.09327671409575,99.3589545494648,183.4769278044129,111.6593165499352,136.17915979717003,133.24644553448374,87.11659737192966,74.38434519650914,26.721228848794222,50.68666057759967,85.35683738208635,143.0707258217677,,,,1.0,0.9710486960370316,4.14079817282869,,,17,93.57447493558152,27.12106090619892,206.15136323047147,A0,U4,P0,T2,position_fusion,-6.478892658960092,-48.325210191064826,-28.46040453240937,13.495121028567423,-9.045506187919756,FUSION_HURTS_GEOMETRY,254.42134202471615,L3,I1,5.0,,top_position_score
X_A0_U4_P0_L7_I3_T2,position_prior_screening,Phase 2 position-side T2 screening row.,34,17,40661,103.32969204901742,193.7929984370577,229.4854332937793,130.88652315185595,40661,70.75868166121049,145.15463537511226,170.8098100561757,93.66133078435168,40661,56.361366687265104,145.48155507356347,180.28817324318368,91.42667585822848,106.31949713029276,215.87390340036143,126.91477035404516,158.82762230817212,157.30129122875266,98.88618754005452,81.80314600630415,29.79648007017323,56.84054058057157,94.39956411814948,167.05176339703107,,,,1.0,1.0380554817061267,4.858209285062177,,,17,75.49333104323178,25.743419348038515,181.2372982742232,A0,U4,P0,T2,position_fusion,0.4816499218678842,-15.928234595116294,-10.379461696108336,-4.586022863782333,-2.891626184947853,FUSION_NEUTRAL,263.1409653409673,L7,I3,8.0,,neutral_control
X_A0_U4_P0_L7_I4_T5,error_state_ekf_screening,Phase 2 position-side T5 screening row.,34,17,40661,101.37961524238536,205.08835196172063,253.1288220485195,139.0071371401341,40661,64.9348229885566,143.51979843964426,176.1386364649027,91.91668903525856,40661,60.9743954704602,160.48310959853393,202.6131958555991,104.27994271522984,103.18225232377712,227.01530196485717,130.7754662578388,164.097204153242,183.49173341874985,81.5063962735615,70.58250081000861,37.72512015185737,59.33091798791597,96.02398577185636,170.9956404639225,,,,1.0,0.1028984448985673,0.5604810422079962,,,17,84.5212939639235,26.33468517062937,186.6347636003382,A0,U4,P0,T5,position_fusion,-2.655594884647755,-4.786836030620577,-2.258847707830199,4.441940056909388,-0.4012487776034561,FUSION_NEUTRAL,271.4679727801816,L7,I4,11.0,,neutral_control
