config,d_tag_min_median,d_tag_min_rmse,d_tag_min_p95,d_tag_zero_slope,zero_slope_found,spread_mm
L_V4+C_V4,50.0,56.0,56.0,69.72976325668824,True,19.729763256688244
L_V4+C_V5,0.0,0.0,2.0,0.0,False,2.0
L_V4+C_none,88.0,90.0,116.0,107.5503405693837,True,28.0
L_V5+C_V5,76.0,74.0,70.0,88.57260891901812,True,18.572608919018123
L_V5+C_none,120.0,120.0,120.0,120.0,False,0.0
L_Vicon+C_Vicon_cm,68.0,76.0,84.0,87.32995126064868,True,19.329951260648684
