config,layout_source,correction_source,d_tag_mm,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope_mm_per_m
L_V4+C_none,L_V4,C_none,22.0,88.46783066757678,122.50990584612796,182.53494767513885,160.37943717460416
L_V4+C_none,L_V4,C_none,24.0,86.98801981676935,119.988897197282,179.4796943483683,155.90388834451295
L_V4+C_none,L_V4,C_none,26.0,85.51011430599999,117.49536369661324,176.4492995268196,151.45987647584408
L_V4+C_none,L_V4,C_none,28.0,84.02225515757735,115.0271860010476,173.43940958035782,147.04641078565112
L_V4+C_none,L_V4,C_none,30.0,82.52042103618399,112.58535848124568,170.4577183027265,142.66832599670562
L_V4+C_none,L_V4,C_none,32.0,81.01110536044601,110.17393107016176,167.5060316439465,138.3311754491788
L_V4+C_none,L_V4,C_none,34.0,79.48949139625773,107.79628397701732,164.58212512640011,134.03607752384414
L_V4+C_none,L_V4,C_none,36.0,77.95235572988204,105.4544310817865,161.68461658279358,129.78314267156438
L_V4+C_none,L_V4,C_none,38.0,76.41660613199261,103.15010280900938,158.8188055160419,125.56933148228396
L_V4+C_none,L_V4,C_none,40.0,74.87697007902713,100.88450057512031,155.98484541696766,121.39569162799474
L_V4+C_none,L_V4,C_none,42.0,73.14189658191225,98.6600163360942,153.18503221949794,117.26235531012664
L_V4+C_none,L_V4,C_none,44.0,70.66847966397842,96.48172011330496,150.4236258437954,113.16667747066349
L_V4+C_none,L_V4,C_none,46.0,67.97765626151424,94.3534261735456,147.7011263529701,109.10961045754576
L_V4+C_none,L_V4,C_none,48.0,64.92071065937103,92.28016471340588,145.01961789312077,105.09711519979726
L_V4+C_none,L_V4,C_none,50.0,63.02140356036621,90.26546399522118,142.37350267499946,101.12972631599996
L_V4+C_none,L_V4,C_none,52.0,61.21860553335236,88.31365750607348,139.76551401953316,97.20270818240176
L_V4+C_none,L_V4,C_none,54.0,59.448384159607954,86.43030110595151,137.20103790792277,93.31492751077931
L_V4+C_none,L_V4,C_none,56.0,57.71850497105391,84.61873946632281,134.6794527436518,89.4655916304879
