config,criterion,d_tag_mm,value_at_point,zero_slope_found,source
L_V4+C_V4,min_median,50.0,57.95050891604628,,
L_V4+C_V4,min_rmse,56.0,73.9285809783891,,
L_V4+C_V4,min_p95,56.0,109.3280963889342,,
L_V4+C_V4,zero_slope,69.72976325668824,0.0,True,linear_crossing
L_V4+C_V5,min_median,0.0,59.83258999663252,,
L_V4+C_V5,min_rmse,0.0,75.28051109111345,,
L_V4+C_V5,min_p95,2.0,115.61481758639069,,
L_V4+C_V5,zero_slope,0.0,-10.569472962494112,False,nearest_min_abs_slope
L_V4+C_none,min_median,88.0,51.119131722637206,,
L_V4+C_none,min_rmse,90.0,68.6326821174235,,
L_V4+C_none,min_p95,116.0,110.17900234409848,,
L_V4+C_none,zero_slope,107.5503405693837,0.0,True,linear_crossing
L_V5+C_V5,min_median,76.0,56.61920830126448,,
L_V5+C_V5,min_rmse,74.0,74.4456707714998,,
L_V5+C_V5,min_p95,70.0,121.80104986011794,,
L_V5+C_V5,zero_slope,88.57260891901812,0.0,True,linear_crossing
L_V5+C_none,min_median,120.0,101.58939998896044,,
L_V5+C_none,min_rmse,120.0,128.69978802121767,,
L_V5+C_none,min_p95,120.0,206.3828838860549,,
L_V5+C_none,zero_slope,120.0,179.5925729948488,False,nearest_min_abs_slope
L_Vicon+C_Vicon_cm,min_median,68.0,52.7722163379996,,
L_Vicon+C_Vicon_cm,min_rmse,76.0,73.90646900407455,,
L_Vicon+C_Vicon_cm,min_p95,84.0,121.87585608612096,,
L_Vicon+C_Vicon_cm,zero_slope,87.32995126064868,0.0,True,linear_crossing
