sweep,rx_id,rx,source_kind,tx_id,tx,source_addr,directed_link,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp1,fp_amp2,fp_amp3,fp_amp_sum,max_growth_cir,rx_pream_count,std_noise,max_noise,snr_proxy,peak_over_fp,noise_over_fp,raw_line,round_master,raw_distance_valid,valid_raw_distance_mm
0,0,A,A,1,B,0xa101,A<-B,4782,3679693932,-676,47720,6421,7250,5435,19106,2111,122,44,1048,434.22727272727275,0.11048885166963257,0.0023029414843504657,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;1;0xa101;4782;3679693932;-676;47720;6421;7250;5435;2111;122;44;1048,A,True,4782.0
1,2,C,A,0,A,0xa100,C<-A,-1,605272268,-3006,47824,1931,2510,2526,6967,1223,118,24,456,290.2916666666667,0.17554184010334434,0.0034448112530500933,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;1;2;A;0;0xa100;-1;605272268;-3006;47824;1931;2510;2526;1223;118;24;456,A,False,
1,1,B,A,0,A,0xa100,B<-A,-1,3146745301,-2257,48089,7131,7203,5857,20191,2266,122,32,730,630.96875,0.11222822049427963,0.0015848645436085385,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;1;1;A;0;0xa100;-1;3146745301;-2257;48089;7131;7203;5857;2266;122;32;730,A,False,
1,4,E,A,0,A,0xa100,E<-A,-1,675892400,-4187,47780,3101,3100,2601,8802,424,54,24,542,366.75,0.048170870256759826,0.0027266530334014998,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;1;4;A;0;0xa100;-1;675892400;-4187;47780;3101;3100;2601;424;54;24;542,A,False,
1,3,D,A,0,A,0xa100,D<-A,-1,3170660508,-978,47760,4687,6490,6901,18078,1971,117,56,1313,322.82142857142856,0.10902754729505476,0.0030976877973227126,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;1;3;A;0;0xa100;-1;3170660508;-978;47760;4687;6490;6901;1971;117;56;1313,A,False,
1,5,F,A,0,A,0xa100,F<-A,-1,1302416362,3093,48086,5886,6758,6120,18764,1738,122,52,1112,360.84615384615387,0.09262417395011724,0.002771264122788318,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;1;5;A;0;0xa100;-1;1302416362;3093;48086;5886;6758;6120;1738;122;52;1112,A,False,
0,0,A,A,2,C,0xa102,A<-C,5184,414928939,-439,47639,1773,3144,2661,7578,1464,122,28,557,270.64285714285717,0.19319081551860648,0.003694906307732911,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;2;0xa102;5184;414928939;-439;47639;1773;3144;2661;1464;122;28;557,A,True,5184.0
0,0,A,A,3,D,0xa103,A<-D,2837,1467125410,620,47766,3444,7026,7258,17728,2021,122,48,1131,369.3333333333333,0.1140004512635379,0.002707581227436823,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;3;0xa103;2837;1467125410;620;47766;3444;7026;7258;2021;122;48;1131,A,True,2837.0
0,0,A,A,4,E,0xa104,A<-E,1627,2496774382,2837,47834,7539,7539,7447,22525,2127,122,56,1310,402.23214285714283,0.0944284128745838,0.002486126526082131,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;4;0xa104;1627;2496774382;2837;47834;7539;7539;7447;2127;122;56;1310,A,True,1627.0
1,6,G,A,0,A,0xa100,G<-A,-1,413257717,-7911,47633,6653,7193,6362,20208,2076,121,28,665,721.7142857142857,0.10273159144893111,0.0013855898653998416,[AUTOPOS] ANCHOR_CTRL[3] notify: ACRX;1;1;6;A;0;0xa100;-1;413257717;-7911;47633;6653;7193;6362;2076;121;28;665,A,False,
1,7,H,A,0,A,0xa100,H<-A,-1,226860447,-2006,48027,6936,7463,6519,20918,2039,120,48,1171,435.7916666666667,0.09747585811263026,0.0022946744430633902,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;1;7;A;0;0xa100;-1;226860447;-2006;48027;6936;7463;6519;2039;120;48;1171,A,False,
0,0,A,A,6,G,0xa106,A<-G,5309,4221405198,4324,48114,7426,7163,4666,19255,2266,122,36,847,534.8611111111111,0.11768371851467152,0.0018696442482472085,[AUTOPOS[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;6;0xa106;5309;4221405198;4324;48114;7426;7163;4666;2266;122;36;847,A,True,5309.0
0,0,A,A,7,H,0xa107,A<-H,3212,987806816,1355,47700,7524,7375,7172,22071,2493,122,52,1211,424.4423076923077,0.11295364958542885,0.0023560328032259524,[AUTOPOS] AUTOPOS finite sweep handoff: master=A se[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;0;0;A;7;0xa107;3212;987806816;1355;47700;7524;7375;7172;2493;122;52;1211,A,True,3212.0
2,2,C,A,0,A,0xa100,C<-A,-1,559816466,-3299,47894,1675,2792,2606,7073,1256,119,28,499,252.60714285714286,0.17757670012724444,0.003958716244874877,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;2;2;A;0;0xa100;-1;559816466;-3299;47894;1675;2792;2606;1256;119;28;499,A,False,
2,1,B,A,0,A,0xa100,B<-A,-1,3106931694,-2456,48106,7493,6630,4876,18999,2325,123,44,1033,431.79545454545456,0.12237486183483341,0.002315911363755987,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;2;1;A;0;0xa100;-1;3106931694;-2456;48106;7493;6630;4876;2325;123;44;1033,A,False,
2,3,D,A,0,A,0xa100,D<-A,-1,3166776402,-1238,47694,5592,7561,7499,20652,2554,123,52,1223,397.15384615384613,0.12366840983924075,0.0025179159403447607,[AUTOPOS] ANCHOR_CTRL[7] notify: ACRX;1;2;3;A;0;0xa100;-1;3166776402;-1238;47694;5592;7561;7499;2554;123;52;1223,A,False,
1,0,A,A,1,B,0xa101,A<-B,4768,3639889976,-1143,47668,7603,6900,4427,18930,2658,122,40,984,473.25,0.1404120443740095,0.0021130480718436345,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;1;0xa101;4768;3639889976;-1143;47668;7603;6900;4427;2658;122;40;984,A,True,4768.0
1,0,A,A,2,C,0xa102,A<-C,5201,369485790,-751,47578,1784,3231,2669,7684,1467,122,20,370,384.2,0.19091618948464342,0.0026028110359187923,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;2;0xa102;5201;369485790;-751;47578;1784;3231;2669;1467;122;20;370,A,True,5201.0
2,6,G,A,0,A,0xa100,G<-A,-1,382912310,-7813,47954,7293,6932,6314,20539,2168,122,28,667,733.5357142857143,0.10555528506743268,0.0013632601392472856,[AUTOPOS] ANCHOR_CTRL[3] notify: ACRX;1;2;6;A;0;0xa100;-1;382912310;-7813;47954;7293;6932;6314;2168;122;28;667,A,False,
2,4,E,A,0,A,0xa100,E<-A,-1,668243054,-3330,47714,7727,7764,6962,22453,2427,124,56,1376,400.94642857142856,0.10809245980492585,0.0024940987841268426,[AUTOPOS] ANCHOR_CTRL[1] notify: ACRX;1;2;4;A;0;0xa100;-1;668243054;-3330;47714;7727;7764;6962;2427;124;56;1376,A,False,
2,5,F,A,0,A,0xa100,F<-A,-1,1299662505,2746,47765,5410,6995,6477,18882,1724,118,48,1120,393.375,0.09130388730007415,0.002542103590721322,[AUTOPOS] ANCHOR_CTRL[4] notify: ACRX;1;2;5;A;0;0xa100;-1;1299662505;2746;47765;5410;6995;6477;1724;118;48;1120,A,False,
2,7,H,A,0,A,0xa100,H<-A,-1,218517785,-2175,47901,6916,7072,6162,20150,1928,117,36,851,559.7222222222222,0.09568238213399503,0.0017866004962779156,[AUTOPOS] ANCHOR_CTRL[0] notify: ACRX;1;2;7;A;0;0xa100;-1;218517785;-2175;47901;6916;7072;6162;1928;117;36;851,A,False,
3,1,B,A,0,A,0xa100,B<-A,-1,3048178746,-2291,47670,6507,7067,4445,18019,2029,117,40,941,450.475,0.11260336311671014,0.0022198790165935955,[AUTOPOS] ANCHOR_CTRL[6] notify: ACRX;1;3;1;A;0;0xa100;-1;3048178746;-2291;47670;6507;7067;4445;2029;117;40;941,A,False,
1,0,A,A,3,D,0xa103,A<-D,2847,1463246564,351,47840,4512,7275,6426,18213,1911,122,48,1144,379.4375,0.10492505353319058,0.0026354801515401085,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;3;0xa103;2847;1463246564;351;47840;4512;7275;6426;1911;122;48;1144,A,True,2847.0
1,0,A,A,4,E,0xa104,A<-E,1691,2489141047,2390,47899,7406,7439,7183,22028,2192,122,56,1307,393.35714285714283,0.09950971490829853,0.002542218994007627,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;4;0xa104;1691;2489141047;2390;47899;7406;7439;7183;2192;122;56;1307,A,True,1691.0
1,0,A,A,6,G,0xa106,A<-G,5307,4191096516,4141,47792,6978,7589,5053,19620,2286,122,40,979,490.5,0.11651376146788991,0.0020387359836901123,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;6;0xa106;5307;4191096516;4141;47792;6978;7589;5053;2286;122;40;979,A,True,5307.0
1,0,A,A,7,H,0xa107,A<-H,3175,979474656,1576,47828,6883,7395,7041,21319,2427,122,52,1215,409.9807692307692,0.11384211266944978,0.002439138796378817,[AUTOPOS] ANCHOR_CTRL[5] notify: ACRX;1;1;0;A;7;0xa107;3175;979474656;1576;47828;6883;7395;7041;2427;122;52;1215,A,True,3175.0
3,2,C,A,0,A,0xa100,C<-A,-1,501809559,-3056,48027,2196,2738,2237,7171,1340,124,28,501,256.10714285714283,0.18686375679821504,0.0039046158136940455,[AUTOPOS] ANCHOR_CTRL[2] notify: ACRX;1;3;2;A;0;0xa100;-1;501809559;-3056;48027;2196;2738;2237;1340;124;28;501,A,False,
