pair,weight,cir_badness,max_directed_score,mean_directed_score,min_valid_raw_distance_rate,max_peak_over_fp,min_fp_amp_sum,directed_links
A-C,0.25,8.284439049144696,7.719733166791754,7.1314615950823885,0.4117647058823529,0.19319081551860648,7377.5,"A<-C,C<-A"
C-G,0.25,6.8141763961583734,6.139176396158374,5.853794843568185,0.375,0.15004354654950441,11642.5,"C<-G,G<-C"
A-B,0.25,5.258921957232051,4.879974588810998,2.521485649648128,0.47368421052631576,0.1243283214197683,19022.0,"A<-B,B<-A"
E-H,0.25,5.238542448997279,4.563542448997279,4.283797488743524,0.375,0.13065802149802733,14386.0,"E<-H,H<-E"
B-C,0.30475998105307106,4.243681284097604,3.135988976405296,2.5290097735885126,0.23076923076923078,0.12568478055538065,16763.0,"B<-C,C<-B"
C-H,0.355611193222918,3.692561781546238,2.8925617815462377,1.6663938979178117,0.3333333333333333,0.10620297019116123,18946.0,"C<-H,H<-C"
E-F,0.38497765212340734,3.409178545756501,2.668002075168266,2.618761830509258,0.35294117647058826,0.1348596042889577,14392.0,"E<-F,F<-E"
F-H,0.42552314965248383,3.051556881017424,2.0015568810174242,1.9239437795615617,0.25,0.13473242392444912,14262.0,"H<-F,F<-H"
F-G,0.43391951362993697,2.9817721948062497,2.4170663124533083,2.2857875853004215,0.4117647058823529,0.12890077697108648,14975.0,"G<-F,F<-G"
B-E,0.4623836538205921,2.7548582606529814,2.2673582606529816,1.3596068937353327,0.4375,0.1079199940301192,18997.5,"B<-E,E<-B"
A-D,0.5081785116063802,2.417580329751768,1.6890089011803395,1.511794796298615,0.35714285714285715,0.12083680139526612,20155.0,"D<-A,A<-D"
C-F,0.5408142108148961,2.1952838471579246,1.5202838471579248,1.377138297974145,0.375,0.13855844432563122,16208.5,"C<-F,F<-C"
D-F,0.6407329176357288,1.5897949073049351,0.9147949073049351,0.7066758185884441,0.375,0.1295182096556619,16165.0,"F<-D,D<-F"
D-H,0.6589519438818386,1.4896595354569457,0.8146595354569458,0.41074766470754676,0.375,0.10123918716779108,21499.0,"H<-D,D<-H"
D-G,0.6620288419409603,1.4730219860983378,0.42302198609833785,0.3809773317539828,0.25,0.13116973485968716,15240.0,"D<-G,G<-D"
D-E,0.6983445992885081,1.2822950099693915,0.8156283433027249,-0.029685828348637533,0.4444444444444444,0.10976132266857923,20692.0,"E<-D,D<-E"
C-E,0.7086402066765091,1.2300262398391386,0.8510788714180859,0.25138863547391654,0.47368421052631576,0.11563332065424116,18559.0,"C<-E,E<-C"
B-H,0.7367799334131103,1.0909501042616112,0.6242834375949446,0.1592035629376417,0.4444444444444444,0.12112544521629018,15748.0,"B<-H,H<-B"
C-D,0.7863096033398789,0.8585880954684162,0.4796407270473635,-0.028036779333461104,0.47368421052631576,0.11415168100078187,18847.0,"C<-D,D<-C"
A-G,0.7950884695296286,0.8189353146143901,0.2189353146143902,-0.38160377126423345,0.4,0.10877962706852974,20208.0,"G<-A,A<-G"
A-E,0.8301285757365365,0.6649095702247942,0.3649095702247943,-0.10325950060188854,0.5,0.10158063013685503,21704.5,"A<-E,E<-A"
B-G,0.8652800930261573,0.516792919634869,-0.15820708036513098,-0.24357807233057666,0.375,0.11782470297261073,19032.0,"G<-B,B<-G"
A-F,0.9442861953997909,0.20473566318326158,-0.47026433681673835,-0.49086407595627257,0.375,0.09346268825088838,17524.5,"F<-A,A<-F"
B-D,0.9862244813929288,0.049540291202121,-0.43795970879787893,-0.5514756377913412,0.4375,0.11881502038931412,18561.5,"B<-D,D<-B"
B-F,0.9910403787728836,0.03214285714285714,-0.7678571428571429,-0.7857142857142858,0.3333333333333333,0.09757494748902043,20120.0,"F<-B,B<-F"
A-H,1.0,-0.11071428571428565,-0.9107142857142857,-0.9285714285714286,0.3333333333333333,0.11374213364196639,20905.0,"A<-H,H<-A"
G-H,1.0,-0.22976190476190472,-0.6964285714285714,-0.7767857142857142,0.4444444444444444,0.09868200188426168,19884.0,"H<-G,G<-H"
E-G,1.0,-0.3726190476190476,-0.8392857142857143,-0.9017857142857143,0.4444444444444444,0.10764478886573071,18875.0,"E<-G,G<-E"
