rx_id,rx,tx_id,tx,directed_link,n,valid_raw_distance_rate,raw_distance_mm_median,raw_distance_mm_mean,raw_distance_mm_std,valid_raw_distance_median,valid_raw_distance_std,fp_amp_sum_median,max_growth_cir_median,std_noise_median,max_noise_median,snr_proxy_median,peak_over_fp_median,noise_over_fp_median,rx_pream_count_median,peak_over_fp_median_z,noise_over_fp_median_z,valid_raw_distance_std_z,snr_low_z,compact_suspicion_score
0,A,2,C,A<-C,17,0.4117647058823529,-1.0,2143.5882352941176,2642.2425858260895,5201.0,33.792081349108535,7578.0,1510.0,28.0,527.0,270.64285714285717,0.19319081551860648,0.003694906307732911,120.0,5.41151838125951,2.2305074594257,0.5785114216517684,-0.08928571428571429,7.719733166791754
2,C,0,A,C<-A,18,0.4444444444444444,-1.0,2295.1111111111113,2641.6289290308755,5160.0,30.746660678147595,7377.5,1344.5,26.0,486.5,286.1636904761905,0.18177470916645352,0.0034952307499896535,122.0,4.6158679735726915,1.8086502417513446,0.22581466519184332,-0.10714285714285714,6.543190023373023
2,C,6,G,C<-G,16,0.375,-1.0,611.0,816.1265424756955,1632.5,24.8917657067553,11642.5,1696.5,56.0,1270.0,210.15384615384616,0.13964510262669977,0.004758419736991499,121.0,1.67962705350464,4.477406485510877,-0.45225338810340315,-0.017857142857142856,6.139176396158374
6,G,2,C,G<-C,18,0.5,790.5,805.5,830.0962559352059,1608.0,27.51363298439521,13691.5,2082.5,56.0,1328.0,240.40625,0.15004354654950441,0.0041621378012247825,122.0,2.4043510435652036,3.2176336759842212,-0.1486092664523127,-0.05357142857142857,5.568413290977996
0,A,1,B,A<-B,19,0.47368421052631576,-1.0,2149.9473684210525,2382.54766709187,4795.0,750.455768923866,19106.0,2522.0,44.0,1039.0,421.75,0.1243283214197683,0.0023710729104919974,122.0,0.6121174459538551,-0.5663730398015469,83.57688353175818,-0.7321428571428571,4.879974588810998
4,E,7,H,E<-H,16,0.375,-1.0,1044.9375,1394.686175871356,2779.5,29.33541659268987,14386.0,1921.0,60.0,1334.0,233.21428571428572,0.13065802149802733,0.004288032318499018,122.0,1.0532685961314554,3.483612704053611,0.062375434526499025,-0.03571428571428571,4.563542448997279
7,H,4,E,H<-E,18,0.5,1390.0,1412.8333333333333,1455.0527481847523,2830.0,37.73261188945178,14567.5,1811.0,56.0,1281.5,255.140625,0.12036347620058946,0.003919411437809407,122.0,0.33578586513778785,2.7048224461877077,1.0348727885928428,-0.07142857142857142,4.004052528489767
1,B,2,C,B<-C,20,0.5,1654.5,1684.85,1729.989664556897,3368.5,50.128834017958155,17211.0,2071.5,48.0,1101.0,348.00699300699296,0.12260181942358722,0.0028735056428167527,122.0,0.4917881519932647,0.4951233041805063,2.4705060916600967,-0.32142857142857145,3.135988976405296
2,C,7,H,C<-H,15,0.3333333333333333,-1.0,1352.8666666666666,1982.0068425233862,4055.0,45.46207210411775,19024.0,2039.0,60.0,1406.0,312.875,0.10510244286840031,0.0031961646024770275,122.0,-0.7278383704746003,1.1768091976287332,1.930038298203219,-0.21428571428571427,2.8925617815462377
4,E,5,F,E<-F,17,0.35294117647058826,-1.0,1518.8235294117646,2121.281871749194,4308.0,36.444021000250025,14392.0,1922.0,48.0,1127.0,307.0,0.12494221752624975,0.003257328990228013,122.0,0.6549031972715276,1.3060320165305999,0.8856382899375669,-0.17857142857142858,2.668002075168266
