sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
4998,,BS2DCE,,cal_roto,5,success,100,4,4,62,84,0
4999,,BS2DCE,,cal_roto,5,success,100,4,4,55,79,0
5000,,BS2DCE,,cal_roto,5,success,100,4,4,96,128,0
5001,,BS2DCE,,cal_roto,5,success,100,4,4,102,121,0
5002,,BS2DCE,,cal_roto,5,success,100,4,4,130,166,0
5003,,BS2DCE,,cal_roto,5,success,100,4,4,20,26,0
5004,,BS2DCE,,cal_roto,5,success,100,4,4,33,40,0
5005,,BS2DCE,,cal_roto,5,success,100,4,4,170,190,0
5006,,BS2DCE,,cal_roto,5,success,100,4,4,73,102,0
5007,,BS2DCE,,cal_roto,5,success,100,4,4,12,18,0
5008,,BS2DCE,,cal_roto,5,success,100,4,4,22,32,0
5009,,BS2DCE,,cal_roto,5,success,100,4,4,38,57,0
5010,,BS2DCE,,cal_roto,5,success,100,4,4,66,94,0
5011,,BS2DCE,,cal_roto,5,success,100,4,4,58,85,0
5012,,BS2DCE,,cal_roto,5,success,100,4,4,117,136,0
5013,,BS2DCE,,cal_roto,5,success,100,4,4,237,317,0
5014,,BS2DCE,,cal_roto,5,success,100,4,4,108,138,0
5015,,BS2DCE,,cal_roto,5,success,100,4,4,68,90,0
5016,,BS2DCE,,cal_roto,5,success,100,4,4,68,81,0
5017,,BS2DCE,,cal_roto,5,success,100,4,4,63,84,0
5018,,BS2DCE,,cal_roto,5,success,100,4,4,84,119,0
5019,,BS2DCE,,cal_roto,5,success,100,4,4,142,156,0
5020,,BS2DCE,,cal_roto,5,success,100,4,4,131,162,0
5021,,BS2DCE,,cal_roto,5,success,100,4,4,108,138,0
5022,,BS2DCE,,cal_roto,5,success,100,4,4,73,91,0
5023,,BS2DCE,,cal_roto,5,success,100,4,4,108,130,0
5024,,BS2DCE,,cal_roto,5,success,100,4,4,179,196,0
5025,,BS2DCE,,cal_roto,5,success,100,4,4,28,41,0
5026,,BS2DCE,,cal_roto,5,success,100,4,4,20,29,0
5027,,BS2DCE,,cal_roto,5,success,100,4,4,24,36,0
5028,,BS2DCE,,cal_roto,5,success,100,4,4,3,5,0
5029,,BS2DCE,,cal_roto,5,success,100,4,4,51,70,0
5030,,BS2DCE,,cal_roto,5,success,100,4,4,87,129,0
5031,,BS2DCE,,cal_roto,5,success,100,4,4,121,163,0
5032,,BS2DCE,,cal_roto,5,success,100,4,4,22,28,0
5033,,BS2DCE,,cal_roto,5,success,100,4,4,134,153,0
5034,,BS2DCE,,cal_roto,5,success,100,4,4,107,137,0
