pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4822.912609493277,4823.397194546235,-0.4845850529582094,0.4845850529582094
A-C,10070.128886192413,10069.779439156819,0.3494470355944941,0.3494470355944941
A-D,8934.494558315717,8933.48780460703,1.0067537086870288,1.0067537086870288
A-E,1576.7189504658377,1579.640970500349,-2.9220200345114336,2.9220200345114336
A-F,5057.339643714438,5059.977106022747,-2.637462308308386,2.637462308308386
A-G,10275.777357603365,10274.202427524007,1.5749300793577277,1.5749300793577277
A-H,8991.180610020843,8990.320171274756,0.8604387460873113,0.8604387460873113
B-C,6327.5151170544505,6328.306112161998,-0.7909951075471326,0.7909951075471326
B-D,5558.907352576402,5558.718079370202,0.18927320620059618,0.18927320620059618
B-E,4971.250088719044,4969.6556533008625,1.5944354181810922,1.5944354181810922
B-F,1370.8283496718034,1370.8095238601627,0.018825811640681422,0.018825811640681422
B-G,6589.401710387049,6587.584607312053,1.8171030749963393,1.8171030749963393
B-H,5644.199622818761,5643.526186816318,0.6734360024429407,0.6734360024429407
C-D,9906.91838819609,9905.544205503753,1.374182692337854,1.374182692337854
C-E,10126.238559997104,10124.802008779869,1.4365512172353192,1.4365512172353192
C-F,6412.554258392159,6414.791589940223,-2.2373315480645033,2.2373315480645033
C-G,1477.3712720833566,1479.9529295701602,-2.5816574868035786,2.5816574868035786
C-H,9933.670966462138,9933.683041183842,-0.012074721704266267,0.012074721704266267
D-E,8976.680019865584,8976.407727148444,0.27229271713986236,0.27229271713986236
D-F,5771.808255735206,5774.063054552488,-2.2547988172818805,2.2547988172818805
D-G,10099.14356305988,10099.406567171845,-0.26300411196461937,0.26300411196461937
D-H,1268.5289110279564,1270.0016169694795,-1.4727059415231452,1.4727059415231452
E-F,4766.422699858128,4767.472866207598,-1.0501663494696913,1.0501663494696913
E-G,10103.369968392075,10105.094798969521,-1.7248305774464825,1.7248305774464825
E-H,8809.810297165073,8810.551959522005,-0.7416623569315561,0.7416623569315561
F-G,6360.370662986234,6361.654485117378,-1.2838221311440066,1.2838221311440066
F-H,5549.128014946659,5549.970040048758,-0.8420251020988871,0.8420251020988871
G-H,9938.830208977568,9938.758165913243,0.07204306432504382,0.07204306432504382
