tag_delay_mm,n_static_cases,n_residuals,raw_rms,raw_p50_abs,raw_p95_abs,norm_rms,case_rms_median,case_rms_p95,status
-120.0,23,184,109.87660062010444,48.360331834144745,228.71987676555088,4.088815529594413,103.30678706540903,161.5913542984514,ok
-119.0,23,184,109.2752009704366,48.38988411790319,227.36602339372598,4.065215746705568,102.73812977291291,160.50155808529385,ok
-118.0,23,184,108.67165618804994,48.45542509928009,226.00996333057955,4.0415607552684065,102.16927248190395,159.40919733272983,ok
-117.0,23,184,108.06889056448802,48.51594806345838,224.65169296873034,4.017882991446834,101.60022506897148,158.3142842073062,ok
-116.0,23,184,107.46745352753521,48.56977836415581,223.29120868549887,3.9941857585207585,101.03079707408828,157.21683261962485,ok
-115.0,23,184,106.86693973064556,48.340596273161054,221.92850684231126,3.970492535419119,100.46126011328133,156.11685828357676,ok
-114.0,23,184,106.26609904517476,48.37055722285322,220.56358378398423,3.94674207084286,99.89162920432473,155.01437877712442,ok
-113.0,23,184,105.66515740822072,48.40157568561722,219.19643583788869,3.922861715496961,99.32191974101653,153.90941360464785,ok
-112.0,23,184,105.06553050316941,47.95968344460721,217.8270593129879,3.89899003710802,98.7521475031305,152.80198426087625,ok
-111.0,23,184,104.46734382087087,47.85317021263154,216.45545049874005,3.875134232128566,98.18232866667326,151.69211429641817,ok
-110.0,23,184,103.87081735640002,47.47345486525637,215.08160566387645,3.8513100724266023,97.61247981445439,150.5798293849139,ok
-109.0,23,184,103.27516677655696,46.98031587279593,213.7050957021827,3.827463283243974,97.04261794697699,149.46515739182703,ok
-108.0,23,184,102.67980344441939,46.565978354598656,212.32313222620814,3.80356442127934,96.47276049366546,148.3481284449021,ok
-107.0,23,184,102.08771234354548,46.14936380868039,210.93889401296806,3.779696881405025,95.90292532443664,147.2496736833979,ok
-106.0,23,184,101.49505487136,45.73047076722446,209.55237710929723,3.7558280560469406,95.33313076163093,146.1138599336073,ok
-105.0,23,184,100.89905837785017,45.30929843133299,208.16357320332006,3.7319358323710152,94.59380003989202,144.95785426043875,ok
-104.0,23,184,100.29840269730644,44.88584663632423,206.77248130090476,3.707826516921604,93.85060415458604,143.80126636493983,ok
-103.0,23,184,99.69938493386228,44.39395930840442,205.37909865749214,3.6837574404438325,93.10788341049839,142.6441627596518,ok
-102.0,23,184,99.10190043293663,43.79987460628695,203.98342138147282,3.6597342870688756,92.36569492948557,141.486609604328,ok
-101.0,23,184,98.50565308522758,43.477001916278596,202.58548790972836,3.6357349048825967,91.62409796726331,140.32867276888234,ok
-100.0,23,184,97.91135456985275,43.213790074612234,201.1857174495579,3.611768395050444,90.88315398919475,139.17041790370916,ok
-99.0,23,184,97.31935717403384,43.15652513160558,199.903908892234,3.587873651450007,90.14292674824388,138.01191051756862,ok
-98.0,23,184,96.72910454805225,43.07492858671412,198.6547184623686,3.5640246099848363,89.40345621351435,136.85321606326005,ok
-97.0,23,184,96.13389751092595,42.989741444283936,197.15225847626454,3.540111866810981,88.66448375650077,135.75100586225173,ok
-96.0,23,184,95.5369274971964,43.147318854688365,195.64805445147005,3.5161884043167206,87.92635577973385,135.14678884214882,ok
-95.0,23,184,94.94136707800055,43.303675980608205,194.14210902508955,3.49230927079148,87.18921481225584,134.54254708347707,ok
-94.0,23,184,94.34787571967894,43.14439971268473,192.64422292511463,3.4685104213585727,86.45313802456165,133.93829996967685,ok
-93.0,23,184,93.75120312728087,42.8222259562325,191.14855163057896,3.444564333168441,85.71820550865546,133.3340669414305,ok
-92.0,23,184,93.15802410381004,42.49844200080429,189.6513048926296,3.4205124037917196,84.98450038639268,132.72969199497467,ok
-91.0,23,184,92.57029405493458,42.17304175894617,188.15225333580324,3.3965012258647707,84.25237721304933,132.12530656928524,ok
-90.0,23,184,91.98754291890016,41.9515800896595,186.65164900641088,3.3726895888659603,83.52197861045883,131.5107641382322,ok
-89.0,23,184,91.40592390309983,41.312387795513814,185.14960020885792,3.348940343244706,82.79305498889742,130.85035667938743,ok
-88.0,23,184,90.82456985359495,40.67143552374864,183.64599542183106,3.3251972786830417,82.06569751678059,130.18980756300425,ok
-87.0,23,184,90.24459574243015,40.69317910767904,182.14080592647417,3.301487189487536,81.34000049397719,129.52876706893846,ok
-86.0,23,184,89.6652298579457,41.32040154596484,180.63402995973337,3.277860088304765,80.61606143803344,128.86361194553365,ok
-85.0,23,184,89.08814514484386,41.95284786344905,179.12566572844665,3.254270896890295,79.89460101930396,128.19838489364358,ok
-84.0,23,184,88.50801037112116,42.234744789333035,177.61571140084754,3.230770249960959,79.17648571826388,127.53310773170145,ok
-83.0,23,184,87.92809636869326,42.107635965700865,176.11062832393029,3.2073815111195154,78.46010131717459,126.86780256872632,ok
-82.0,23,184,87.35270560858372,41.97987948087507,174.60807703202644,3.184168563342285,77.74601901390656,126.20249181841662,ok
-81.0,23,184,86.77905800363162,42.149526462690574,173.10248292619195,3.161086883682609,77.03438035042753,125.53306071880084,ok
-80.0,23,184,86.20867823970354,41.86188744949982,171.59429627245157,3.138169399730026,76.32529972212612,124.86280625087058,ok
-79.0,23,184,85.6425614084806,41.7697897261819,170.083623520902,3.115408376169607,75.61943047301133,124.19250628302404,ok
-78.0,23,184,85.0813450531719,41.527119408752924,168.56227173580976,3.0927992237695814,74.94081161204099,123.5221944901929,ok
-77.0,23,184,84.52512737565635,41.268128843568775,167.00472408975037,3.0703143421090866,74.30155668657443,122.85120411699047,ok
-76.0,23,184,83.97271440673293,41.00961341254833,165.45946213423343,3.048018644409534,73.66276923231928,122.17689134506404,ok
-75.0,23,184,83.42633044807673,40.75138351256555,163.92726270450493,3.0259702157305433,73.02449595619505,121.50265908041365,ok
-74.0,23,184,82.88163761680427,40.14870173989743,162.393470976517,3.00423076459419,72.36359104849618,120.8286991802872,ok
-73.0,23,184,82.33994412480494,39.81230217696361,160.65693450553016,2.9827314573041694,71.47962324931302,120.15505769100746,ok
-72.0,23,184,81.8038848873563,39.47354943087771,159.00016432060693,2.9614947383327217,70.78653303834733,119.4817834912238,ok
-71.0,23,184,81.27302005727823,39.4574018510516,157.4695522976522,2.9404961577756943,70.11093438627715,118.86558166260035,ok
-70.0,23,184,80.74838112052413,39.67035579486583,155.93596345784744,2.9197662731176783,69.43946474177176,118.27645948276249,ok
-69.0,23,184,80.23841105220092,39.38738210235397,154.40223853979654,2.8996229643938136,68.77478876643534,117.68763136140592,ok
-68.0,23,184,79.73522116960115,39.081858997421705,153.03959031956447,2.8797601411451534,68.11444597973079,117.09912007827896,ok
-67.0,23,184,79.23704181127243,38.75953286206686,151.7050653126941,2.8601468975726227,67.45776386601838,116.5109487484068,ok
-66.0,23,184,78.74476520189377,38.40780281664047,150.17881913749252,2.8407952576745785,66.8047812469525,115.9231408163097,ok
-65.0,23,184,78.25826611071788,37.96111136196055,148.65056151071374,2.8217137472637703,66.1566356728743,115.33572004890426,ok
-64.0,23,184,77.77507492174388,37.74547652030128,147.12027127689063,2.8027892896269524,65.51347120770959,114.74871052693473,ok
-63.0,23,184,77.29601608066278,37.39033543098685,146.44245698810082,2.7841077945439854,64.87542713610775,114.16213663476216,ok
-62.0,23,184,76.82325235116106,36.937419515985766,145.08669594849513,2.7657131042687553,64.24263622263854,113.57602304832163,ok
-61.0,23,184,76.35706243309708,36.20878976861786,143.12108183699283,2.747612050576458,63.61522265247295,112.99039472102682,ok
-60.0,23,184,75.89551528313127,35.45644351613464,142.29715889687427,2.7297543672318243,62.98337069614621,112.40525593655778,ok
-59.0,23,184,75.4380773727748,34.80813537833728,140.7572069204883,2.7121173486155534,62.33956953594619,111.82064401786141,ok
-58.0,23,184,74.98768923738693,33.97456047086655,139.2117745457954,2.6947897225168926,61.70169739373191,111.23659164556697,ok
-57.0,23,184,74.54450884774715,34.02188900757119,137.66068829183115,2.6777884287145817,61.06991498362303,110.65308881849714,ok
-56.0,23,184,74.10057791412716,34.25938148720638,135.87755724221776,2.66095636966829,60.35055712681905,110.07010126887681,ok
-55.0,23,184,73.65687057506018,33.6154629121977,133.98060593905683,2.6443336107083675,59.59676989216139,109.48775587956867,ok
-54.0,23,184,73.21259268998722,33.267741098123224,134.40289275327038,2.627871393817994,58.84357458638102,108.90608155853383,ok
-53.0,23,184,72.77391885900725,33.0184327628092,135.9979710399089,2.6117148287167162,58.09751845756981,108.32510747059675,ok
-52.0,23,184,72.34456567342802,32.90962547882668,135.70162462317788,2.5959368602742976,58.06076574128773,107.74486300488508,ok
-51.0,23,184,71.9228189128194,32.80059601188145,134.90652386169396,2.5805171838394565,58.169924853847455,107.16281433053095,ok
-50.0,23,184,71.50644317346124,32.764581316363774,134.4623619943539,2.5653559806311077,57.58370462970045,106.53184567959643,ok
-49.0,23,184,71.09919306709816,32.88016619752079,134.98566163059664,2.5505283160805563,57.000825253528006,105.90087995332944,ok
-48.0,23,184,70.70089509621627,32.53181350678051,135.51775653619072,2.536031134121973,56.42144538294119,105.27069774954704,ok
-47.0,23,184,70.31147121184223,32.47146251823915,136.0371709966206,2.5219042036580994,55.84572925603131,104.6412566338912,ok
-46.0,23,184,69.92987140470267,32.514883250965795,136.55171334933448,2.5081387871626,55.27415557154198,104.0126208875781,ok
-45.0,23,184,69.55611381697963,32.60120940986553,137.06671816591233,2.494710614731015,54.71336648838697,103.38488264559267,ok
-44.0,23,184,69.18462594608035,32.67551958934246,136.20175618750218,2.4814952234738703,54.16395515308894,102.75808399321642,ok
-43.0,23,184,68.82283187258994,32.83577695283998,135.03694994158317,2.4686359580945054,53.619646200057765,102.13226790582333,ok
-42.0,23,184,68.4698797836242,32.82545314437016,133.8703139046105,2.4561172473283803,53.05831586109229,101.50747826686563,ok
-41.0,23,184,68.12305993160474,32.752645115139785,132.9973186050925,2.4438974446298234,52.48332518851497,100.8837598866457,ok
-40.0,23,184,67.77477278257146,32.28269948633988,132.28455362898487,2.4317570222091636,52.45325078785007,100.26115852197852,ok
-39.0,23,184,67.43315917123473,32.50307025296752,131.5695719955389,2.419858087924544,52.85509944146815,99.63914426459624,ok
-38.0,23,184,67.098079240585,32.56892992185681,131.1196126884318,2.408208067786878,53.271575315809756,99.01790964469397,ok
-37.0,23,184,66.77329277708334,32.150106678367365,132.50470644424925,2.3969325723726396,53.70168975058061,98.39804412461748,ok
-36.0,23,184,66.45729306703466,31.356495197444474,133.88507897043863,2.38597202004055,54.145641809602786,97.77959793659078,ok
