host_elapsed_s,host_epoch_s,listener_t_ms,seq,anchor,anchor_id,src,dst,code,q,level,cir,rxpacc,fp1,len
70.417,1777920783.476681,10241449,23972,H,7,0xa107,0xb101,0xe1,14780,7,1706,123,6348,20
70.716,1777920783.776412,10241749,23973,H,7,0xa107,0xb101,0xe1,15077,7,1629,119,6802,20
71.216,1777920784.276501,10242249,23974,H,7,0xa107,0xb101,0xe1,15161,7,1638,119,4024,20
71.516,1777920784.576192,10242549,23975,H,7,0xa107,0xb101,0xe1,16024,7,1790,121,5467,20
72.316,1777920785.376089,10243349,23976,H,7,0xa107,0xb101,0xe1,16503,7,1936,124,5739,20
72.716,1777920785.776508,10243749,23977,H,7,0xa107,0xb101,0xe1,14941,7,1669,121,7121,20
73.216,1777920786.276481,10244249,23978,H,7,0xa107,0xb101,0xe1,15710,7,1843,124,7013,20
73.516,1777920786.576202,10244549,23979,H,7,0xa107,0xb101,0xe1,15815,7,1796,122,5989,20
73.816,1777920786.875868,10244849,23980,H,7,0xa107,0xb101,0xe1,15594,7,1859,125,6579,20
74.316,1777920787.375969,10245349,23981,H,7,0xa107,0xb101,0xe1,16001,7,1847,123,5626,20
74.716,1777920787.776329,10245749,23982,H,7,0xa107,0xb101,0xe1,14816,7,1655,121,6720,20
75.216,1777920788.276313,10246249,23983,H,7,0xa107,0xb101,0xe1,15514,7,1820,124,5281,20
75.516,1777920788.575933,10246549,23984,H,7,0xa107,0xb101,0xe1,16530,7,1786,119,6736,20
75.929,1777920788.989517,10246949,23985,H,7,0xa107,0xb101,0xe1,16320,7,1823,121,6675,20
76.016,1777920789.076414,10247049,23986,H,7,0xa107,0xb101,0xe1,16071,7,1855,123,6695,20
76.316,1777920789.376157,10247349,23987,H,7,0xa107,0xb101,0xe1,15004,7,1594,118,6368,20
76.616,1777920789.675849,10247649,23988,H,7,0xa107,0xb101,0xe1,15027,7,1651,120,6605,20
77.116,1777920790.175835,10248149,23989,H,7,0xa107,0xb101,0xe1,15390,7,1635,118,4476,20
77.516,1777920790.576189,10248549,23990,H,7,0xa107,0xb101,0xe1,16582,7,1914,123,6851,20
77.816,1777920790.875829,10248849,23991,H,7,0xa107,0xb101,0xe1,16334,7,1706,117,6458,20
78.316,1777920791.375852,10249349,23992,H,7,0xa107,0xb101,0xe1,14982,7,1786,125,5638,20
78.615,1777920791.675539,10249649,23993,H,7,0xa107,0xb101,0xe1,15625,7,1833,124,6675,20
79.115,1777920792.175493,10250149,23994,H,7,0xa107,0xb101,0xe1,15701,7,1783,122,5498,20
79.516,1777920792.575890,10250549,23995,H,7,0xa107,0xb101,0xe1,15480,7,1816,124,4940,20
79.829,1777920792.888731,10250849,23996,H,7,0xa107,0xb101,0xe1,15093,7,1686,121,3991,20
80.412,1777920793.472371,10251446,23997,E,4,0xa104,0xb101,0xe1,17114,7,1849,119,4661,20
80.516,1777920793.575900,10251549,23998,H,7,0xa107,0xb101,0xe1,15783,7,1763,121,4974,20
80.816,1777920793.875695,10251849,23999,H,7,0xa107,0xb101,0xe1,16105,7,1740,119,6154,20
105.763,1777920818.822876,10276798,24000,H,7,0xa107,0xb101,0xe1,15736,7,1846,124,4510,20
107.862,1777920820.922415,10278898,24001,H,7,0xa107,0xb101,0xe1,15036,7,1652,120,5006,20
113.562,1777920826.622013,10284598,24002,H,7,0xa107,0xb101,0xe1,15948,7,1811,122,5072,20
114.062,1777920827.122144,10285098,24003,H,7,0xa107,0xb101,0xe1,9893,6,109,38,1275,20
115.762,1777920828.821880,10286798,24004,H,7,0xa107,0xb101,0xe1,15089,7,1603,118,6544,20
117.962,1777920831.021640,10288998,24005,H,7,0xa107,0xb101,0xe1,15736,7,1787,122,4430,20
126.561,1777920839.620938,10297597,24006,H,7,0xa107,0xb101,0xe1,15425,7,1611,117,5244,20
131.861,1777920844.920601,10302898,24007,H,7,0xa107,0xb101,0xe1,16388,7,1741,118,6630,20
