capture,rows,imu_valid_nonnull,imu_valid_sum,imu_valid_max,imu_n_nonnull,imu_n_sum,imu_n_max,acc_norm_mean_mg_nonnull,acc_norm_mean_mg_sum,acc_norm_mean_mg_max,acc_norm_std_mg_nonnull,acc_norm_std_mg_sum,acc_norm_std_mg_max,acc_norm_min_mg_nonnull,acc_norm_min_mg_sum,acc_norm_min_mg_max,acc_norm_max_mg_nonnull,acc_norm_max_mg_sum,acc_norm_max_mg_max,imu_skip_count_nonnull,imu_skip_count_sum,imu_skip_count_max
static_ID01_BSF66F_120s_20260528_110629,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID02_BSF66F_120s_20260528_111027,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID03_BSF66F_120s_20260528_111354,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID04_BSF66F_120s_20260528_111732,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID05_BSF66F_120s_20260528_112057,9600,9600,0.0,0.0,9600,0.0,0.0,0,,,0,,,0,,,0,,,9600,0.0,0.0
static_ID06_BSF66F_120s_20260528_112429,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID07_BSF66F_120s_20260528_112810,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID08_BSF66F_120s_20260528_113136,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID09_BSF66F_120s_20260528_113816,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID10_BSF66F_120s_20260528_114216,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID11_BSF66F_120s_20260528_114551,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID12_BSF66F_120s_20260528_115143,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID13_BSF66F_120s_20260528_115704,9600,9600,0.0,0.0,9600,0.0,0.0,0,,,0,,,0,,,0,,,9600,0.0,0.0
static_ID14_BSF66F_120s_20260528_120122,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID15_BSF66F_120s_20260528_120437,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID16_BSF66F_120s_20260528_120804,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID17_BSF66F_120s_20260528_121200,9592,9592,0.0,0.0,9592,0.0,0.0,0,,,0,,,0,,,0,,,9592,0.0,0.0
static_ID18_BSF66F_120s_20260528_121519,9592,9592,0.0,0.0,9592,0.0,0.0,0,,,0,,,0,,,0,,,9592,0.0,0.0
static_ID19_BSF66F_120s_20260528_121846,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID20_BSF66F_120s_20260528_122210,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID21_BSF66F_120s_20260528_122611,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID22_BSF66F_120s_20260528_122946,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID23_BSF66F_120s_20260528_123303,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
static_ID24_BSF66F_120s_20260528_123717,9608,9608,0.0,0.0,9608,0.0,0.0,0,,,0,,,0,,,0,,,9608,0.0,0.0
