convention,n_positions,median_3d_mm,p95_3d_mm,rmse_3d_mm,max_3d_mm
Source A FULL_V5 raw-frame mean-position D_LOO_CV,24,67.84873089032392,153.63462763650298,82.79872650778267,159.77446683408073
Current followup synthetic p50 fixed D_tag=49.621 reproduction,24,63.19933144996431,174.04526872218062,90.9789640295255,177.06788331032172
Three-dim raw-frame V3 scalar p50 LOO D_tag-per-fold,24,64.14306882330591,175.41616629223492,85.01117790517942,181.37208532251657
