ID,err_3d_mm_frame_mean,err_3d_mm_synthetic_p50,err_3d_mm_v3_scalar_p50_loo,err_delta_p50_minus_frame_mean_mm,d_tag_mm,dtag_v3_loo_train_mm,frames_solved,n_anchors
ID01,159.77446683408073,177.06788331032172,181.37208532251657,17.293416476240992,49.621,49.15058155612294,1201,8
ID02,63.23939504971062,62.89022228789087,63.006665925157485,-0.3491727618197515,49.621,50.33935992117519,1201,8
ID03,89.34969504811832,106.88206549340698,38.59350870559738,17.532370445288663,49.621,49.61495305721834,1201,8
ID04,155.83171960619657,169.6512997139813,134.4404724923281,13.81958010778473,49.621,48.11644940610554,1201,8
ID05,33.91445582638886,52.099817347105045,41.49281270265877,18.185361520716185,49.621,48.60844070875655,1200,8
ID06,127.3376088744864,149.97507035467373,181.18299564320307,22.637461480187326,49.621,47.93989214256091,1201,8
ID07,141.18443980823957,174.82067501774523,142.73746663674936,33.63623520950566,49.621,48.60844070875655,1201,8
ID08,88.05361656121042,80.17621877856989,71.71726004028105,-7.877397782640529,49.621,49.61495305721834,1201,8
ID09,66.24728857332062,91.5954340556766,73.15613486242549,25.34814548235599,49.621,49.61495305721834,1201,8
ID10,65.77819319394413,61.61404519065676,59.55588534631337,-4.164148003287373,49.621,48.60844070875655,1201,8
ID11,33.756755324112426,47.9727798319422,55.46776696831115,14.216024507829772,49.621,47.93989214256091,1201,8
ID12,96.4908142458859,100.51748036547464,102.19912298229418,4.026666119588754,49.621,49.61495305721834,1201,8
ID13,69.45017320732723,63.50844061203775,67.64149999603949,-5.94173259528948,49.621,49.61495305721834,1200,8
ID14,82.8225052415679,87.59845547466104,80.26766480104463,4.775950233093141,49.621,50.33935992117519,1201,8
ID15,72.0224974482219,76.52167822466761,71.52368684018438,4.499180776445712,49.621,50.33935992117519,1201,8
ID16,21.602477704908747,24.235489323886863,25.973539678067223,2.6330116189781165,49.621,49.61495305721834,1201,8
ID17,37.64346510027109,14.553911004061602,70.53565433391215,-23.089554096209483,49.621,50.82124425440664,1199,8
ID18,29.22763441318644,23.97998063317882,35.25056887095015,-5.247653780007621,49.621,50.82124425440664,1199,8
ID19,87.70253218277773,75.03427524925124,65.27947172145433,-12.668256933526491,49.621,49.7972190738088,1201,8
ID20,35.986977835660255,61.71537400079037,28.628198107967485,25.728396165130118,49.621,50.82124425440664,1201,8
ID21,35.05226238484205,44.684357899401824,49.12586104887479,9.632095514559772,49.621,49.61495305721834,1201,8
ID22,34.43674655900833,45.81865700731748,42.20784544945162,11.38191044830915,49.621,50.82124425440664,1201,8
ID23,74.09866016175779,58.00824450736752,36.46236981929912,-16.09041565439027,49.621,49.61495305721834,1201,8
ID24,44.98941471744787,22.660033708222773,29.96903635736841,-22.3293810092251,49.621,48.60844070875655,1201,8
