scope,n_rows,mean_diff_mm,std_diff_mm,min_diff_mm,max_diff_mm,nonzero_count
static_all_rows,230544,21.322910160316468,217.0906673503256,0.0,3430.0,2279
static_valid_rows,228265,0.0,0.0,0.0,0.0,0
static_invalid_rows,2279,2157.0289600702063,400.976551617078,1210.0,3430.0,2279
all_capture_all_rows,653064,29.75142405644776,254.61913640185853,0.0,3901.0,8990
all_capture_valid_rows,628214,0.0,0.0,0.0,0.0,0
all_capture_invalid_rows,24850,781.8746076458752,1056.2897794469127,0.0,3901.0,8990
static_anchor_0,28818,4.551911999444791,103.26922066804745,0.0,3079.0,58
static_anchor_1,28818,2.5782497050454576,72.78969618328865,0.0,2614.0,37
static_anchor_2,28818,4.489173433270873,100.45355814851074,0.0,3024.0,59
static_anchor_3,28818,2.0750572558817404,66.27134313057344,0.0,2836.0,29
static_anchor_4,28818,1.7555694357693108,60.51437455757698,0.0,2752.0,25
static_anchor_5,28818,21.099347629953503,217.78002696602297,0.0,3153.0,280
static_anchor_6,28818,96.16076757582067,454.50129071630823,0.0,2908.0,1276
static_anchor_7,28818,37.873204247345406,285.2836919766158,0.0,3430.0,515
