ID,err_3d_mm_frame_mean,solved_x_frame_mean_mm,solved_y_frame_mean_mm,solved_z_frame_mean_mm,frames_solved,frames_input,point_estimator,err_3d_mm_synthetic_p50,solved_x_p50_mm,solved_y_p50_mm,solved_z_p50_mm,n_anchors,d_tag_mm,err_delta_p50_minus_frame_mean_mm
ID01,159.77446683408073,-471.7156287633218,48.76340342028814,-331.7416681117793,1201,1201,mean,177.06788331032172,-469.916383460516,35.80096584899265,-315.55438118370176,8,49.621,17.293416476240992
ID02,63.23939504971062,-521.3692361053163,1057.8573070301309,-224.66494996076645,1201,1201,mean,62.89022228789087,-515.0416515237524,1060.4280633903793,-226.43870775025545,8,49.621,-0.34917276181975154
ID03,89.34969504811832,-558.2660213436502,1714.8029136117311,-257.3696781725722,1201,1201,mean,106.88206549340698,-556.5545328812257,1731.4219948618543,-241.7758031083152,8,49.621,17.532370445288663
ID04,155.83171960619657,-276.08640593041486,37.47231246720482,516.190899434258,1201,1201,mean,169.6512997139813,-263.89726969589327,32.90128319880895,536.6884861133785,8,49.621,13.81958010778473
ID05,33.91445582638886,-179.96930141812038,1086.227427819886,502.4046010196146,1200,1200,mean,52.099817347105045,-171.77541971095192,1062.8766855017868,503.4139873442165,8,49.621,18.185361520716185
ID06,127.3376088744864,-174.2277466812446,1810.81559642476,473.0262886882792,1201,1201,mean,149.97507035467373,-167.25206512435483,1831.9799216824665,462.36122172497096,8,49.621,22.637461480187326
ID07,141.18443980823957,296.5386860630502,81.81808323868476,56.31494640832963,1201,1201,mean,174.82067501774523,261.66667647263284,62.070560772136595,48.620304373137266,8,49.621,33.63623520950566
ID08,88.05361656121042,438.7174334776292,1196.3563429191267,-109.68807416218604,1201,1201,mean,80.17621877856989,431.6277870888746,1185.977265466613,-115.87850198404325,8,49.621,-7.877397782640529
ID09,66.24728857332062,447.2957681141839,1516.3817381586823,-47.46149506942409,1201,1201,mean,91.5954340556766,472.80595341889205,1507.6584433565854,-37.31150215704101,8,49.621,25.34814548235599
ID10,65.77819319394413,70.43289161960662,174.4972057630383,-951.863952722565,1201,1201,mean,61.61404519065676,67.44195486386272,177.74801244846728,-947.331102551636,8,49.621,-4.164148003287373
ID11,33.756755324112426,-88.69092361415592,1152.9566678792569,-969.100131614094,1201,1201,mean,47.9727798319422,-98.89300666615074,1162.001028513866,-973.2680532291146,8,49.621,14.216024507829772
ID12,96.4908142458859,18.596644551558477,1663.730877057655,-960.0902702611248,1201,1201,mean,100.51748036547465,26.872733085425246,1661.6729746173344,-958.8992214429162,8,49.621,4.026666119588754
ID13,69.45017320732723,-173.0725175925131,1072.2034742225385,-189.33984183819285,1200,1200,mean,63.508440612037745,-171.95775978978438,1078.097184995909,-197.79724754880073,8,49.621,-5.94173259528948
ID14,82.8225052415679,-169.60811681344893,1061.7513890346456,-163.2257418581054,1201,1201,mean,87.59845547466104,-159.48817482380363,1064.7217657280141,-155.63857252777626,8,49.621,4.775950233093141
ID15,72.0224974482219,-176.70891126055255,1068.4772771112364,-208.17522591847563,1201,1201,mean,76.52167822466761,-166.0135076873391,1068.5667123729766,-209.47225930225903,8,49.621,4.499180776445712
ID16,21.602477704908747,-180.12808081737458,1107.7270766307129,-170.32136773488017,1201,1201,mean,24.235489323886863,-182.5104274262339,1119.1200996120078,-161.8377870895053,8,49.621,2.6330116189781165
ID17,37.64346510027109,-153.3228337198959,196.44701057245825,-305.5175283841981,1199,1199,mean,14.553911004061602,-169.88772636139993,210.3280548904113,-318.17396737930426,8,49.621,-23.089554096209483
ID18,29.22763441318644,-314.8890551508999,223.1870865851812,-238.5031083682517,1199,1199,mean,23.97998063317882,-302.95791557706696,229.38230363072944,-227.6198543743513,8,49.621,-5.247653780007621
ID19,87.70253218277773,-197.60613154321177,124.85744233065124,-82.01577458488566,1201,1201,mean,75.03427524925124,-211.16975023344054,135.83311201738218,-100.00183853665342,8,49.621,-12.668256933526493
ID20,35.986977835660255,-59.154160042134826,174.37958448813555,-213.06634496364995,1201,1201,mean,61.71537400079037,-35.160801283157916,165.4946146959519,-200.52420929720367,8,49.621,25.728396165130114
ID21,35.05226238484205,-177.27056148714624,1601.9610398612365,-224.14011475536915,1201,1201,mean,44.684357899401824,-168.24879089469223,1590.4044230635122,-230.0885990678276,8,49.621,9.632095514559772
ID22,34.43674655900833,-214.8365560616889,1570.4669010417254,-240.58507271629816,1201,1201,mean,45.818657007317476,-222.08545927268185,1555.896874919701,-245.07697279706093,8,49.621,11.38191044830915
ID23,74.09866016175779,-187.18863300774856,1654.719700539782,-246.71074838971563,1201,1201,mean,58.00824450736752,-193.63418577969748,1641.582445096155,-238.09979616613924,8,49.621,-16.09041565439027
ID24,44.98941471744787,-220.20884460505636,1639.6898917948622,-246.3526647198468,1201,1201,mean,22.660033708222773,-212.87339630397105,1609.2437899385848,-245.86304709568734,8,49.621,-22.3293810092251
