capture,position_id,anchor_id,n_rows,first20_median_range_mm,last20_median_range_mm,last_minus_first_mm,abs_drift_mm
static_ID01_BSF66F_120s_20260528_110629,ID01,0,1201,1519.0,1515.0,-4.0,4.0
static_ID01_BSF66F_120s_20260528_110629,ID01,1,1201,1769.0,1765.0,-4.0,4.0
static_ID01_BSF66F_120s_20260528_110629,ID01,2,1201,2177.0,2169.0,-8.0,8.0
static_ID01_BSF66F_120s_20260528_110629,ID01,3,1201,2111.0,2113.0,2.0,2.0
static_ID01_BSF66F_120s_20260528_110629,ID01,4,1201,2311.0,2318.0,7.0,7.0
static_ID01_BSF66F_120s_20260528_110629,ID01,5,1201,2411.0,2406.0,-5.0,5.0
static_ID01_BSF66F_120s_20260528_110629,ID01,6,1201,2772.0,2768.0,-4.0,4.0
static_ID01_BSF66F_120s_20260528_110629,ID01,7,1201,2470.0,2470.0,0.0,0.0
static_ID02_BSF66F_120s_20260528_111027,ID02,0,1201,1875.0,1876.0,1.0,1.0
static_ID02_BSF66F_120s_20260528_111027,ID02,1,1201,1827.0,1832.0,5.0,5.0
static_ID02_BSF66F_120s_20260528_111027,ID02,2,1201,2245.0,2246.0,1.0,1.0
static_ID02_BSF66F_120s_20260528_111027,ID02,3,1201,2451.0,2450.0,-1.0,1.0
static_ID02_BSF66F_120s_20260528_111027,ID02,4,1201,1699.0,1698.0,-1.0,1.0
static_ID02_BSF66F_120s_20260528_111027,ID02,5,1201,1733.0,1732.0,-1.0,1.0
static_ID02_BSF66F_120s_20260528_111027,ID02,6,1201,2263.0,2270.0,7.0,7.0
static_ID02_BSF66F_120s_20260528_111027,ID02,7,1201,2199.0,2205.0,6.0,6.0
static_ID03_BSF66F_120s_20260528_111354,ID03,0,1201,2211.0,2209.0,-2.0,2.0
static_ID03_BSF66F_120s_20260528_111354,ID03,1,1201,2434.0,2432.0,-2.0,2.0
static_ID03_BSF66F_120s_20260528_111354,ID03,2,1201,2540.0,2545.0,5.0,5.0
static_ID03_BSF66F_120s_20260528_111354,ID03,3,1201,2977.0,2980.0,3.0,3.0
static_ID03_BSF66F_120s_20260528_111354,ID03,4,1201,1551.0,1557.0,6.0,6.0
static_ID03_BSF66F_120s_20260528_111354,ID03,5,1201,1601.0,1587.0,-14.0,14.0
static_ID03_BSF66F_120s_20260528_111354,ID03,6,1201,2239.0,2239.0,0.0,0.0
static_ID03_BSF66F_120s_20260528_111354,ID03,7,1201,2142.0,2140.0,-2.0,2.0
static_ID04_BSF66F_120s_20260528_111732,ID04,0,1201,2465.0,2465.0,0.0,0.0
static_ID04_BSF66F_120s_20260528_111732,ID04,1,1201,1334.0,1337.0,3.0,3.0
static_ID04_BSF66F_120s_20260528_111732,ID04,2,1201,1448.0,1450.0,2.0,2.0
static_ID04_BSF66F_120s_20260528_111732,ID04,3,1201,2565.0,2568.0,3.0,3.0
static_ID04_BSF66F_120s_20260528_111732,ID04,4,1201,2809.0,2811.0,2.0,2.0
static_ID04_BSF66F_120s_20260528_111732,ID04,5,1201,2274.0,2276.0,2.0,2.0
static_ID04_BSF66F_120s_20260528_111732,ID04,6,1201,2202.0,2204.0,2.0,2.0
static_ID04_BSF66F_120s_20260528_111732,ID04,7,1201,3091.0,3090.0,-1.0,1.0
static_ID05_BSF66F_120s_20260528_112057,ID05,0,1200,3071.0,3076.0,5.0,5.0
static_ID05_BSF66F_120s_20260528_112057,ID05,1,1200,1617.5,1619.5,2.0,2.0
static_ID05_BSF66F_120s_20260528_112057,ID05,2,1200,1738.0,1742.0,4.0,4.0
static_ID05_BSF66F_120s_20260528_112057,ID05,3,1200,2590.0,2588.0,-2.0,2.0
static_ID05_BSF66F_120s_20260528_112057,ID05,4,1200,2478.0,2480.5,2.5,2.5
static_ID05_BSF66F_120s_20260528_112057,ID05,5,1200,1482.5,1474.0,-8.5,8.5
static_ID05_BSF66F_120s_20260528_112057,ID05,6,1200,1586.0,1589.0,3.0,3.0
static_ID05_BSF66F_120s_20260528_112057,ID05,7,1200,2566.0,2564.0,-2.0,2.0
static_ID06_BSF66F_120s_20260528_112429,ID06,0,1201,3013.0,3022.0,9.0,9.0
static_ID06_BSF66F_120s_20260528_112429,ID06,1,1201,1993.0,1995.0,2.0,2.0
static_ID06_BSF66F_120s_20260528_112429,ID06,2,1201,2243.0,2232.0,-11.0,11.0
static_ID06_BSF66F_120s_20260528_112429,ID06,3,1201,2866.0,2869.0,3.0,3.0
static_ID06_BSF66F_120s_20260528_112429,ID06,4,1201,2496.0,2494.0,-2.0,2.0
static_ID06_BSF66F_120s_20260528_112429,ID06,5,1201,1371.0,1374.0,3.0,3.0
