FULL_V5_GPU_discovery: 49 csv, 15 png, 19 md
FULL_V5_GPU_tier1: 21 csv, 7 png, 7 md
FULL_V5_align_to_Vicon: 5 csv, 0 png, 1 md
FULL_V5_anchor_lower_trim: 14 csv, 8 png, 6 md
FULL_V5_batch3_falsification: 18 csv, 8 png, 9 md
FULL_V5_experimental_report: 18 csv, 19 png, 3 md
FULL_V5_extended_mechanism_ablations: 36 csv, 3 png, 1 md
FULL_V5_final_audit: 15 csv, 0 png, 1 md
FULL_V5_final_gate: 17 csv, 5 png, 6 md
FULL_V5_followup_validation: 15 csv, 0 png, 7 md
FULL_V5_grand_synthesis: 7 csv, 0 png, 9 md
FULL_V5_mechanism_ablations: 17 csv, 0 png, 1 md
FULL_V5_mechanistic_deepdive: 27 csv, 6 png, 11 md
FULL_V5_one_baseline_scale_correction: 4 csv, 0 png, 1 md
FULL_V5_overnight_batch2: 21 csv, 10 png, 11 md
FULL_V5_paper_strengthening: 17 csv, 10 png, 12 md
FULL_V5_phase_center_sensitivity: 15 csv, 8 png, 7 md
FULL_V5_rawframe_bruteforce: 26 csv, 5 png, 7 md
FULL_V5_rawframe_bruteforce_v2: 28 csv, 5 png, 8 md
FULL_V5_rawframe_bruteforce_v3: 27 csv, 4 png, 7 md
FULL_V5_roto_deepdive: 18 csv, 7 png, 7 md
FULL_V5_scale_to_vicon: 3 csv, 0 png, 1 md
FULL_V5_three_dimensions: 25 csv, 15 png, 1 md
