capture,rows,unique_sweeps,first_sweep,last_sweep,sweeps_with_8_anchors,sweeps_with_lt_8_anchors,median_anchors_per_sweep
static_ID01_BSF66F_120s_20260528_110629,9608,1201,2833,4033,1201,0,8.0
static_ID02_BSF66F_120s_20260528_111027,9608,1201,4061,5261,1201,0,8.0
static_ID03_BSF66F_120s_20260528_111354,9608,1201,5299,6499,1201,0,8.0
static_ID04_BSF66F_120s_20260528_111732,9608,1201,6512,7712,1201,0,8.0
static_ID05_BSF66F_120s_20260528_112057,9600,1200,7748,8947,1200,0,8.0
static_ID06_BSF66F_120s_20260528_112429,9608,1201,8979,10179,1201,0,8.0
static_ID07_BSF66F_120s_20260528_112810,9608,1201,10205,11405,1201,0,8.0
static_ID08_BSF66F_120s_20260528_113136,9608,1201,11438,12638,1201,0,8.0
static_ID09_BSF66F_120s_20260528_113816,9608,1201,12675,13875,1201,0,8.0
static_ID10_BSF66F_120s_20260528_114216,9608,1201,13907,15107,1201,0,8.0
static_ID11_BSF66F_120s_20260528_114551,9608,1201,15136,16336,1201,0,8.0
static_ID12_BSF66F_120s_20260528_115143,9608,1201,16365,17565,1201,0,8.0
static_ID13_BSF66F_120s_20260528_115704,9600,1200,17596,18795,1200,0,8.0
static_ID14_BSF66F_120s_20260528_120122,9608,1201,18820,20020,1201,0,8.0
static_ID15_BSF66F_120s_20260528_120437,9608,1201,20031,21231,1201,0,8.0
static_ID16_BSF66F_120s_20260528_120804,9608,1201,21259,22459,1201,0,8.0
static_ID17_BSF66F_120s_20260528_121200,9592,1199,22493,23691,1199,0,8.0
static_ID18_BSF66F_120s_20260528_121519,9592,1199,23730,24928,1199,0,8.0
static_ID19_BSF66F_120s_20260528_121846,9608,1201,24961,26161,1201,0,8.0
static_ID20_BSF66F_120s_20260528_122210,9608,1201,26192,27392,1201,0,8.0
static_ID21_BSF66F_120s_20260528_122611,9608,1201,27415,28615,1201,0,8.0
static_ID22_BSF66F_120s_20260528_122946,9608,1201,28650,29850,1201,0,8.0
static_ID23_BSF66F_120s_20260528_123303,9608,1201,29875,31075,1201,0,8.0
static_ID24_BSF66F_120s_20260528_123717,9608,1201,31103,32303,1201,0,8.0
