row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L13:I1+I3+I7:T6,simulate_imu_prior,0.6441925369872479,,,,
R2:L13:I1+I3+I7:T6,cpu_golden,21.84345610800665,,,,
R2:L13:I1+I3+I7:T6,torch_gpu,2.568237544997828,0,1,2.568237544997828,2.568237544997828
R2:L13:I1+I3+I7:T8,simulate_imu_prior,0.6620919900014997,,,,
R2:L13:I1+I3+I7:T8,cpu_golden,21.076202734999242,,,,
R2:L13:I1+I3+I7:T8,torch_gpu,2.2405604380037403,0,1,2.2405604380037403,2.2405604380037403
R2:L13:I1+I2+I3+I8:T6,simulate_imu_prior,0.5815107420057757,,,,
R2:L13:I1+I2+I3+I8:T6,cpu_golden,20.044095546007156,,,,
R2:L13:I1+I2+I3+I8:T6,torch_gpu,2.1450801140017575,0,1,2.1450801140017575,2.1450801140017575
R2:L13:I1+I2+I3+I8:T8,simulate_imu_prior,0.6323332120082341,,,,
R2:L13:I1+I2+I3+I8:T8,cpu_golden,20.18214626000554,,,,
R2:L13:I1+I2+I3+I8:T8,torch_gpu,2.344526439992478,0,1,2.344526439992478,2.344526439992478
