mode,status,position_rms_m,position_p95_m,published_rms_m,candidate_rms_m,candidate_p95_m,velocity_rms_mps,velocity_p95_mps,stationary_fraction
B0,CANONICAL_T4,0.0794842445738,0.152049796324,,,,,,
S1,HISTORICAL_COMPARISON,0.0428266825487,0.106383067774,,,,0.00109286664872,0.00239936057212,0.9982
S2P,PASS,0.0,0.0,0.0,0.0471808908812,0.107855282638,0.0,0.0,0.9982
S2R,PASS,0.0,0.0,0.0,0.0471808908812,0.107855282638,0.0,0.0,0.9982
