sweep,peer_name,plan,pmode,quality_flag_percent,targets,statuses,qualities
31630,BSF66F,cal_static,4,3,"A,B,C,D","timeout,timeout,timeout,timeout","3,3,3,3"
7802,BS2DCE,cal_roto,5,3,"D,B,E,G","timeout,timeout,timeout,timeout","3,3,3,3"
7801,BSDC91,cal_roto,5,4,"B,D,E,G","timeout,timeout,timeout,timeout","5,5,3,3"
7802,BS2DCE,cal_roto,5,3,"D,B,E,G","timeout,timeout,timeout,timeout","3,3,3,3"
31630,BSF66F,cal_static,4,3,"A,B,C,D","timeout,timeout,timeout,timeout","3,3,3,3"
31630,BSF66F,cal_static,4,3,"A,B,C,D","timeout,timeout,timeout,timeout","3,3,3,3"
7801,BSDC91,cal_roto,5,4,"B,D,E,G","timeout,timeout,timeout,timeout","5,5,3,3"
7802,BS2DCE,cal_roto,5,3,"D,B,E,G","timeout,timeout,timeout,timeout","3,3,3,3"
31639,BSF66F,cal_static,4,0,"A,B,C,D","pending,pending,pending,pending","0,0,0,0"
