anchor_source,coordinate_frame,alignment_dof,alignment_note,delay_mode,delay_note,tag_method,eval_set,ID,capture,location,height,facing,tag_truth_source,tag_truth_corrected,tag_truth_permutation,tag_truth_shift_from_motive_mm,point_estimator,frames_input,frames_solved,solve_fraction,status,x_mm,y_mm,z_mm,mean_x_mm,mean_y_mm,mean_z_mm,median_x_mm,median_y_mm,median_z_mm,x_std_mm,y_std_mm,z_std_mm,d3_std_mm,radial_p50_mm,radial_p95_mm,anchors_used_median,anchors_input_median,pct_solved_ge7,pct_solved_ge8,residual_rms_median_mm,residual_rms_p95_mm,rejected_frames,rejected_anchor_counts,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,anchor_delay_A_mm,anchor_delay_B_mm,anchor_delay_C_mm,anchor_delay_D_mm,anchor_delay_E_mm,anchor_delay_F_mm,anchor_delay_G_mm,anchor_delay_H_mm,tag_delay_mm,source_tr_all
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,reconstructed_from_relabelled_balls,True,"0,1,4,2,3",54.12208743140742,median,1201,1201,1.0,ok,-474.7709293923873,-154.59429314347716,-368.13950626867756,-479.35376841162366,-157.9861402036992,-368.28629706592574,-474.7709293923873,-154.59429314347716,-368.13950626867756,46.827670444538164,36.69748765469771,26.19975867361604,65.25712422011111,42.61285484592364,138.20779758372882,8.0,8.0,99.75020815986679,91.75686927560366,103.60885696749499,164.41287627481705,0,{},-474.7709293923873,-154.59429314347716,-368.13950626867756,-542.215344349341,182.54280058407934,-383.3240609304319,67.44441495695366,-337.1370937275565,15.184554661754362,69.13262478136905,337.1370937275565,344.15220437507696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-590.2898549903898,1340.9642706528673,-197.46559842891494,-591.8046971441083,1332.8262512859235,-202.22797225764748,-590.2898549903898,1340.9642706528673,-197.46559842891494,35.01196638650043,54.1463784872306,32.90721421000666,73.0188684590987,43.23976159124348,125.44447358582724,8.0,8.0,99.91673605328893,95.67027477102414,132.63083078366657,217.09190038845475,0,{},-590.2898549903898,1340.9642706528673,-197.46559842891494,-543.22998,1105.589,-259.92136,-47.05987499038986,235.37527065286736,62.45576157108505,78.20072881716222,235.37527065286736,248.0259503004593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-621.3726759994429,2125.198647910321,-273.5751664585534,-618.257216760929,2121.6337668729,-277.6050703525146,-621.3726759994429,2125.198647910321,-273.5751664585534,40.775717501433434,45.133779876986395,31.514696963829017,68.78624816731399,46.473802534741736,132.1625215572396,8.0,8.0,100.0,92.2564529558701,136.31183044653753,202.64334013938014,0,{},-621.3726759994429,2125.198647910321,-273.5751664585534,-554.00287,1625.5614500000001,-256.2951,-67.36980599944286,499.637197910321,-17.280066458553392,69.55063951693464,499.637197910321,504.4547759640024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-228.9437061508164,-262.8719658007467,556.5811070075619,-232.764929478922,-261.9378070597239,556.8015529976187,-228.9437061508164,-262.8719658007467,556.5811070075619,30.427700463874586,41.3868182080522,28.856270407787953,59.05015677764313,40.87263605314551,124.26723695667506,8.0,8.0,100.0,93.83846794338052,110.50499396673803,136.8639713229244,0,{},-228.9437061508164,-262.8719658007467,556.5811070075619,-321.178815,182.16379,479.93381999999997,92.23510884918358,-445.0357558007467,76.64728700756189,119.92548482303629,445.0357558007467,460.9109955850285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,reconstructed_from_relabelled_balls,True,"3,4,2,0,1",2.0942332073721013,median,1200,1200,1.0,ok,-216.00633280971178,1351.6767672223768,563.4596058092764,-210.5885808103488,1291.6360668266905,551.4230646061827,-216.00633280971178,1351.6767672223768,563.4596058092764,88.89673647208322,202.2344468109361,68.80727235288924,239.40542605760209,45.69652282742601,760.8007391963329,8.0,8.0,99.75,91.5,216.65392187577083,366.5635293136883,0,{},-216.00633280971178,1351.6767672223768,563.4596058092764,-184.9818897969324,1103.5866165595767,473.70402893394925,-31.024443012779386,248.09015066280017,89.75557687532711,94.96620264323488,248.09015066280017,265.64506865433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-232.9426724309291,2033.6843471146312,503.80082101733916,-228.45539465638393,2033.1624012024326,505.1771093920338,-232.9426724309291,2033.6843471146312,503.80082101733916,46.15394398788229,38.473260194488006,31.32335703158358,67.92520335198796,46.661704773733774,141.29844643755106,8.0,8.0,99.83347210657784,92.83930058284763,113.79998480150431,200.48430813781658,0,{},-232.9426724309291,2033.6843471146312,503.80082101733916,-193.231255,1684.95255,476.52297999999996,-39.71141743092909,348.73179711463126,27.2778410173392,48.17755997288293,348.73179711463126,352.0439512386786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,359.3892435135994,-178.0895938847532,128.58184500279836,363.28209486722596,-164.3603504630896,130.23174711250363,359.3892435135994,-178.0895938847532,128.58184500279836,28.972050974306555,62.89034861243111,22.388826686415804,74.17684167049467,41.49026575780138,155.2939798478756,8.0,8.0,100.0,90.84096586178185,85.84279480432986,177.84644263636292,0,{},359.3892435135994,-178.0895938847532,128.58184500279836,352.14755,211.565355,53.795866000000004,7.241693513599387,-389.65494888475325,74.78597900279836,75.13577563552468,389.65494888475325,396.83291694456443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,573.2620442488292,1370.7889613765362,-60.58857470666568,576.0514088807209,1367.689811740454,-60.53532362072494,573.2620442488292,1370.7889613765362,-60.58857470666568,45.512030851127484,48.54187323785955,42.027071768746914,78.8119362170759,60.894184367991784,135.35599161031345,8.0,8.0,100.0,90.25811823480433,158.40820653653932,200.27842119823546,0,{},573.2620442488292,1370.7889613765362,-60.58857470666568,391.90054,1132.2804,-71.53192899999999,181.3615042488292,238.50856137653614,10.943354293334309,181.69136530552993,238.50856137653614,299.83009534816955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,413.33316819801485,1881.449427132089,-6.484963725360487,413.26046239756135,1875.5257935588008,-12.841777539433549,413.33316819801485,1881.449427132089,-6.484963725360487,47.84344743600685,73.90915962687754,50.45704007023373,101.84780819768869,53.17890103139633,139.32940459744884,8.0,8.0,99.91673605328893,93.42214820982515,136.1334336290558,255.63300056406072,0,{},413.33316819801485,1881.449427132089,-6.484963725360487,408.80994,1568.1853500000002,-62.425788499999996,4.523228198014863,313.2640771320889,55.94082477463951,56.12339503093374,313.2640771320889,318.25181459218356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,114.20711914426849,-33.61892301628767,-1054.1048259496167,109.61270673903223,-32.0836525015626,-1057.9637217566858,114.20711914426849,-33.61892301628767,-1054.1048259496167,39.67805472149284,41.794322907238296,33.32187315138867,66.85669332105881,45.86556983481491,137.61095677971863,8.0,8.0,99.91673605328893,90.75770191507078,116.69713717236677,154.16683672773553,0,{},114.20711914426849,-33.61892301628767,-1054.1048259496167,65.499245,238.64973,-938.19342,48.70787414426849,-272.26865301628766,-115.91140594961678,125.72951536083625,272.26865301628766,299.8968663527086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID11,static_ID11_BSF66F_120s_20260528_114551,edge,mid,ADHE,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-100.85897653673807,1454.0091496704881,-1061.5731349941304,-100.35300789339053,1451.9730463992566,-1062.6952911550152,-100.85897653673807,1454.0091496704881,-1061.5731349941304,30.915290709878125,50.713204153088604,21.042758137171454,63.05587126047184,32.35215095496214,72.10663833120329,8.0,8.0,100.0,91.84013322231473,159.86120639327905,244.59384224163006,0,{},-100.85897653673807,1454.0091496704881,-1061.5731349941304,-63.9057945,1133.4998500000002,-956.9902950000001,-36.95318203673807,320.50929967048796,-104.58283999413038,110.91937650328809,320.50929967048796,339.15972529052567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID11_BSF66F_120s_20260528_114551/tag_capture_20260528_114551/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID12,static_ID12_BSF66F_120s_20260528_115143,edge,high,ADHE,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,37.989052040643514,1919.5060429262717,-1047.0641367297735,38.597750457496005,1920.0887078416513,-1045.6466086175526,37.989052040643514,1919.5060429262717,-1047.0641367297735,29.70149859496517,22.202963016750072,32.27111516952817,49.18632795716783,37.701250525765545,91.64394108038185,8.0,8.0,100.0,91.3405495420483,98.0317601905361,182.2443293409305,0,{},37.989052040643514,1919.5060429262717,-1047.0641367297735,-43.6886845,1590.1300500000002,-956.35754,81.67773654064351,329.37599292627146,-90.70659672977354,122.06121143385616,329.37599292627146,351.26554635043243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID12_BSF66F_120s_20260528_115143/tag_capture_20260528_115143/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID13,static_ID13_BSF66F_120s_20260528_115704,center,mid,ABEF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1200,1200,1.0,ok,-139.15420594629092,1280.6501844050767,-202.78429502996886,-133.05671065745258,1164.6732340513602,-206.23529401288005,-139.15420594629092,1280.6501844050767,-202.78429502996886,41.28672004856588,235.331402797977,67.05389344108517,274.00990653070676,144.7053011835739,518.1291031175358,8.0,8.0,99.83333333333333,91.66666666666666,154.59366648697693,258.63159329120185,0,{},-139.15420594629092,1280.6501844050767,-202.78429502996886,-189.628155,1139.0976,-197.96616,50.47394905370908,141.5525844050767,-4.8181350299688575,50.70339197966377,141.5525844050767,150.35946298786715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID13_BSF66F_120s_20260528_115704/tag_capture_20260528_115704/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID14,static_ID14_BSF66F_120s_20260528_120122,center,mid,BCGF,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-175.81937827191155,1102.6563106926624,-260.9053602367805,-179.1058190158285,1107.0157247478828,-253.4014685836746,-175.81937827191155,1102.6563106926624,-260.9053602367805,43.71276292908188,121.35080338757561,48.49504154589209,138.1112079226434,93.6423119442391,284.485912068254,8.0,8.0,99.91673605328893,91.9233971690258,157.54784237174925,234.0915015758397,0,{},-175.81937827191155,1102.6563106926624,-260.9053602367805,-198.69532,1132.6278,-194.690585,22.875941728088463,-29.971489307337606,-66.2147752367805,70.05501530657358,29.971489307337606,76.1970822335351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID14_BSF66F_120s_20260528_120122/tag_capture_20260528_120122/tr_all.csv
OptiTrack truth anchors,OptiTrack,0,direct OptiTrack-frame solve; no Kabsch/reflection/scale,raw_zero_delay,zero delays,T4,all8,ID15,static_ID15_BSF66F_120s_20260528_120437,center,mid,CDHG,motive_iantenna,False,"0,1,2,3,4",0.0,median,1201,1201,1.0,ok,-133.08053551050511,1181.7257297523875,-264.87332792407335,-135.14694813989678,1162.5250772545871,-255.25609012748194,-133.08053551050511,1181.7257297523875,-264.87332792407335,34.190682527891255,142.34787468045067,49.200527837685094,155.94242051989428,130.93968153354044,265.8770139785244,8.0,8.0,99.91673605328893,95.58701082431307,153.70546563529504,247.72288119050202,0,{},-133.08053551050511,1181.7257297523875,-264.87332792407335,-200.165335,1132.2551,-184.312585,67.08479948949488,49.47062975238737,-80.56074292407334,104.83512590264947,49.47062975238737,115.92129584818382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID15_BSF66F_120s_20260528_120437/tag_capture_20260528_120437/tr_all.csv
