version,eval_set,n_anchors,layout_sha256,shape_rms_mm,proper_rotation_rms_3d_mm,proper_rotation_det,reflection_allowed_rms_3d_mm,reflection_allowed_horizontal_rms_mm,reflection_allowed_vertical_rms_mm,reflection_allowed_det,similarity_scale,similarity_rms_3d_mm,similarity_diagnostic_only
v1-old,all8,8,52aad127f1ef6a71,140.63734061089306,1425.494700137391,1.0000000000000013,101.27420364979389,93.81663143384434,38.14320373678825,-1.0000000000000013,0.9549735987772424,50.06554740371965,True
v2,all8,8,4e498b3941d43fec,192.03159280262284,1476.7657972299253,0.9999999999999999,136.45445890161056,109.01547390580377,82.06976180801517,-0.9999999999999999,0.9384686781209736,60.31811978232067,True
v3-full,all8,8,332ab5b8fee90939,151.6226375352381,1418.3826624287613,1.0000000000000013,143.44671872661849,127.45478327958912,65.81974880373342,-1.0000000000000013,0.9638652944615093,125.28325436315949,True
v3-lite,all8,8,742d7980534f0cd8,191.96997038195465,1477.2301454987366,1.0000000000000016,136.60069612738366,108.81021882957893,82.58381476260921,-1.000000000000001,0.9385188444188903,60.86467317763309,True
v4-io,all8,8,4ef298693e15fc4c,136.3068174543411,1454.476281126782,1.0000000000000013,105.41990950811795,86.8417092338188,59.765164251833596,-1.0000000000000009,0.9582672713308588,67.12130071807093,True
