method,tag_method,layout,keep_k,repeats,elapsed_s,repeat_batch,captures_ok,solved_total,x_std_mm_median,y_std_mm_median,z_std_mm_median,d3_std_mm_median,d3_std_mm_p95,residual_rms_median_mm,residual_rms_p95_mm,kind,source_csv,roto_tracks_ok,turn_center_rms_3d_mm_median,turn_center_p95_3d_mm_median,circle_thickness_rms_mm_median,radius_mm_median,turn_count_median
T1_CUDA_REPLAY,T1,v1-old,8,1,16.791017994008143,1000,24.0,26564.0,22.61527633666992,25.569157600402832,44.864362716674805,61.18865013122559,87.59562950134277,88.47488021850586,176.15645141601556,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/static/static_keepk_summary.csv,,,,,,
T1_CUDA_REPLAY,T1,v1-old,7,5000,132.4493514779897,1000,24.0,28818.0,35.575926780700684,45.99232864379883,80.35904312133789,105.78878974914552,161.0312969207763,85.66608428955078,166.0841407775879,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/static/static_keepk_summary.csv,,,,,,
T1_CUDA_REPLAY,T1,v1-old,6,5000,91.810509309973,1000,24.0,28818.0,52.727234840393066,69.24219703674316,107.77238845825195,138.31974411010742,213.53416900634767,77.6812515258789,149.65299606323242,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/static/static_keepk_summary.csv,,,,,,
T1_CUDA_REPLAY,T1,v1-old,5,5000,90.1374706310162,1000,24.0,28818.0,75.02196884155273,95.75741958618164,136.69039916992188,182.04706573486328,286.0189445495605,64.9879903793335,139.30222282409667,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/static/static_keepk_summary.csv,,,,,,
T1_CUDA_REPLAY,T1,v1-old,4,5000,89.16175720801402,1000,24.0,28818.0,104.63447189331056,132.33993911743164,187.94821166992188,249.9656105041504,389.644930267334,38.53818416595459,127.11184692382812,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/static/static_keepk_summary.csv,,,,,,
T1_CUDA_REPLAY,T1,v1-old,8,1,5.164267274987651,1000,,38457.0,,,,,,,,roto,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_summary.csv,34.0,14.625223056214915,25.127666719553623,90.3661003085825,602.4320592656711,23.0
T1_CUDA_REPLAY,T1,v1-old,7,5000,118.5002929219918,1000,,40811.0,,,,,,,,roto,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_summary.csv,34.0,24.50298202312017,40.92214670890027,122.71980061868216,603.3396853430195,23.0
T1_CUDA_REPLAY,T1,v1-old,6,5000,118.5208881120052,1000,,40811.0,,,,,,,,roto,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_summary.csv,34.0,36.4461392695916,60.596674279957455,156.9004158671019,607.260705184664,23.0
T1_CUDA_REPLAY,T1,v1-old,5,5000,118.66086489299778,1000,,40811.0,,,,,,,,roto,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_summary.csv,34.0,50.79775464631229,85.17158289441036,197.41137136417208,616.4680439336885,23.0
T1_CUDA_REPLAY,T1,v1-old,4,5000,118.52402234601324,1000,,40811.0,,,,,,,,roto,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T1/roto/roto_keepk_summary.csv,34.0,81.12183351027288,137.32998043003542,259.01979146801045,638.7477017372256,23.0
T2_CUDA_REPLAY,T2,v1-old,8,1,5.25468430199544,1000,24.0,26564.0,22.81642436981201,25.73194980621338,44.51589012145996,61.02498435974121,89.23925590515135,88.55412483215332,177.67292404174782,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T2/static/static_keepk_summary.csv,,,,,,
T2_CUDA_REPLAY,T2,v1-old,7,5000,89.81434699198871,1000,24.0,28818.0,35.855186462402344,46.03977394104004,80.61659049987793,106.23137092590332,161.02165679931636,85.66625308990479,166.61870193481445,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T2/static/static_keepk_summary.csv,,,,,,
T2_CUDA_REPLAY,T2,v1-old,6,5000,90.21471631298482,1000,24.0,28818.0,52.66659450531006,69.29145431518555,107.39181900024414,138.08977508544922,213.6890472412109,77.72466850280762,149.72046661376953,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T2/static/static_keepk_summary.csv,,,,,,
T2_CUDA_REPLAY,T2,v1-old,5,5000,90.52605326399498,1000,24.0,28818.0,74.8878345489502,95.60809707641602,136.31364822387695,181.88861846923828,285.05639572143554,64.9765977859497,139.3707607269287,static,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/Monte-Carlo-Simulation/v1-old/T2/static/static_keepk_summary.csv,,,,,,
