mask,facing,height,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median
all8,ABEF,high,2,0.7438976466655731,0.7796447604894639,1.1152216792106628,106.63362100495875,91.7985012489592
all8,ABEF,low,2,0.7528983652591705,0.7709346920251846,1.115598976612091,113.40754186680162,92.12530703146321
all8,ABEF,mid,2,0.9062274098396301,0.9070154964923859,1.1999401450157166,115.40944847510812,93.6684707188454
all8,ADHE,high,2,0.7850055694580078,0.7980647087097168,1.1250595450401306,104.66248926254788,91.96502914238135
all8,ADHE,low,2,0.741774320602417,0.7540349125862121,1.1042660474777222,137.55633401300634,91.09075770191507
all8,ADHE,mid,2,0.8795439004898071,0.9004629850387573,1.176977276802063,77.7054933473849,90.7993338884263
all8,BCGF,high,2,0.7718456983566284,0.8093397617340088,1.1188451051712036,109.62870113291399,92.75603663613657
all8,BCGF,low,2,0.729165643453598,0.7698152452707291,1.1022953987121582,91.98003244102073,93.37461345459269
all8,BCGF,mid,2,0.8785611987113953,0.9041271030902862,1.1765613555908203,82.58665185358097,91.7116985845129
all8,CDHG,high,2,0.7948657870292664,0.8183284103870392,1.1373473405838013,115.29532142575104,93.58867610324731
all8,CDHG,low,2,0.7409940958023071,0.7431488752365112,1.111361801624298,179.82700603813663,90.3413821815154
all8,CDHG,mid,2,0.9012159407138824,0.9072056621313095,1.1972628235816956,120.72604325592548,92.9225645295587
