version,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,pct_solved_ge8_median,median_scale_bias_expected_mm
v1-old,T1,all8,24,28818,28818,157.9065382482608,230.8785201087489,327.7662049924318,193.3283236438886,53.87237906385748,140.5053761659069,63.037464879098266,117.50529380764591,88.65564042376843,91.88176519567027,33.48695799419664
v1-old,T2,all8,24,28818,28818,157.54042823595933,230.52514108569284,327.6599839402525,193.20069652430666,53.68629349928473,140.80981836076694,62.85817666612623,118.4857736049253,88.67017000425598,91.88176519567027,33.48695799419664
v1-old,T3,all8,24,28818,28818,121.62909508848004,188.4760232351312,318.7330831661761,168.69728612243895,55.54658864814977,96.51172187687064,64.45682832770855,115.05873572875397,92.88965388054051,91.88176519567027,33.48695799419664
v1-old,T4,all8,24,28818,28818,132.94628338061534,193.19205294154324,236.76504127370683,160.24748573165138,49.94624622874579,120.81352007782996,68.00019629367785,124.94892715785556,89.47006206162368,91.88176519567027,33.48695799419664
v2,T1,all8,24,28818,28818,81.58399405513643,143.93483914700406,247.48140660665908,134.68235133117662,43.45284868152223,74.04672919472546,61.88953842442238,112.86189478598925,86.1888769600641,91.88176519567027,45.76196931432573
v2,T2,all8,24,28818,28818,81.16658813937607,142.3723324028899,246.42223869878816,134.32992100711792,44.386719025784735,73.34951099521425,61.77174039600267,113.30662243833542,86.17937672196726,91.88176519567027,45.76196931432573
v2,T3,all8,24,28818,28818,73.99061023337329,110.24065705012302,205.32257463017135,106.16767673311105,48.967065575875196,60.058804135561445,63.25918576507351,108.63894686531556,87.46925845396942,91.88176519567027,45.76196931432573
v2,T4,all8,24,28818,28818,76.54077562798277,120.0783667785512,168.21967577495647,104.90767433894406,42.62408228404168,66.02032165843468,62.73922750446413,115.80100050069376,86.73068579015987,91.88176519567027,45.76196931432573
v3-lite,T1,all8,24,28818,28818,82.26570091482928,144.08489744825695,247.94241515020016,134.86221962279532,43.768029812877806,74.62678491556471,62.09870861840126,113.21491896636475,86.0651864856452,91.88176519567027,45.724659721166105
v3-lite,T2,all8,24,28818,28818,81.99451069228374,142.79484000700086,247.0174271565729,134.53135386762244,44.70361654818319,74.0708769506432,61.987853201847315,113.36720058737123,86.08062218037091,91.88176519567027,45.724659721166105
v3-lite,T3,all8,24,28818,28818,74.66058637553428,110.55395848496791,205.25335995326816,106.20174183230252,49.179717793844304,64.0583758855181,63.146798924587955,108.79661971860031,87.44535939984192,91.88176519567027,45.724659721166105
v3-lite,T4,all8,24,28818,28818,77.13112031177349,119.8843117277874,168.12398783743424,104.92192198597202,43.2331362649018,66.47309648010639,62.69909376366209,116.07497312910638,86.71866977698079,91.88176519567027,45.724659721166105
v3-full,T1,all8,24,28818,28818,116.22856150375847,174.22094285474324,291.56861732524527,160.23648404982853,48.79371675337597,109.67715565513456,64.49394894570466,116.35738815531042,92.3134415353276,91.88176519567027,26.874041309979624
v3-full,T2,all8,24,28818,28818,116.82194649622153,173.9138275374277,291.6223136828984,159.8156859424805,47.49406436336284,110.00397793429084,65.34747323398756,117.91185306516488,91.94620975964995,91.88176519567027,26.874041309979624
v3-full,T3,all8,24,28818,28818,89.77745368040543,147.49732876070698,250.33218216647103,129.36107220657058,46.22441284073341,70.37143265276075,56.171709308240395,99.21996815958678,95.07043926596731,91.88176519567027,26.874041309979624
v3-full,T4,all8,24,28818,28818,98.24510598090659,152.14372207214916,237.02330033420088,132.87371797039862,40.81952373833058,89.4201305547787,61.549326097345514,120.34519050965525,91.68198605583908,91.88176519567027,26.874041309979624
v4-io,T1,all8,24,28818,28818,70.77883673503024,146.30229519452047,283.6781819641526,139.32040900394446,42.738240532284365,63.96718135242941,58.642925839111115,105.71174741554805,80.60602578271512,91.88176519567027,31.037393484167744
v4-io,T2,all8,24,28818,28818,71.05770490749634,146.26452666846052,282.8740609658572,139.02199879168978,42.8067308369082,63.94624139582152,58.932548549420076,106.37996232697304,80.56301364137059,91.88176519567027,31.037393484167744
v4-io,T3,all8,24,28818,28818,69.1556210729911,118.24747631516799,172.98762439595595,106.61316163322414,45.510369542781035,47.763364583670395,58.73631247742905,102.0387972848806,82.24662816266243,91.88176519567027,31.037393484167744
v4-io,T4,all8,24,28818,28818,69.69166345867296,132.23926600017904,173.9256534240159,108.90907731948187,37.50063334887877,59.97803987923339,67.43706618523899,120.56527240039956,79.59724289805993,91.88176519567027,31.037393484167744
