ID,comparison_group,anchor,median_raw_range_mm,distance_solved_to_anchor_mm,distance_truth_to_anchor_mm,residual_vs_solved_mm,residual_vs_truth_mm,autopos_effective_delay_mm,delaycal_endpoint_delay_mm,production_err_3d_mm,location,height,facing,residual_vs_solved_centered_mm,residual_vs_truth_centered_mm
ID01,worst,A,1514.0,1383.9540746668752,1351.8943525785053,130.04592533312484,162.10564742149472,0.0,148.39313595124503,143.1958137946358,edge,low,ABEF,19.52232946828815,1.2227957328550474
ID01,worst,B,1768.0,1665.2192811755156,1615.2379476839153,102.78071882448444,152.7620523160847,37.127097197321255,96.4405030150194,143.1958137946358,edge,low,ABEF,-7.742877040352255,-8.120799372554984
ID01,worst,C,2177.0,2075.605613112966,2105.715324080293,101.39438688703422,71.28467591970684,59.99999999999338,127.20252822895591,143.1958137946358,edge,low,ABEF,-9.129208977802477,-89.59817576893283
ID01,worst,D,2111.0,1885.5387705326277,1935.128088300351,225.46122946737228,175.871911699649,59.999999999999986,114.72759806555277,143.1958137946358,edge,low,ABEF,114.93763360253558,14.989060011009315
ID01,worst,E,2314.0,2106.2926515985914,1994.5883920778015,207.70734840140858,319.4116079221985,31.143226774707873,49.200731188950904,143.1958137946358,edge,low,ABEF,97.18375253657189,158.52875623355885
ID01,worst,F,2407.5,2329.5782108465437,2216.617991636123,77.9217891534563,190.88200836387705,27.042519801587616,50.54069927422832,143.1958137946358,edge,low,ABEF,-32.60180671138039,29.999156675237373
ID01,worst,G,2769.0,2650.733527094811,2609.3399440442154,118.26647290518895,159.66005595578463,27.558723285689375,85.86587870347041,143.1958137946358,edge,low,ABEF,7.742877040352255,-1.2227957328550474
ID01,worst,H,2472.0,2469.4957421072054,2434.7143529599857,2.5042578927946124,37.28564704001428,32.41907674793188,85.49194777285027,143.1958137946358,edge,low,ABEF,-108.01933797204208,-123.5972046486254
ID03,worst,A,2209.0,2264.396068019446,2009.7778996477477,-55.39606801944592,199.22210035225226,0.0,148.39313595124503,359.61906242977136,edge,high,ABEF,-114.28524987864148,78.40835966102543
ID03,worst,B,2435.0,2271.23973545406,2019.1521853493364,163.76026454594012,415.8478146506636,37.127097197321255,96.4405030150194,359.61906242977136,edge,high,ABEF,104.87108268674456,295.0340739594368
ID03,worst,C,2544.0,2692.975117973185,2459.6068016025747,-148.9751179731852,84.3931983974253,59.99999999999338,127.20252822895591,359.61906242977136,edge,high,ABEF,-207.86429983238077,-36.42054229380153
ID03,worst,D,2978.0,2675.700077023357,2445.3468394693987,302.29992297664285,532.6531605306013,59.999999999999986,114.72759806555277,359.61906242977136,edge,high,ABEF,243.4107411174473,411.8394198393745
ID03,worst,E,1555.0,1488.9431744748822,1461.9527865558496,66.0568255251178,93.04721344415043,31.143226774707873,49.200731188950904,359.61906242977136,edge,high,ABEF,7.167643665922242,-27.766527247076397
ID03,worst,F,1594.0,1561.9704716779693,1534.2191794017795,32.02952832203073,59.780820598220544,27.042519801587616,50.54069927422832,359.61906242977136,edge,high,ABEF,-26.85965353716483,-61.03292009300628
ID03,worst,G,2240.0,2140.5679468729627,2093.3708262133814,99.4320531270373,146.6291737866186,27.558723285689375,85.86587870347041,359.61906242977136,edge,high,ABEF,40.54287126784175,25.815433095391768
ID03,worst,H,2140.0,2088.2784618067267,2045.001692404165,51.72153819327332,94.99830759583506,32.41907674793188,85.49194777285027,359.61906242977136,edge,high,ABEF,-7.167643665922242,-25.815433095391768
ID04,worst,A,2464.0,2296.0169340163357,2235.969101074694,167.98306598366435,228.0308989253058,0.0,148.39313595124503,298.79711325852645,edge,low,BCGF,55.82835293168398,34.47824952304393
ID04,worst,B,1336.0,1257.7998293523826,1143.7421195975337,78.20017064761737,192.2578804024663,37.127097197321255,96.4405030150194,298.79711325852645,edge,low,BCGF,-33.954542404362996,-1.294768999795565
ID04,worst,C,1450.0,1349.1758232201503,1374.0713468273289,100.82417677984972,75.92865317267115,59.99999999999338,127.20252822895591,298.79711325852645,edge,low,BCGF,-11.330536272130644,-117.62399622959072
ID04,worst,D,2568.0,2363.7856090878126,2373.1525815979426,204.21439091218735,194.84741840205743,59.999999999999986,114.72759806555277,298.79711325852645,edge,low,BCGF,92.05967786020699,1.294768999795565
ID04,worst,E,2810.0,2866.5614584909345,2668.3898756707526,-56.561458490934456,141.61012432924736,31.143226774707873,49.200731188950904,298.79711325852645,edge,low,BCGF,-168.71617154291482,-51.94252507301451
ID04,worst,F,2276.0,2131.4457511687615,1863.1623005741753,144.5542488312385,412.83769942582467,27.042519801587616,50.54069927422832,298.79711325852645,edge,low,BCGF,32.399535779258144,219.2850500235628
ID04,worst,G,2205.0,2226.5167862344933,2056.1465709417766,-21.51678623449334,148.85342905822336,27.558723285689375,85.86587870347041,298.79711325852645,edge,low,BCGF,-133.6714992864737,-44.69922034403851
ID04,worst,H,3093.0,2969.514750675889,2836.673086519975,123.48524932411101,256.3269134800248,32.41907674793188,85.49194777285027,298.79711325852645,edge,low,BCGF,11.330536272130644,62.77426407776295
ID06,worst,A,3018.5,2802.1490897755425,2693.333428341823,216.3509102244575,325.16657165817696,0.0,148.39313595124503,174.18148716637876,edge,high,BCGF,71.90006905165615,149.34845615318625
ID06,worst,B,1996.0,2025.6461180826361,1891.394874748957,-29.64611808263612,104.60512525104309,37.127097197321255,96.4405030150194,174.18148716637876,edge,high,BCGF,-174.09695925543747,-71.21299025394762
ID06,worst,C,2239.0,2061.140768208786,1935.6119834086564,177.85923179121392,303.38801659134356,59.99999999999338,127.20252822895591,174.18148716637876,edge,high,BCGF,33.40839061841257,127.56990108635284
ID06,worst,D,2869.0,2813.728632131895,2712.517366495817,55.27136786810479,156.482633504183,59.999999999999986,114.72759806555277,174.18148716637876,edge,high,BCGF,-89.17947330469656,-19.3354820008077
ID06,worst,E,2493.0,2303.385875770648,2278.764127196382,189.614124229352,214.2358728036179,31.143226774707873,49.200731188950904,174.18148716637876,edge,high,BCGF,45.163283056550654,38.41775729862718
ID06,worst,F,1373.0,1261.9575494456112,1245.6083815026595,111.04245055438878,127.39161849734046,27.042519801587616,50.54069927422832,174.18148716637876,edge,high,BCGF,-33.40839061841257,-48.426497007650255
ID06,worst,G,1553.0,1362.8129846347135,1357.8464024942016,190.18701536528647,195.15359750579842,27.558723285689375,85.86587870347041,174.18148716637876,edge,high,BCGF,45.73617419248512,19.3354820008077
ID06,worst,H,2469.0,2385.585008629991,2368.5026200251004,83.41499137000892,100.49737997489956,32.41907674793188,85.49194777285027,174.18148716637876,edge,high,BCGF,-61.03584980279243,-75.32073553009116
ID16,clean_reference,A,2145.0,1915.683479787082,1903.754301623018,229.31652021291802,241.2456983769821,0.0,148.39313595124503,12.866880185809164,center,mid,ADHE,82.74262985476253,102.08246991830606
ID16,clean_reference,B,1972.0,1866.470951713418,1868.5660235466719,105.52904828658211,103.43397645332811,37.127097197321255,96.4405030150194,12.866880185809164,center,mid,ADHE,-41.044842071573385,-35.72925200534792
ID16,clean_reference,C,2094.0,1942.1677046723769,1946.4995863574259,151.83229532762311,147.50041364257413,59.99999999999338,127.20252822895591,12.866880185809164,center,mid,ADHE,5.25840496946762,8.3371851838981
ID16,clean_reference,D,2163.0,1993.2335377980917,1984.3308802147606,169.76646220190833,178.66911978523945,59.999999999999986,114.72759806555277,12.866880185809164,center,mid,ADHE,23.19257184375283,39.505891326563415
ID16,clean_reference,E,1877.0,1794.428413087382,1787.960517621084,82.57158691261793,89.03948237891609,31.143226774707873,49.200731188950904,12.866880185809164,center,mid,ADHE,-64.00230344553756,-50.12374607975994
ID16,clean_reference,F,1950.0,1758.1333008596177,1766.9400061988556,191.86669914038225,183.0599938011444,27.042519801587616,50.54069927422832,12.866880185809164,center,mid,ADHE,45.29280878222676,43.89676534246837
ID16,clean_reference,G,1989.0,1847.6845146113121,1858.173956725222,141.31548538868788,130.82604327477793,27.558723285689375,85.86587870347041,12.866880185809164,center,mid,ADHE,-5.25840496946762,-8.3371851838981
ID16,clean_reference,H,2011.0,1900.6937902732436,1896.389562625217,110.30620972675638,114.61043737478303,32.41907674793188,85.49194777285027,12.866880185809164,center,mid,ADHE,-36.26768063139912,-24.552791083893
ID22,clean_reference,A,2614.0,2113.144889398213,2112.668275875129,500.85511060178715,501.331724124871,0.0,148.39313595124503,24.01477943751868,center,high,BCGF,372.51542516519453,372.3710946005383
ID22,clean_reference,B,2237.0,2149.4931988297653,2132.633721272574,87.50680117023467,104.3662787274261,37.127097197321255,96.4405030150194,24.01477943751868,center,high,BCGF,-40.83288426635795,-24.59435079690661
ID22,clean_reference,C,2405.0,2258.254230885828,2261.8499443266796,146.74576911417216,143.15005567332037,59.99999999999338,127.20252822895591,24.01477943751868,center,high,BCGF,18.406083677579545,14.18942614898765
ID22,clean_reference,D,2353.0,2219.1359756111224,2238.228796624655,133.86402438887762,114.77120337534507,59.999999999999986,114.72759806555277,24.01477943751868,center,high,BCGF,5.524338952285007,-14.18942614898765
ID22,clean_reference,E,1738.0,1644.673764540038,1641.5933061998514,93.32623545996194,96.40669380014856,31.143226774707873,49.200731188950904,24.01477943751868,center,high,BCGF,-35.01344997663068,-32.55393572418416
ID22,clean_reference,F,1837.0,1714.1846535156924,1692.2376030605399,122.81534648430761,144.76239693946013,27.042519801587616,50.54069927422832,24.01477943751868,center,high,BCGF,-5.524338952285007,15.801767415127415
ID22,clean_reference,G,2021.0,1852.9443506789517,1857.7998784907193,168.05564932104835,163.20012150928073,27.558723285689375,85.86587870347041,24.01477943751868,center,high,BCGF,39.71596388445573,34.23949198494802
ID22,clean_reference,H,1915.0,1800.742046923529,1823.4833486647947,114.25795307647104,91.51665133520532,32.41907674793188,85.49194777285027,24.01477943751868,center,high,BCGF,-14.081732360121578,-37.44397818912739
ID09,clean_reference,A,2671.5,2545.2416656815317,2526.2355582388486,126.25833431846831,145.26444176115137,0.0,148.39313595124503,46.00699924111722,edge,high,CDHG,-5.293332896405673,1.8538152765028144
ID09,clean_reference,B,2590.0,2453.1549998887203,2422.1283358917453,136.84500011127966,167.87166410825466,37.127097197321255,96.4405030150194,46.00699924111722,edge,high,CDHG,5.293332896405673,24.461037623606103
ID09,clean_reference,C,1984.0,1882.5531143014127,1893.8867691404437,101.44688569858727,90.11323085955632,59.99999999999338,127.20252822895591,46.00699924111722,edge,high,CDHG,-30.10478151628672,-53.297395625092236
ID09,clean_reference,D,2414.0,1999.391102309748,2023.1031578388247,414.608897690252,390.8968421611753,59.999999999999986,114.72759806555277,46.00699924111722,edge,high,CDHG,283.057230475378,247.48621567652674
ID09,clean_reference,E,2263.0,2221.6763163873406,2192.9547857820817,41.32368361265935,70.04521421791833,31.143226774707873,49.200731188950904,46.00699924111722,edge,high,CDHG,-90.22798360221464,-73.36541226673023
ID09,clean_reference,F,2311.0,2085.892965382711,2045.0224276636702,225.10703461728917,265.9775723363298,27.042519801587616,50.54069927422832,46.00699924111722,edge,high,CDHG,93.55536740241519,122.56694585168123
ID09,clean_reference,G,1474.0,1356.0204719574608,1367.6026281202946,117.97952804253919,106.39737187970536,27.558723285689375,85.86587870347041,46.00699924111722,edge,high,CDHG,-13.5721391723348,-37.0132546049432
ID09,clean_reference,H,1756.0,1592.3548377068068,1614.4431887918543,163.64516229319315,141.55681120814575,32.41907674793188,85.49194777285027,46.00699924111722,edge,high,CDHG,32.093495078319165,-1.8538152765028144
ID17,clean_reference,A,1722.0,1583.7243573440746,1575.0502095231695,138.27564265592537,146.94979047683046,0.0,148.39313595124503,55.69433885540071,center,low,ABEF,32.54111881140693,49.25520146809856
