anchor,autopos_delay_mm,autopos_common_mm,autopos_differential_mm,delaycal_endpoint_delay_mm,delaycal_common_mm,delaycal_differential_mm,differential_delta_autopos_minus_delaycal_mm,abs_autopos_differential_mm
A,0.0,34.411330475903924,-34.411330475903924,148.39313595124503,94.73287777503413,53.6602581762109,-88.07158865211483,34.411330475903924
B,37.127097197321255,34.411330475903924,2.7157667214173316,96.4405030150194,94.73287777503413,1.7076252399852763,1.0081414814320553,2.7157667214173316
C,59.99999999999338,34.411330475903924,25.588669524089454,127.20252822895591,94.73287777503413,32.46965045392179,-6.880980929832333,25.588669524089454
D,59.999999999999986,34.411330475903924,25.588669524096062,114.72759806555277,94.73287777503413,19.994720290518643,5.593949233577419,25.588669524096062
E,31.143226774707873,34.411330475903924,-3.2681037011960505,49.200731188950904,94.73287777503413,-45.53214658608322,42.264042884887175,3.2681037011960505
F,27.042519801587616,34.411330475903924,-7.3688106743163075,50.54069927422832,94.73287777503413,-44.19217850080581,36.8233678264895,7.3688106743163075
G,27.558723285689375,34.411330475903924,-6.852607190214549,85.86587870347041,94.73287777503413,-8.866999071563711,2.0143918813491624,6.852607190214549
H,32.41907674793188,34.411330475903924,-1.9922537279720416,85.49194777285027,94.73287777503413,-9.240930002183859,7.248676274211817,1.9922537279720416
