experiment_id,seed_id,wall_time_s,status
X_A0_L14_I0_T11,S04,0.36185234900040086,ok
X_A0_L14_I0_T12,S04,0.4353236980023212,ok
X_A0_L14_I1_T11,S04,0.3616307370029972,ok
X_A0_L14_I1_T12,S04,0.43211516400333494,ok
X_A0_L14_I2_T11,S04,0.36840479899547063,ok
X_A0_L14_I2_T12,S04,0.43020603000331903,ok
X_A0_L14_I3_T11,S04,0.36472304000199074,ok
X_A0_L14_I3_T12,S04,0.43601552399923094,ok
X_A0_L14_I4_T11,S04,0.3640576329999021,ok
X_A0_L14_I4_T12,S04,0.42239340800006175,ok
X_A0_L14_I5_T11,S04,0.3566762069967808,ok
X_A0_L14_I5_T12,S04,0.4223899270000402,ok
X_A0_L14_I6_T11,S04,0.35711360000277637,ok
X_A0_L14_I6_T12,S04,0.43720161099918187,ok
X_A0_L14_I7_T11,S04,0.36502685099549126,ok
X_A0_L14_I7_T12,S04,0.4431148049989133,ok
X_A0_L14_I8_T11,S04,0.3745588630044949,ok
X_A0_L14_I8_T12,S04,0.4221235160002834,ok
X_A1_L14_I0_T11,S04,0.36009064400423085,ok
X_A1_L14_I0_T12,S04,0.42637206800282,ok
X_A1_L14_I1_T11,S04,0.37349979600548977,ok
X_A1_L14_I1_T12,S04,0.4282163120005862,ok
X_A1_L14_I2_T11,S04,0.3604857059981441,ok
X_A1_L14_I2_T12,S04,0.41908521200093674,ok
X_A1_L14_I3_T11,S04,0.3749647460062988,ok
X_A1_L14_I3_T12,S04,0.4245754730000044,ok
X_A1_L14_I4_T11,S04,0.36025431300367927,ok
X_A1_L14_I4_T12,S04,0.4305760580027709,ok
X_A1_L14_I5_T11,S04,0.37164248900080565,ok
X_A1_L14_I5_T12,S04,0.43300703699787846,ok
X_A1_L14_I6_T11,S04,0.3688750680012163,ok
X_A1_L14_I6_T12,S04,0.42509899599826895,ok
X_A1_L14_I7_T11,S04,0.3622024270007387,ok
X_A1_L14_I7_T12,S04,0.4247506829997292,ok
X_A1_L14_I8_T11,S04,0.3626462510001147,ok
X_A1_L14_I8_T12,S04,0.44437852300325176,ok
X_A2_L14_I0_T11,S04,0.36493581799732056,ok
X_A2_L14_I0_T12,S04,0.42488698499801103,ok
X_A2_L14_I1_T11,S04,0.3705779509982676,ok
X_A2_L14_I1_T12,S04,0.42789849799737567,ok
X_A2_L14_I2_T11,S04,0.3716146389997448,ok
X_A2_L14_I2_T12,S04,0.4301423840006464,ok
X_A2_L14_I3_T11,S04,0.36431033299595583,ok
X_A2_L14_I3_T12,S04,0.42297271900315536,ok
X_A2_L14_I4_T11,S04,0.3813663729961263,ok
X_A2_L14_I4_T12,S04,0.43366579999565147,ok
X_A2_L14_I5_T11,S04,0.36418963100004476,ok
X_A2_L14_I5_T12,S04,0.5529868269950384,ok
X_A2_L14_I6_T11,S04,0.36802994000026956,ok
X_A2_L14_I6_T12,S04,0.5386131370032672,ok
X_A2_L14_I7_T11,S04,0.36151933999644825,ok
X_A2_L14_I7_T12,S04,0.5437090859995806,ok
X_A2_L14_I8_T11,S04,0.3638019770005485,ok
X_A2_L14_I8_T12,S04,0.5485047629990731,ok
X_A3_L14_I0_T11,S04,0.4849987189954845,ok
X_A3_L14_I0_T12,S04,0.43978742499893997,ok
X_A3_L14_I1_T11,S04,0.37130325400357833,ok
X_A3_L14_I1_T12,S04,0.5458126819939935,ok
X_A3_L14_I2_T11,S04,0.4750931529997615,ok
X_A3_L14_I2_T12,S04,0.43139784099912504,ok
X_A3_L14_I3_T11,S04,0.36763716600398766,ok
X_A3_L14_I3_T12,S04,0.4502350039983867,ok
X_A3_L14_I4_T11,S04,0.3708418000023812,ok
X_A3_L14_I4_T12,S04,0.44836746000510175,ok
X_A3_L14_I5_T11,S04,0.3670135510037653,ok
X_A3_L14_I5_T12,S04,0.4266580139956204,ok
X_A3_L14_I6_T11,S04,0.36172745899966685,ok
X_A3_L14_I6_T12,S04,0.4231429470019066,ok
X_A3_L14_I7_T11,S04,0.36280166800133884,ok
