capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R16,BS2DCE,1201,1201,0.00036976790543257474,0.0006593159947756817,0.0014397293709385954,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R16,BSDC91,1200,1200,0.0002766618234499677,0.0004456207821405666,0.0007419628008071702,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R17,BS2DCE,1201,1201,0.0004337107137690235,0.0008242334993859216,0.001449183670457667,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R17,BSDC91,1200,1200,0.00028745738618571093,0.000427350087915487,0.0007632658645116828,1.0,1.0,R2:L2:I7:T6,R2,L2,I7,T6,112.0884375,1.0,False
R01,BS2DCE,1201,1201,0.0004920368242208653,0.0008913438397646391,0.0013236113551935104,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R01,BSDC91,1200,1200,0.0006218419237462414,0.0012329795862995316,0.0023872081532230627,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R02,BS2DCE,1201,1201,0.000432064738991568,0.0008325537526423701,0.0012097241408216071,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R02,BSDC91,1200,1200,0.0005977432761216585,0.0012001598528485632,0.0021173413016065475,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R03,BS2DCE,1200,1200,0.00035502666502034813,0.0006209738969042219,0.0011084767988769491,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R03,BSDC91,1200,1200,0.0004403546317747057,0.0008605290749750128,0.0014714083517030606,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R04,BS2DCE,1200,1200,0.0003541830753768262,0.000589461066541814,0.001202159299701638,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R04,BSDC91,1200,1200,0.0003646887733837509,0.0006353808747619266,0.0010374302950451328,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R05,BS2DCE,1200,1200,0.0005172313290562994,0.0009168752068773452,0.0019137109854508831,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R05,BSDC91,1201,1201,0.0006868203503207324,0.001330423920411109,0.002403682755232966,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R06,BS2DCE,1200,1200,0.0005997055790727215,0.0012532048527089154,0.0023246462616381127,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R06,BSDC91,1201,1201,0.0006444672141352745,0.0014098847222946498,0.0022144786824114795,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R07,BS2DCE,1200,1200,0.0005411078208686107,0.0010542265918447261,0.0017196175512131447,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R07,BSDC91,1201,1201,0.0004617337746337983,0.0009155239388287413,0.0017056511373272421,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R08,BS2DCE,1201,1201,0.00027555921822963384,0.0003936538667529435,0.0005210158710867858,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R08,BSDC91,1200,1200,0.00027743333857978183,0.00039991043632970816,0.0005267153937451654,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R09,BS2DCE,1200,1200,0.0003847873273388879,0.0006636950979759239,0.0010831677754272254,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R09,BSDC91,1200,1200,0.0005455107486525393,0.0009782442073100357,0.0013069120548604872,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R10,BS2DCE,1200,1200,0.0004396053364964546,0.0008399011653643324,0.0013600123569385133,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R10,BSDC91,1200,1200,0.0004141117314038225,0.0008882328459205845,0.0012691585030964571,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R11,BS2DCE,1201,1201,0.0004415980300684177,0.0007138093064129903,0.001181895037962004,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R11,BSDC91,1200,1200,0.00042169296810792427,0.0007604148527773025,0.0013037167181866557,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R12,BS2DCE,1200,1200,0.00035574428972476546,0.0006294797194424194,0.001031405466761904,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R12,BSDC91,1200,1200,0.0002753443590638406,0.0004322530138731469,0.0007875648776349973,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R13,BS2DCE,1201,1201,8.076134904497044,0.0008475220350431484,271.3797881254425,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R13,BSDC91,1200,1200,0.0003187794591137065,0.0005605324390685192,0.0009789734261032267,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R14,BS2DCE,1201,1201,0.0003386233421966191,0.0006307599657331153,0.001274583900172833,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R14,BSDC91,1200,1200,0.0003294260464412358,0.0006447821325963219,0.0012201724948665263,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R15,BS2DCE,1200,1200,0.00043957835315433703,0.0007811949500456576,0.0015916667112334895,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R15,BSDC91,1200,1200,0.00043189811211739014,0.0007244628862121845,0.0011194571043492644,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R16,BS2DCE,1201,1201,0.00034670170802985565,0.0005792874841165094,0.0011675022292309536,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R16,BSDC91,1200,1200,0.00026936913711656316,0.0004384887585683203,0.0008372137809522833,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R17,BS2DCE,1201,1201,0.0004078037304566507,0.0007489481511442601,0.0013154743126287801,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
R17,BSDC91,1200,1200,0.0002916339697435933,0.00045079852413900415,0.0006012623288285751,1.0,1.0,R2:L2:I7:T8,R2,L2,I7,T8,163.8215625,1.0,True
